[b15-r6-local/a0.40/d16] [gmean] 2026-07-21T10:41:37 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_local/alpha_0p40_decay_16
[b15-r6-local/a0.40/d16] [gmean] 2026-07-21T10:41:37 budgets=iscas99__b15_1:278
[b15-r6-local/a0.40/d16] [gmean] 2026-07-21T10:41:37 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-local/a0.40/d16] [gmean] 2026-07-21T10:41:37 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] step=1 node=N672 type=control1 q_typed_residual_context=5.311760 sequence=5.311760
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.652276 sequence=9.964036
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.101326 sequence=12.065362
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.704335 sequence=13.769697
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.208013 sequence=14.977710
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.058473 sequence=16.036183
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.970876 sequence=17.007059
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.190054 sequence=18.197113
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] step=9 node=N5234 type=observe q_typed_residual_context=0.969230 sequence=19.166344
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] step=10 node=N5876 type=observe q_typed_residual_context=6.732903 sequence=25.899247
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] step=11 node=N507 type=control1 q_typed_residual_context=4.844194 sequence=30.743441
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] step=12 node=N1532 type=observe q_typed_residual_context=2.799639 sequence=33.543080
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] step=13 node=N1372 type=observe q_typed_residual_context=2.872201 sequence=36.415281
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] step=14 node=N1853 type=observe q_typed_residual_context=4.742443 sequence=41.157724
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=4.041195 sequence=45.198920
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] step=16 node=N2082 type=observe q_typed_residual_context=6.011910 sequence=51.210829
[b15-r6-local/a0.40/d16] [plan iscas99__b15_1] [plan] step=17 node=N713 type=observe q_typed_residual_context=6.273879 sequence=57.484709
