[b15-r6-local/a0.20/d24] [gmean] 2026-07-21T10:35:12 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_local/alpha_0p20_decay_24
[b15-r6-local/a0.20/d24] [gmean] 2026-07-21T10:35:12 budgets=iscas99__b15_1:278
[b15-r6-local/a0.20/d24] [gmean] 2026-07-21T10:35:12 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-local/a0.20/d24] [gmean] 2026-07-21T10:35:12 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-local/a0.20/d24] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-local/a0.20/d24] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-local/a0.20/d24] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-local/a0.20/d24] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.237061 sequence=5.237061
[b15-r6-local/a0.20/d24] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.785341 sequence=10.022402
[b15-r6-local/a0.20/d24] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.040309 sequence=12.062710
[b15-r6-local/a0.20/d24] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.656113 sequence=13.718823
[b15-r6-local/a0.20/d24] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.253369 sequence=14.972192
[b15-r6-local/a0.20/d24] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.058848 sequence=16.031039
[b15-r6-local/a0.20/d24] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.980742 sequence=17.011781
[b15-r6-local/a0.20/d24] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.121653 sequence=18.133434
[b15-r6-local/a0.20/d24] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.958340 sequence=19.091774
[b15-r6-local/a0.20/d24] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.124516 sequence=20.216290
[b15-r6-local/a0.20/d24] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.290324 sequence=22.506614
[b15-r6-local/a0.20/d24] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.566613 sequence=24.073227
[b15-r6-local/a0.20/d24] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.328438 sequence=27.401664
[b15-r6-local/a0.20/d24] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.071450 sequence=30.473115
