[b15-r6-local/a0.30/d12] [gmean] 2026-07-21T10:41:37 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_local/alpha_0p30_decay_12
[b15-r6-local/a0.30/d12] [gmean] 2026-07-21T10:41:37 budgets=iscas99__b15_1:278
[b15-r6-local/a0.30/d12] [gmean] 2026-07-21T10:41:37 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-local/a0.30/d12] [gmean] 2026-07-21T10:41:37 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=1 node=N672 type=control1 q_typed_residual_context=5.268069 sequence=5.268069
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.577474 sequence=9.845543
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.075750 sequence=11.921293
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.738382 sequence=13.659675
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.185357 sequence=14.845032
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.058687 sequence=15.903719
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.969410 sequence=16.873130
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.134886 sequence=18.008016
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.959562 sequence=18.967578
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.084011 sequence=20.051589
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.424318 sequence=22.475906
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.173330 sequence=23.649237
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.138428 sequence=26.787664
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.207908 sequence=29.995572
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=15 node=N1372 type=observe q_typed_residual_context=2.898642 sequence=32.894214
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=16 node=N2082 type=observe q_typed_residual_context=3.447238 sequence=36.341452
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=17 node=N1853 type=observe q_typed_residual_context=6.013375 sequence=42.354827
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=18 node=N1532 type=observe q_typed_residual_context=6.769591 sequence=49.124418
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=19 node=N2153 type=observe q_typed_residual_context=6.458562 sequence=55.582980
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=20 node=N2101 type=observe q_typed_residual_context=5.846769 sequence=61.429749
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=21 node=N1860 type=observe q_typed_residual_context=6.062423 sequence=67.492172
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=3.890946 sequence=71.383117
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=1.342201 sequence=72.725318
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=24 node=N7516 type=observe q_typed_residual_context=4.177564 sequence=76.902882
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_residual_context=4.015721 sequence=80.918603
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=5.271677 sequence=86.190280
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=27 node=N5234 type=observe q_typed_residual_context=4.113088 sequence=90.303368
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=28 node=N737 type=control1 q_typed_residual_context=4.789408 sequence=95.092776
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=29 node=N1437 type=control1 q_typed_residual_context=3.470906 sequence=98.563681
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=30 node=N4635 type=control0 q_typed_residual_context=6.712797 sequence=105.276479
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=31 node=N7411 type=control1 q_typed_residual_context=3.675349 sequence=108.951828
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=32 node=N2042 type=observe q_typed_residual_context=3.980922 sequence=112.932750
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=33 node=N583 type=control1 q_typed_residual_context=7.236112 sequence=120.168862
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=34 node=N7511 type=control1 q_typed_residual_context=3.075411 sequence=123.244273
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=35 node=N2044 type=observe q_typed_residual_context=3.509184 sequence=126.753457
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=36 node=N7413 type=control1 q_typed_residual_context=3.169689 sequence=129.923146
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=37 node=N2040 type=observe q_typed_residual_context=3.047657 sequence=132.970804
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=6.122074 sequence=139.092878
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=39 node=N3903 type=control0 q_typed_residual_context=0.844599 sequence=139.937477
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=40 node=N4656 type=control0 q_typed_residual_context=6.282223 sequence=146.219700
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=41 node=N3896 type=control0 q_typed_residual_context=0.863046 sequence=147.082746
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=42 node=N4663 type=control0 q_typed_residual_context=4.021583 sequence=151.104329
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=43 node=N3889 type=control0 q_typed_residual_context=0.958035 sequence=152.062365
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=44 node=N3701 type=control0 q_typed_residual_context=0.959026 sequence=153.021391
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=45 node=N713 type=observe q_typed_residual_context=2.252871 sequence=155.274261
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=46 node=N4670 type=control0 q_typed_residual_context=2.964833 sequence=158.239094
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=47 node=N2102 type=observe q_typed_residual_context=1.495462 sequence=159.734556
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=48 node=N704 type=observe q_typed_residual_context=1.899762 sequence=161.634318
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=49 node=N3722 type=control0 q_typed_residual_context=0.928839 sequence=162.563157
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=50 node=N4677 type=control0 q_typed_residual_context=2.766330 sequence=165.329487
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=51 node=N4684 type=control0 q_typed_residual_context=2.164387 sequence=167.493874
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=52 node=N3882 type=control0 q_typed_residual_context=1.022793 sequence=168.516667
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=53 node=N3805 type=control0 q_typed_residual_context=1.021025 sequence=169.537692
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=54 node=N4691 type=control0 q_typed_residual_context=1.820021 sequence=171.357713
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=55 node=N4698 type=control0 q_typed_residual_context=1.627037 sequence=172.984750
[b15-r6-local/a0.30/d12] [plan iscas99__b15_1] [plan] step=56 node=N3911 type=control0 q_typed_residual_context=1.418135 sequence=174.402886
