[b15-r6-local/a0.30/d16] [gmean] 2026-07-21T10:41:37 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_local/alpha_0p30_decay_16
[b15-r6-local/a0.30/d16] [gmean] 2026-07-21T10:41:37 budgets=iscas99__b15_1:278
[b15-r6-local/a0.30/d16] [gmean] 2026-07-21T10:41:37 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-local/a0.30/d16] [gmean] 2026-07-21T10:41:37 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=1 node=N672 type=control1 q_typed_residual_context=5.268069 sequence=5.268069
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.581831 sequence=9.849900
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.078540 sequence=11.928440
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.733146 sequence=13.661585
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.189740 sequence=14.851325
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.058638 sequence=15.909964
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.969792 sequence=16.879756
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.150847 sequence=18.030603
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.962007 sequence=18.992610
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.084011 sequence=20.076622
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.424318 sequence=22.500939
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.164325 sequence=23.665264
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.154847 sequence=26.820111
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.190848 sequence=30.010959
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=15 node=N1372 type=observe q_typed_residual_context=2.930280 sequence=32.941239
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=16 node=N2082 type=observe q_typed_residual_context=3.478768 sequence=36.420007
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=17 node=N1853 type=observe q_typed_residual_context=6.044660 sequence=42.464666
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=18 node=N1532 type=observe q_typed_residual_context=6.800512 sequence=49.265178
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=19 node=N2153 type=observe q_typed_residual_context=6.486125 sequence=55.751303
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=20 node=N2101 type=observe q_typed_residual_context=5.876677 sequence=61.627980
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=21 node=N1860 type=observe q_typed_residual_context=6.091712 sequence=67.719692
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=3.871210 sequence=71.590901
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=1.332931 sequence=72.923832
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=24 node=N7516 type=observe q_typed_residual_context=4.204691 sequence=77.128523
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_residual_context=3.989382 sequence=81.117906
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=5.258860 sequence=86.376765
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=27 node=N5234 type=observe q_typed_residual_context=4.135269 sequence=90.512035
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=28 node=N737 type=control1 q_typed_residual_context=4.765534 sequence=95.277568
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=29 node=N1437 type=control1 q_typed_residual_context=3.453552 sequence=98.731120
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=30 node=N4635 type=control0 q_typed_residual_context=6.692261 sequence=105.423381
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=31 node=N7411 type=control1 q_typed_residual_context=3.665251 sequence=109.088632
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=32 node=N2042 type=observe q_typed_residual_context=4.001485 sequence=113.090117
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=33 node=N583 type=control1 q_typed_residual_context=7.216357 sequence=120.306473
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=34 node=N7511 type=control1 q_typed_residual_context=3.060986 sequence=123.367459
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=35 node=N2044 type=observe q_typed_residual_context=3.527369 sequence=126.894828
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=36 node=N7413 type=control1 q_typed_residual_context=3.162811 sequence=130.057639
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=37 node=N2040 type=observe q_typed_residual_context=3.064341 sequence=133.121980
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=6.106112 sequence=139.228092
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=39 node=N3903 type=control0 q_typed_residual_context=0.844927 sequence=140.073019
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=40 node=N4656 type=control0 q_typed_residual_context=6.271632 sequence=146.344651
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=41 node=N3896 type=control0 q_typed_residual_context=0.863043 sequence=147.207694
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=42 node=N4663 type=control0 q_typed_residual_context=4.013367 sequence=151.221061
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=43 node=N3889 type=control0 q_typed_residual_context=0.958032 sequence=152.179092
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=44 node=N3701 type=control0 q_typed_residual_context=0.960491 sequence=153.139583
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=45 node=N713 type=observe q_typed_residual_context=2.261074 sequence=155.400657
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=46 node=N4670 type=control0 q_typed_residual_context=2.959063 sequence=158.359720
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=47 node=N2102 type=observe q_typed_residual_context=1.501536 sequence=159.861256
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=48 node=N704 type=observe q_typed_residual_context=1.907885 sequence=161.769141
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=49 node=N3722 type=control0 q_typed_residual_context=0.928839 sequence=162.697980
[b15-r6-local/a0.30/d16] [plan iscas99__b15_1] [plan] step=50 node=N4677 type=control0 q_typed_residual_context=2.760286 sequence=165.458267
