[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [gmean] 2026-07-21T11:44:42 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/cone_long_rank/epoch_010/q_typed_residual_context/alpha_0p05_weight_0p75
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [gmean] 2026-07-21T11:44:42 budgets=iscas99__b15_1:278
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [gmean] 2026-07-21T11:44:42 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [gmean] 2026-07-21T11:44:42 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=4.876318 sequence=4.876318
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=3.272947 sequence=8.149265
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.180400 sequence=10.329665
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.419874 sequence=11.749539
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_residual_context=0.884711 sequence=12.634250
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.504259 sequence=14.138509
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=7 node=N3756 type=control0 q_typed_residual_context=1.046454 sequence=15.184963
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_residual_context=1.169586 sequence=16.354549
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=9 node=N508 type=control1 q_typed_residual_context=1.199053 sequence=17.553602
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=10 node=N5143 type=observe q_typed_residual_context=1.118989 sequence=18.672591
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=11 node=N580 type=control1 q_typed_residual_context=1.506029 sequence=20.178620
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=12 node=N564 type=control1 q_typed_residual_context=1.867425 sequence=22.046045
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=13 node=N4520 type=control0 q_typed_residual_context=1.981726 sequence=24.027771
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_residual_context=1.504367 sequence=25.532138
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=15 node=N496 type=control1 q_typed_residual_context=2.986726 sequence=28.518864
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=16 node=N7511 type=control1 q_typed_residual_context=1.608642 sequence=30.127506
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=17 node=N1564 type=control1 q_typed_residual_context=2.660856 sequence=32.788362
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=18 node=N5203 type=control1 q_typed_residual_context=2.369034 sequence=35.157396
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=2.396231 sequence=37.553627
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=20 node=N1853 type=observe q_typed_residual_context=3.083598 sequence=40.637225
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=3.502253 sequence=44.139478
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.05/w0.75] [plan iscas99__b15_1] [plan] step=22 node=N1860 type=observe q_typed_residual_context=2.800672 sequence=46.940150
