[b15-alpha-boundary/a0.50] [gmean] 2026-07-21T14:55:23 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/alpha_boundary/alpha_0p50
[b15-alpha-boundary/a0.50] [gmean] 2026-07-21T14:55:23 budgets=iscas99__b15_1:278
[b15-alpha-boundary/a0.50] [gmean] 2026-07-21T14:55:23 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-alpha-boundary/a0.50] [gmean] 2026-07-21T14:55:23 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.287883 sequence=8.145947
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.338054
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.784148
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=1.026273 sequence=12.810421
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.299485
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.210425
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.308366
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.376962 sequence=17.685329
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.243052
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.568630
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=22.019223
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.274544
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.673214
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.273590
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=1.063244 sequence=29.336834
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=31.081876
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=18 node=N5234 type=observe q_typed_reliable_context=1.442985 sequence=32.524861
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.894227 sequence=34.419089
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.275884 sequence=36.694973
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=3.364608 sequence=40.059581
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=22 node=N4663 type=control0 q_typed_reliable_context=2.803956 sequence=42.863537
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=23 node=N2101 type=observe q_typed_reliable_context=2.122733 sequence=44.986269
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=24 node=N1860 type=observe q_typed_reliable_context=2.511842 sequence=47.498111
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=25 node=N1372 type=observe q_typed_reliable_context=1.690975 sequence=49.189087
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=26 node=N4635 type=control0 q_typed_reliable_context=2.483523 sequence=51.672610
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=27 node=N582 type=control1 q_typed_reliable_context=1.314980 sequence=52.987590
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=28 node=N5723 type=control0 q_typed_reliable_context=1.050623 sequence=54.038213
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=29 node=N766 type=control1 q_typed_reliable_context=1.022564 sequence=55.060776
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=30 node=N4670 type=control0 q_typed_reliable_context=3.371590 sequence=58.432366
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=31 node=N4649 type=control0 q_typed_reliable_context=2.258329 sequence=60.690695
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=32 node=N488 type=control1 q_typed_reliable_context=1.036375 sequence=61.727070
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=33 node=N1437 type=control1 q_typed_reliable_context=1.240715 sequence=62.967785
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=34 node=N4656 type=control0 q_typed_reliable_context=2.675094 sequence=65.642879
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=35 node=N7411 type=control1 q_typed_reliable_context=1.396924 sequence=67.039803
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=36 node=N7413 type=control1 q_typed_reliable_context=1.420522 sequence=68.460326
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=37 node=N704 type=observe q_typed_reliable_context=2.536761 sequence=70.997086
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=38 node=N2314 type=control1 q_typed_reliable_context=1.340678 sequence=72.337765
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=39 node=N7891 type=control1 q_typed_reliable_context=0.369088 sequence=72.706852
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=40 node=N6537 type=observe q_typed_reliable_context=3.864640 sequence=76.571492
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=41 node=N8470 type=observe q_typed_reliable_context=3.104993 sequence=79.676485
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=42 node=N4691 type=control0 q_typed_reliable_context=2.822245 sequence=82.498730
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=43 node=N724 type=observe q_typed_reliable_context=3.902608 sequence=86.401338
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=44 node=N4684 type=control0 q_typed_reliable_context=3.822306 sequence=90.223644
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=45 node=N4677 type=control0 q_typed_reliable_context=3.918299 sequence=94.141943
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=46 node=N4698 type=control0 q_typed_reliable_context=5.798107 sequence=99.940050
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=47 node=N2044 type=observe q_typed_reliable_context=0.635847 sequence=100.575897
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=48 node=N7889 type=control1 q_typed_reliable_context=0.794041 sequence=101.369938
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=49 node=N7887 type=control1 q_typed_reliable_context=0.785089 sequence=102.155027
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_reliable_context=2.953961 sequence=105.108989
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_reliable_context=0.843654 sequence=105.952643
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=52 node=N3904 type=control0 q_typed_reliable_context=0.832306 sequence=106.784949
[b15-alpha-boundary/a0.50] [plan iscas99__b15_1] [plan] step=53 node=N4712 type=control0 q_typed_reliable_context=0.986155 sequence=107.771104
