[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [gmean] 2026-07-21T11:48:20 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/cone_long_rank/epoch_010/q_typed_reliable_context/alpha_0p20_weight_0p75
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [gmean] 2026-07-21T11:48:20 budgets=iscas99__b15_1:278
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [gmean] 2026-07-21T11:48:20 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [gmean] 2026-07-21T11:48:20 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.261224 sequence=8.119289
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.311396
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.757490
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.910295 sequence=12.667785
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.156849
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.067789
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.165730
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.374324 sequence=17.540055
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.097779
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.423356
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.873949
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.129271
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.527940
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.128316
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.909973 sequence=29.038288
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.783331
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.175906
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.174464
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.331160
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=39.030913
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.307469 sequence=41.338383
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=23 node=N4656 type=control0 q_typed_reliable_context=2.866282 sequence=44.204664
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=24 node=N1860 type=observe q_typed_reliable_context=2.515268 sequence=46.719932
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=25 node=N1372 type=observe q_typed_reliable_context=1.807530 sequence=48.527463
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.528892 sequence=50.056354
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=27 node=N582 type=control1 q_typed_reliable_context=1.330953 sequence=51.387307
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=28 node=N766 type=control1 q_typed_reliable_context=0.742826 sequence=52.130133
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=29 node=N1437 type=control1 q_typed_reliable_context=0.837137 sequence=52.967270
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=30 node=N583 type=control1 q_typed_reliable_context=0.936163 sequence=53.903434
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=31 node=N893 type=observe q_typed_reliable_context=0.831288 sequence=54.734722
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=32 node=N4670 type=control0 q_typed_reliable_context=3.296554 sequence=58.031275
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.654678 sequence=58.685953
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.358368 sequence=59.044321
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=35 node=N4684 type=control0 q_typed_reliable_context=2.065168 sequence=61.109489
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=36 node=N4663 type=control0 q_typed_reliable_context=3.006221 sequence=64.115710
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.717729 sequence=65.833439
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=38 node=N4635 type=control0 q_typed_reliable_context=1.562662 sequence=67.396101
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=39 node=N6537 type=observe q_typed_reliable_context=2.624898 sequence=70.020999
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=40 node=N704 type=observe q_typed_reliable_context=2.048228 sequence=72.069227
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=41 node=N8470 type=observe q_typed_reliable_context=2.030149 sequence=74.099377
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=42 node=N4691 type=control0 q_typed_reliable_context=1.697348 sequence=75.796725
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=43 node=N4677 type=control0 q_typed_reliable_context=1.719808 sequence=77.516533
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=44 node=N724 type=observe q_typed_reliable_context=1.335590 sequence=78.852123
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=45 node=N7881 type=control1 q_typed_reliable_context=0.658010 sequence=79.510133
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=46 node=N7882 type=control1 q_typed_reliable_context=0.741904 sequence=80.252037
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=47 node=N7883 type=control1 q_typed_reliable_context=0.745989 sequence=80.998026
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=48 node=N7884 type=control1 q_typed_reliable_context=0.782185 sequence=81.780211
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=49 node=N4698 type=control0 q_typed_reliable_context=1.792506 sequence=83.572717
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_reliable_context=1.633304 sequence=85.206021
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_reliable_context=0.941194 sequence=86.147215
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=52 node=N3904 type=control0 q_typed_reliable_context=0.946894 sequence=87.094109
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=53 node=N4712 type=control0 q_typed_reliable_context=0.998018 sequence=88.092127
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=54 node=N3897 type=control0 q_typed_reliable_context=0.945397 sequence=89.037524
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=55 node=N3848 type=control0 q_typed_reliable_context=0.978539 sequence=90.016062
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=56 node=N3862 type=control0 q_typed_reliable_context=0.994035 sequence=91.010097
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=57 node=N3855 type=control0 q_typed_reliable_context=0.965152 sequence=91.975250
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=58 node=N3827 type=control0 q_typed_reliable_context=0.913435 sequence=92.888685
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=59 node=N3820 type=control0 q_typed_reliable_context=0.903335 sequence=93.792020
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=60 node=N3813 type=control0 q_typed_reliable_context=0.957666 sequence=94.749686
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=61 node=N3799 type=control0 q_typed_reliable_context=1.299226 sequence=96.048912
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=62 node=N3889 type=control0 q_typed_reliable_context=1.273792 sequence=97.322704
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=63 node=N3882 type=control0 q_typed_reliable_context=1.132595 sequence=98.455299
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=64 node=N5603 type=control0 q_typed_reliable_context=1.097609 sequence=99.552908
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=65 node=N7506 type=observe q_typed_reliable_context=1.884549 sequence=101.437457
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=66 node=N3805 type=control0 q_typed_reliable_context=0.925137 sequence=102.362594
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=67 node=N2083 type=observe q_typed_reliable_context=0.924277 sequence=103.286871
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=68 node=N4606 type=control0 q_typed_reliable_context=0.969965 sequence=104.256836
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=69 node=N4716 type=control0 q_typed_reliable_context=1.134691 sequence=105.391527
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=70 node=N2044 type=observe q_typed_reliable_context=1.077256 sequence=106.468784
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=71 node=N519 type=control1 q_typed_reliable_context=0.927490 sequence=107.396273
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=72 node=N2042 type=observe q_typed_reliable_context=0.947765 sequence=108.344038
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=73 node=N504 type=control1 q_typed_reliable_context=1.133270 sequence=109.477308
[b15-r7/cone_long_rank/epoch_010/q_typed_reliable_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=74 node=N7722 type=control0 q_typed_reliable_context=1.812909 sequence=111.290217
