[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [gmean] 2026-07-21T11:52:02 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/cone_long_toplist/best_final_horizon/q_typed_reliable_context/alpha_0p10_weight_0p75
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [gmean] 2026-07-21T11:52:02 budgets=iscas99__b15_1:278
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [gmean] 2026-07-21T11:52:02 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [gmean] 2026-07-21T11:52:02 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.254865 sequence=8.112929
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.305036
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.751130
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.890057 sequence=12.641187
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.130251
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.041191
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.139132
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.320114 sequence=17.459246
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.016969
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.342547
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.793140
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.048461
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.447131
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.047507
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.902573 sequence=28.950080
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.695122
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.087698
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.086255
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.242952
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=38.942705
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.264535 sequence=41.207240
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=23 node=N582 type=control1 q_typed_reliable_context=1.897632 sequence=43.104872
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=24 node=N1860 type=observe q_typed_reliable_context=1.800759 sequence=44.905631
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=25 node=N1372 type=observe q_typed_reliable_context=0.970035 sequence=45.875666
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.347281 sequence=47.222948
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=0.797893 sequence=48.020841
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=28 node=N583 type=control1 q_typed_reliable_context=0.264638 sequence=48.285478
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=29 node=N7516 type=observe q_typed_reliable_context=0.465388 sequence=48.750866
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=30 node=N1437 type=control1 q_typed_reliable_context=0.684833 sequence=49.435699
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=31 node=N5234 type=observe q_typed_reliable_context=0.336115 sequence=49.771814
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=32 node=N4691 type=control0 q_typed_reliable_context=1.722383 sequence=51.494197
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=33 node=N4677 type=control0 q_typed_reliable_context=1.784169 sequence=53.278366
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=34 node=N7411 type=control1 q_typed_reliable_context=0.365048 sequence=53.643414
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=35 node=N7891 type=control1 q_typed_reliable_context=0.389065 sequence=54.032479
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=36 node=N4670 type=control0 q_typed_reliable_context=3.130001 sequence=57.162480
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=37 node=N7413 type=control1 q_typed_reliable_context=0.334077 sequence=57.496557
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=38 node=N4663 type=control0 q_typed_reliable_context=1.699156 sequence=59.195714
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=39 node=N4656 type=control0 q_typed_reliable_context=1.182228 sequence=60.377942
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=40 node=N713 type=observe q_typed_reliable_context=1.629844 sequence=62.007786
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=41 node=N4684 type=control0 q_typed_reliable_context=2.008161 sequence=64.015947
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=42 node=N6537 type=observe q_typed_reliable_context=3.778154 sequence=67.794101
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=43 node=N8470 type=observe q_typed_reliable_context=3.450337 sequence=71.244438
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=44 node=N4649 type=control0 q_typed_reliable_context=2.051898 sequence=73.296337
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=45 node=N4635 type=control0 q_typed_reliable_context=1.585236 sequence=74.881572
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=46 node=N4698 type=control0 q_typed_reliable_context=1.633692 sequence=76.515264
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=47 node=N7881 type=control1 q_typed_reliable_context=0.698461 sequence=77.213725
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=48 node=N7882 type=control1 q_typed_reliable_context=0.739293 sequence=77.953018
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=49 node=N7883 type=control1 q_typed_reliable_context=0.685036 sequence=78.638054
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=50 node=N724 type=observe q_typed_reliable_context=2.102052 sequence=80.740106
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=51 node=N4705 type=control0 q_typed_reliable_context=1.476409 sequence=82.216514
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=52 node=N3911 type=control0 q_typed_reliable_context=0.915468 sequence=83.131983
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=53 node=N3904 type=control0 q_typed_reliable_context=0.945739 sequence=84.077721
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=54 node=N4716 type=control0 q_typed_reliable_context=1.012009 sequence=85.089730
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=55 node=N4712 type=control0 q_typed_reliable_context=0.972547 sequence=86.062276
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=56 node=N3897 type=control0 q_typed_reliable_context=0.930293 sequence=86.992569
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=57 node=N3862 type=control0 q_typed_reliable_context=0.963579 sequence=87.956148
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=58 node=N3855 type=control0 q_typed_reliable_context=0.947974 sequence=88.904122
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=59 node=N3848 type=control0 q_typed_reliable_context=0.928876 sequence=89.832998
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=60 node=N3827 type=control0 q_typed_reliable_context=1.129351 sequence=90.962349
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=61 node=N3820 type=control0 q_typed_reliable_context=1.203048 sequence=92.165397
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=62 node=N3889 type=control0 q_typed_reliable_context=1.150360 sequence=93.315757
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=63 node=N3882 type=control0 q_typed_reliable_context=1.091057 sequence=94.406814
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=64 node=N3805 type=control0 q_typed_reliable_context=1.005242 sequence=95.412056
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=65 node=N5603 type=control0 q_typed_reliable_context=1.040433 sequence=96.452489
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=66 node=N7506 type=observe q_typed_reliable_context=1.806652 sequence=98.259141
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=67 node=N4606 type=control0 q_typed_reliable_context=0.938240 sequence=99.197380
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=68 node=N2083 type=observe q_typed_reliable_context=0.977938 sequence=100.175319
[b15-r7/cone_long_toplist/best_final_horizon/q_typed_reliable_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=69 node=N4585 type=control0 q_typed_reliable_context=0.975715 sequence=101.151034
