[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:52:02 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/cone_long_toplist/epoch_010/q_typed_residual_context/alpha_0p20_weight_0p75
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:52:02 budgets=iscas99__b15_1:278
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:52:02 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T11:52:02 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=4.972989 sequence=4.972989
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=3.277352 sequence=8.250341
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.095122 sequence=10.345463
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.392523 sequence=11.737985
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_residual_context=0.942391 sequence=12.680377
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.561200 sequence=14.241576
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=7 node=N3722 type=control0 q_typed_residual_context=0.996374 sequence=15.237950
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_residual_context=1.205617 sequence=16.443567
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=9 node=N557 type=control1 q_typed_residual_context=1.353453 sequence=17.797020
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_residual_context=1.444717 sequence=19.241737
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=1.359278 sequence=20.601015
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=12 node=N5143 type=observe q_typed_residual_context=1.416886 sequence=22.017901
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_residual_context=1.493438 sequence=23.511339
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_residual_context=1.325356 sequence=24.836695
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.553830 sequence=27.390525
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=16 node=N7511 type=control1 q_typed_residual_context=1.991455 sequence=29.381980
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_residual_context=3.156665 sequence=32.538645
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=18 node=N1564 type=control1 q_typed_residual_context=2.916397 sequence=35.455042
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_residual_context=2.575525 sequence=38.030567
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=20 node=N2101 type=observe q_typed_residual_context=2.562066 sequence=40.592633
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_residual_context=2.205367 sequence=42.798000
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=22 node=N1860 type=observe q_typed_residual_context=2.536291 sequence=45.334290
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=23 node=N1372 type=observe q_typed_residual_context=2.280779 sequence=47.615070
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_residual_context=2.738779 sequence=50.353849
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=25 node=N4677 type=control0 q_typed_residual_context=3.892268 sequence=54.246116
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=26 node=N7516 type=observe q_typed_residual_context=1.268194 sequence=55.514310
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=1.124136 sequence=56.638446
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=28 node=N5723 type=control0 q_typed_residual_context=1.255312 sequence=57.893758
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=29 node=N1437 type=control1 q_typed_residual_context=0.618610 sequence=58.512368
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=30 node=N4663 type=control0 q_typed_residual_context=3.260231 sequence=61.772598
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=31 node=N7411 type=control1 q_typed_residual_context=0.447354 sequence=62.219953
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=32 node=N7413 type=control1 q_typed_residual_context=0.537155 sequence=62.757108
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=33 node=N5234 type=observe q_typed_residual_context=0.566204 sequence=63.323312
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=34 node=N583 type=control1 q_typed_residual_context=0.703880 sequence=64.027192
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=35 node=N4670 type=control0 q_typed_residual_context=2.944658 sequence=66.971850
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=36 node=N4656 type=control0 q_typed_residual_context=3.030725 sequence=70.002575
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_residual_context=1.747990 sequence=71.750564
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=38 node=N4635 type=control0 q_typed_residual_context=1.682654 sequence=73.433218
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=39 node=N6537 type=observe q_typed_residual_context=3.240395 sequence=76.673613
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=40 node=N8470 type=observe q_typed_residual_context=2.268043 sequence=78.941656
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=41 node=N4684 type=control0 q_typed_residual_context=1.975008 sequence=80.916664
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=42 node=N713 type=observe q_typed_residual_context=5.238613 sequence=86.155277
[b15-r7/cone_long_toplist/epoch_010/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=43 node=N724 type=observe q_typed_residual_context=5.777020 sequence=91.932298
