[b15-reencode/i64/b1.00] [gmean] 2026-07-21T14:49:24 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/latent_reencode/interval_64/blend_1p00
[b15-reencode/i64/b1.00] [gmean] 2026-07-21T14:49:24 budgets=iscas99__b15_1:278
[b15-reencode/i64/b1.00] [gmean] 2026-07-21T14:49:24 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-reencode/i64/b1.00] [gmean] 2026-07-21T14:49:24 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.267011 sequence=8.125076
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.317183
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.763276
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.929541 sequence=12.692818
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.181882
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.092822
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.190763
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.334620 sequence=17.525383
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.083107
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.408684
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.859278
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.114599
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.513268
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.113644
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.942313 sequence=29.055957
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.800999
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.193575
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.192132
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.348829
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=39.048582
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.287403 sequence=41.335984
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=23 node=N4656 type=control0 q_typed_reliable_context=2.865532 sequence=44.201517
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=24 node=N1860 type=observe q_typed_reliable_context=2.524433 sequence=46.725950
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=25 node=N1372 type=observe q_typed_reliable_context=1.809229 sequence=48.535179
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.525321 sequence=50.060500
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=27 node=N582 type=control1 q_typed_reliable_context=1.339536 sequence=51.400037
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=28 node=N766 type=control1 q_typed_reliable_context=0.722613 sequence=52.122650
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=29 node=N1437 type=control1 q_typed_reliable_context=0.837137 sequence=52.959787
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=30 node=N583 type=control1 q_typed_reliable_context=0.936163 sequence=53.895950
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=31 node=N893 type=observe q_typed_reliable_context=0.812246 sequence=54.708196
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=32 node=N4684 type=control0 q_typed_reliable_context=3.295865 sequence=58.004061
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.654658 sequence=58.658719
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.358449 sequence=59.017168
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=35 node=N4677 type=control0 q_typed_reliable_context=2.065111 sequence=61.082279
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=36 node=N4663 type=control0 q_typed_reliable_context=3.006069 sequence=64.088348
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.717735 sequence=65.806083
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=38 node=N4635 type=control0 q_typed_reliable_context=1.562555 sequence=67.368638
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=39 node=N6537 type=observe q_typed_reliable_context=2.624901 sequence=69.993539
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=40 node=N704 type=observe q_typed_reliable_context=2.048143 sequence=72.041682
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=41 node=N8470 type=observe q_typed_reliable_context=2.030129 sequence=74.071812
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=42 node=N4691 type=control0 q_typed_reliable_context=1.697250 sequence=75.769062
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=43 node=N4670 type=control0 q_typed_reliable_context=1.719811 sequence=77.488873
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=44 node=N724 type=observe q_typed_reliable_context=1.335591 sequence=78.824464
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=45 node=N7881 type=control1 q_typed_reliable_context=0.658028 sequence=79.482492
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=46 node=N7882 type=control1 q_typed_reliable_context=0.741907 sequence=80.224399
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=47 node=N7883 type=control1 q_typed_reliable_context=0.745991 sequence=80.970390
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=48 node=N7884 type=control1 q_typed_reliable_context=0.782185 sequence=81.752575
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=49 node=N4698 type=control0 q_typed_reliable_context=1.792501 sequence=83.545076
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_reliable_context=1.633302 sequence=85.178378
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_reliable_context=0.941195 sequence=86.119573
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=52 node=N3904 type=control0 q_typed_reliable_context=0.946891 sequence=87.066465
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=53 node=N4712 type=control0 q_typed_reliable_context=0.998028 sequence=88.064493
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=54 node=N3897 type=control0 q_typed_reliable_context=0.945372 sequence=89.009864
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=55 node=N3848 type=control0 q_typed_reliable_context=0.978582 sequence=89.988446
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=56 node=N3862 type=control0 q_typed_reliable_context=0.994038 sequence=90.982484
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=57 node=N3855 type=control0 q_typed_reliable_context=0.965153 sequence=91.947638
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=58 node=N3827 type=control0 q_typed_reliable_context=0.913439 sequence=92.861076
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=59 node=N3820 type=control0 q_typed_reliable_context=0.903333 sequence=93.764409
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=60 node=N3813 type=control0 q_typed_reliable_context=0.957667 sequence=94.722076
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=61 node=N3799 type=control0 q_typed_reliable_context=1.299227 sequence=96.021303
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=62 node=N3889 type=control0 q_typed_reliable_context=1.273791 sequence=97.295094
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=63 node=N3882 type=control0 q_typed_reliable_context=1.132601 sequence=98.427695
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] latent_reencode step=64 interval=64 blend=1
[b15-reencode/i64/b1.00] [plan iscas99__b15_1] [plan] step=64 node=N5603 type=control0 q_typed_reliable_context=1.097614 sequence=99.525309
