[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [gmean] 2026-07-21T11:44:42 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/cone_long_rank/epoch_010/q_typed_residual_context/alpha_0p10_weight_0p75
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [gmean] 2026-07-21T11:44:42 budgets=iscas99__b15_1:278
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [gmean] 2026-07-21T11:44:42 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [gmean] 2026-07-21T11:44:42 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=4.894571 sequence=4.894571
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=3.292797 sequence=8.187368
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.168694 sequence=10.356062
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.393654 sequence=11.749716
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_residual_context=0.904369 sequence=12.654085
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.519453 sequence=14.173538
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=7 node=N3722 type=control0 q_typed_residual_context=0.938731 sequence=15.112270
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_residual_context=1.201616 sequence=16.313885
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=9 node=N508 type=control1 q_typed_residual_context=1.212411 sequence=17.526296
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=10 node=N5143 type=observe q_typed_residual_context=1.168857 sequence=18.695154
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=11 node=N580 type=control1 q_typed_residual_context=1.654748 sequence=20.349901
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=12 node=N564 type=control1 q_typed_residual_context=2.142040 sequence=22.491941
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=13 node=N4520 type=control0 q_typed_residual_context=1.966295 sequence=24.458236
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_residual_context=1.555765 sequence=26.014002
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=15 node=N496 type=control1 q_typed_residual_context=2.993089 sequence=29.007091
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=16 node=N7511 type=control1 q_typed_residual_context=1.805623 sequence=30.812714
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=17 node=N1564 type=control1 q_typed_residual_context=3.061391 sequence=33.874105
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=18 node=N5203 type=control1 q_typed_residual_context=2.815366 sequence=36.689471
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=2.471177 sequence=39.160648
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=20 node=N1853 type=observe q_typed_residual_context=3.638204 sequence=42.798852
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=3.228381 sequence=46.027233
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=22 node=N1532 type=observe q_typed_residual_context=2.882755 sequence=48.909988
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=23 node=N1860 type=observe q_typed_residual_context=2.240622 sequence=51.150610
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_residual_context=1.836183 sequence=52.986793
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=1.608489 sequence=54.595282
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=1.819786 sequence=56.415068
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=27 node=N5723 type=control0 q_typed_residual_context=0.980710 sequence=57.395778
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=1.322400 sequence=58.718179
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=0.935454 sequence=59.653633
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=30 node=N4677 type=control0 q_typed_residual_context=2.698268 sequence=62.351901
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=31 node=N4663 type=control0 q_typed_residual_context=2.637745 sequence=64.989646
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=32 node=N4649 type=control0 q_typed_residual_context=2.583151 sequence=67.572797
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_residual_context=1.082033 sequence=68.654830
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_residual_context=1.292737 sequence=69.947567
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=35 node=N4635 type=control0 q_typed_residual_context=3.291054 sequence=73.238621
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=36 node=N713 type=observe q_typed_residual_context=2.771434 sequence=76.010055
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=37 node=N4656 type=control0 q_typed_residual_context=3.274091 sequence=79.284146
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=38 node=N6537 type=observe q_typed_residual_context=3.747464 sequence=83.031610
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=39 node=N4670 type=control0 q_typed_residual_context=1.618785 sequence=84.650395
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=40 node=N8470 type=observe q_typed_residual_context=2.710952 sequence=87.361347
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=41 node=N724 type=observe q_typed_residual_context=1.791569 sequence=89.152916
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=42 node=N4684 type=control0 q_typed_residual_context=3.084967 sequence=92.237883
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=43 node=N3911 type=control0 q_typed_residual_context=0.977102 sequence=93.214985
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=44 node=N3904 type=control0 q_typed_residual_context=0.977021 sequence=94.192006
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=45 node=N4691 type=control0 q_typed_residual_context=1.938647 sequence=96.130653
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=46 node=N3897 type=control0 q_typed_residual_context=0.995627 sequence=97.126280
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=47 node=N4705 type=control0 q_typed_residual_context=1.666074 sequence=98.792354
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=48 node=N4698 type=control0 q_typed_residual_context=1.528153 sequence=100.320507
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=49 node=N3862 type=control0 q_typed_residual_context=1.198248 sequence=101.518755
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=50 node=N4712 type=control0 q_typed_residual_context=1.592426 sequence=103.111180
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=51 node=N4716 type=control0 q_typed_residual_context=1.770490 sequence=104.881670
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=52 node=N3855 type=control0 q_typed_residual_context=1.331634 sequence=106.213304
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=53 node=N7471 type=control0 q_typed_residual_context=1.968225 sequence=108.181529
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=54 node=N3848 type=control0 q_typed_residual_context=1.627381 sequence=109.808911
[b15-r7/cone_long_rank/epoch_010/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=55 node=N3827 type=control0 q_typed_residual_context=1.608587 sequence=111.417498
