[b15-long-decay/d32/a0.05] [gmean] 2026-07-21T14:37:17 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/long_decay/decay_32/alpha_0p05
[b15-long-decay/d32/a0.05] [gmean] 2026-07-21T14:37:17 budgets=iscas99__b15_1:278
[b15-long-decay/d32/a0.05] [gmean] 2026-07-21T14:37:17 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-long-decay/d32/a0.05] [gmean] 2026-07-21T14:37:17 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.256686 sequence=8.114750
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.306857
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.752951
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.883322 sequence=12.636273
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.125337
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.036277
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.134218
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.315454 sequence=17.449672
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.007396
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.332973
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.783566
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.038888
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.437557
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.037933
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.893900 sequence=28.931833
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.676875
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.069450
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.068008
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.224704
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=38.924458
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.265483 sequence=41.189941
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=23 node=N582 type=control1 q_typed_reliable_context=1.897632 sequence=43.087572
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=24 node=N1860 type=observe q_typed_reliable_context=1.803893 sequence=44.891465
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=25 node=N1372 type=observe q_typed_reliable_context=0.972646 sequence=45.864111
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.351816 sequence=47.215927
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=0.802567 sequence=48.018494
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=28 node=N583 type=control1 q_typed_reliable_context=0.264638 sequence=48.283131
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=29 node=N7516 type=observe q_typed_reliable_context=0.466523 sequence=48.749654
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=30 node=N1437 type=control1 q_typed_reliable_context=0.684833 sequence=49.434487
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=31 node=N5234 type=observe q_typed_reliable_context=0.341572 sequence=49.776059
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=32 node=N4691 type=control0 q_typed_reliable_context=1.722383 sequence=51.498441
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=33 node=N4677 type=control0 q_typed_reliable_context=1.784169 sequence=53.282611
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=34 node=N7411 type=control1 q_typed_reliable_context=0.365048 sequence=53.647659
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=35 node=N7891 type=control1 q_typed_reliable_context=0.389065 sequence=54.036724
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=36 node=N4670 type=control0 q_typed_reliable_context=3.130001 sequence=57.166724
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=37 node=N7413 type=control1 q_typed_reliable_context=0.334077 sequence=57.500802
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=38 node=N4663 type=control0 q_typed_reliable_context=1.699156 sequence=59.199958
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=39 node=N4656 type=control0 q_typed_reliable_context=1.182228 sequence=60.382186
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=40 node=N713 type=observe q_typed_reliable_context=1.629844 sequence=62.012030
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=41 node=N4684 type=control0 q_typed_reliable_context=2.008161 sequence=64.020192
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=42 node=N6537 type=observe q_typed_reliable_context=3.778154 sequence=67.798346
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=43 node=N8470 type=observe q_typed_reliable_context=3.450337 sequence=71.248683
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=44 node=N4649 type=control0 q_typed_reliable_context=2.051898 sequence=73.300581
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=45 node=N4635 type=control0 q_typed_reliable_context=1.585236 sequence=74.885817
[b15-long-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=46 node=N4698 type=control0 q_typed_reliable_context=1.633692 sequence=76.519509
