[b15-alpha-boundary/a0.40] [gmean] 2026-07-21T14:55:23 out_dir=autoresearch/loop-260720-0945/model_training_round7/b15_selection/alpha_boundary/alpha_0p40
[b15-alpha-boundary/a0.40] [gmean] 2026-07-21T14:55:23 budgets=iscas99__b15_1:278
[b15-alpha-boundary/a0.40] [gmean] 2026-07-21T14:55:23 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-alpha-boundary/a0.40] [gmean] 2026-07-21T14:55:23 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.280925 sequence=8.138990
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.331097
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.777191
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.994029 sequence=12.771220
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.260284
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.171224
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.269165
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.362848 sequence=17.632014
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.189737
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.515314
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.965908
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.221229
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.619898
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.220274
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=1.022934 sequence=29.243208
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.988250
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=18 node=N3605 type=observe q_typed_reliable_context=1.512692 sequence=32.500942
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=2.415941 sequence=34.916883
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=1.916455 sequence=36.833338
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=21 node=N2101 type=observe q_typed_reliable_context=2.989336 sequence=39.822674
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=22 node=N1853 type=observe q_typed_reliable_context=1.944937 sequence=41.767611
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=23 node=N1372 type=observe q_typed_reliable_context=1.901414 sequence=43.669025
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_reliable_context=2.001304 sequence=45.670329
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=25 node=N1532 type=observe q_typed_reliable_context=1.806349 sequence=47.476679
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_reliable_context=1.145464 sequence=48.622143
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=27 node=N5723 type=control0 q_typed_reliable_context=0.940753 sequence=49.562895
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_reliable_context=0.738938 sequence=50.301833
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=29 node=N1437 type=control1 q_typed_reliable_context=0.901967 sequence=51.203800
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=30 node=N583 type=control1 q_typed_reliable_context=0.926025 sequence=52.129825
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=31 node=N5234 type=observe q_typed_reliable_context=0.383209 sequence=52.513034
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=32 node=N4691 type=control0 q_typed_reliable_context=1.863454 sequence=54.376488
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=33 node=N4677 type=control0 q_typed_reliable_context=1.674298 sequence=56.050786
[b15-alpha-boundary/a0.40] [plan iscas99__b15_1] [plan] step=34 node=N7411 type=control1 q_typed_reliable_context=0.742892 sequence=56.793678
