benchmark_id,net,fault_count,hard_fault_count,hard_fault_ratio,status_counts,source_fault_csv_count,source_label_count
iscas99__b17,N15375,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N20305,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N20307,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N20309,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N20311,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N20315,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N20317,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N20878,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N22383,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N22426,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N23367,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N23369,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N23371,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N23373,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N23375,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N23379,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N23381,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N23383,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N23385,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N26028,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N26030,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N26032,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N26034,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N26036,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N26038,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N26040,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N26042,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N26044,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N26046,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N26048,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N26050,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N26053,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N26055,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N26093,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N27816,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N27818,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N27820,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N27822,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N27824,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N27828,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N27830,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N27832,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N33254,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N33733,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N33861,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N33902,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N35562,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N35575,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N35615,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N35623,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N35629,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N35798,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N35854,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N37605,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,N8938,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_104_N12424,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_107_N27349,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_108_N27351,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_109_N27353,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_110_N27354,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_112_N27363,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_120_N12401,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_121_N12404,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_122_N12417,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_123_N12433,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_127_N26505,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_129_N26515,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_131_N26504,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_132_N26513,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_135_N12351,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_143_N13615,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_152_N12740,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_153_N19450,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_164_N3971,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_166_N7225,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_16_N19193,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_176_N7218,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_17_N19195,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_184_N7151,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_191_N12739,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_193_N13617,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_19_N7680,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_20_N7682,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_24_N18879,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_32_N12794,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_33_N12797,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_34_N12803,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_35_N12806,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_37_N12809,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_38_N12812,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_51_N9508,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_53_N15365,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_55_N14731,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b17,__tpi_cp_56_N19206,2,2,1.0,"{""UNDETECTED"": 2}",1,1
