[b15-r9/horizon_only_late/a0.10/d64] [gmean] 2026-07-21T16:24:55 out_dir=autoresearch/loop-260720-0945/model_training_round9/b15_selection/horizon_only_late/best_final_horizon/alpha_0p10_decay_64
[b15-r9/horizon_only_late/a0.10/d64] [gmean] 2026-07-21T16:24:55 budgets=iscas99__b15_1:278
[b15-r9/horizon_only_late/a0.10/d64] [gmean] 2026-07-21T16:24:55 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r9/horizon_only_late/a0.10/d64] [gmean] 2026-07-21T16:24:55 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.256800 sequence=8.114865
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.306971
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.753065
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.897134 sequence=12.650199
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.139263
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.050203
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.148144
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.364199 sequence=17.512344
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.070067
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.395644
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.846238
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.101559
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.500228
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.100604
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.948402 sequence=29.049007
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.794049
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.186624
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.185182
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.341878
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=39.041631
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.328915 sequence=41.370547
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=23 node=N1860 type=observe q_typed_reliable_context=1.946054 sequence=43.316601
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=24 node=N1372 type=observe q_typed_reliable_context=1.818618 sequence=45.135219
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_reliable_context=1.720757 sequence=46.855976
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.807458 sequence=48.663434
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=0.803725 sequence=49.467159
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_reliable_context=0.854314 sequence=50.321473
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=29 node=N4684 type=control0 q_typed_reliable_context=2.985793 sequence=53.307266
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=30 node=N1437 type=control1 q_typed_reliable_context=0.324663 sequence=53.631929
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=31 node=N583 type=control1 q_typed_reliable_context=1.472114 sequence=55.104043
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=32 node=N4670 type=control0 q_typed_reliable_context=2.807912 sequence=57.911955
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.746173 sequence=58.658128
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.978288 sequence=59.636416
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=35 node=N4663 type=control0 q_typed_reliable_context=1.831768 sequence=61.468184
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=36 node=N4656 type=control0 q_typed_reliable_context=2.134395 sequence=63.602580
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.615070 sequence=65.217650
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=38 node=N7881 type=control1 q_typed_reliable_context=0.712285 sequence=65.929935
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=39 node=N7882 type=control1 q_typed_reliable_context=0.829745 sequence=66.759680
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=40 node=N7883 type=control1 q_typed_reliable_context=0.600771 sequence=67.360451
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=41 node=N7884 type=control1 q_typed_reliable_context=0.496956 sequence=67.857408
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=42 node=N704 type=observe q_typed_reliable_context=1.458803 sequence=69.316211
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=43 node=N6537 type=observe q_typed_reliable_context=3.684462 sequence=73.000673
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=44 node=N4691 type=control0 q_typed_reliable_context=5.738028 sequence=78.738701
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=45 node=N724 type=observe q_typed_reliable_context=3.062793 sequence=81.801494
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=46 node=N4677 type=control0 q_typed_reliable_context=1.937010 sequence=83.738505
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=47 node=N4698 type=control0 q_typed_reliable_context=1.140037 sequence=84.878541
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=48 node=N8470 type=observe q_typed_reliable_context=1.498426 sequence=86.376968
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=49 node=N4635 type=control0 q_typed_reliable_context=1.295819 sequence=87.672787
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_reliable_context=1.395245 sequence=89.068032
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_reliable_context=0.943222 sequence=90.011254
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=52 node=N3904 type=control0 q_typed_reliable_context=0.944241 sequence=90.955495
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=53 node=N3897 type=control0 q_typed_reliable_context=0.965120 sequence=91.920614
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=54 node=N3701 type=control0 q_typed_reliable_context=0.916539 sequence=92.837153
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=55 node=N3862 type=control0 q_typed_reliable_context=0.940914 sequence=93.778067
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=56 node=N3855 type=control0 q_typed_reliable_context=0.953488 sequence=94.731556
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=57 node=N3848 type=control0 q_typed_reliable_context=0.957504 sequence=95.689059
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=58 node=N3805 type=control0 q_typed_reliable_context=0.959612 sequence=96.648672
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=59 node=N3889 type=control0 q_typed_reliable_context=0.902132 sequence=97.550804
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=60 node=N2083 type=observe q_typed_reliable_context=1.004439 sequence=98.555243
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=61 node=N3882 type=control0 q_typed_reliable_context=1.114180 sequence=99.669422
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=62 node=N5603 type=control0 q_typed_reliable_context=1.065801 sequence=100.735223
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=63 node=N7506 type=observe q_typed_reliable_context=1.725392 sequence=102.460615
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=64 node=N4606 type=control0 q_typed_reliable_context=0.898713 sequence=103.359328
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=65 node=N4712 type=control0 q_typed_reliable_context=0.917928 sequence=104.277256
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=66 node=N4716 type=control0 q_typed_reliable_context=1.024028 sequence=105.301284
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=67 node=N2044 type=observe q_typed_reliable_context=1.030423 sequence=106.331706
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=68 node=N519 type=control1 q_typed_reliable_context=0.967599 sequence=107.299306
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=69 node=N2042 type=observe q_typed_reliable_context=0.854129 sequence=108.153435
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=70 node=N504 type=control1 q_typed_reliable_context=1.406626 sequence=109.560062
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=71 node=N7471 type=control0 q_typed_reliable_context=0.790757 sequence=110.350819
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=72 node=N513 type=control1 q_typed_reliable_context=1.245284 sequence=111.596103
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=73 node=N7724 type=control0 q_typed_reliable_context=0.756676 sequence=112.352779
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=74 node=N520 type=control1 q_typed_reliable_context=1.391537 sequence=113.744316
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=75 node=N1539 type=control0 q_typed_reliable_context=0.758027 sequence=114.502343
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=76 node=N516 type=control1 q_typed_reliable_context=1.557464 sequence=116.059807
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=77 node=N5234 type=observe q_typed_reliable_context=0.769094 sequence=116.828900
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=78 node=N7722 type=control0 q_typed_reliable_context=0.843700 sequence=117.672600
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=79 node=N4578 type=control0 q_typed_reliable_context=1.272582 sequence=118.945182
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=80 node=N899 type=observe q_typed_reliable_context=1.117102 sequence=120.062284
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=81 node=N7875 type=control1 q_typed_reliable_context=0.813394 sequence=120.875678
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=82 node=N4585 type=control0 q_typed_reliable_context=1.269409 sequence=122.145087
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=83 node=N7370 type=control1 q_typed_reliable_context=0.752138 sequence=122.897225
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=84 node=N555 type=control1 q_typed_reliable_context=1.527494 sequence=124.424719
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=85 node=N7891 type=control1 q_typed_reliable_context=1.320239 sequence=125.744958
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=86 node=N7885 type=control1 q_typed_reliable_context=1.515749 sequence=127.260707
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=87 node=N7886 type=control1 q_typed_reliable_context=1.689438 sequence=128.950145
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=88 node=N7887 type=control1 q_typed_reliable_context=1.671019 sequence=130.621164
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=89 node=N7888 type=control1 q_typed_reliable_context=0.992342 sequence=131.613506
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=90 node=N7889 type=control1 q_typed_reliable_context=0.991923 sequence=132.605429
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=91 node=N7890 type=control1 q_typed_reliable_context=1.112731 sequence=133.718161
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=92 node=N507 type=control1 q_typed_reliable_context=1.311989 sequence=135.030150
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=93 node=N3785 type=control0 q_typed_reliable_context=1.010801 sequence=136.040951
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=94 node=N3827 type=control0 q_typed_reliable_context=2.631303 sequence=138.672254
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=95 node=N713 type=observe q_typed_reliable_context=5.386739 sequence=144.058993
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=96 node=N3820 type=control0 q_typed_reliable_context=1.424080 sequence=145.483073
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=97 node=N7725 type=control0 q_typed_reliable_context=1.217618 sequence=146.700691
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=98 node=N7723 type=control0 q_typed_reliable_context=1.466191 sequence=148.166882
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=99 node=N7408 type=control0 q_typed_reliable_context=1.527273 sequence=149.694155
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=100 node=N7541 type=control0 q_typed_reliable_context=1.386282 sequence=151.080436
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=101 node=N7846 type=control0 q_typed_reliable_context=1.331841 sequence=152.412278
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=102 node=N556 type=control1 q_typed_reliable_context=1.462480 sequence=153.874758
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=103 node=N614 type=control1 q_typed_reliable_context=1.321318 sequence=155.196076
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=104 node=N3813 type=control0 q_typed_reliable_context=1.783298 sequence=156.979374
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=105 node=N634 type=control1 q_typed_reliable_context=1.444218 sequence=158.423592
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=106 node=N3799 type=control0 q_typed_reliable_context=1.443681 sequence=159.867273
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=107 node=N610 type=control1 q_typed_reliable_context=1.350894 sequence=161.218167
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=108 node=N3792 type=control0 q_typed_reliable_context=1.323319 sequence=162.541485
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=109 node=N620 type=control1 q_typed_reliable_context=1.224016 sequence=163.765501
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=110 node=N510 type=control1 q_typed_reliable_context=1.716818 sequence=165.482319
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=111 node=N638 type=control1 q_typed_reliable_context=1.312546 sequence=166.794865
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=112 node=N3682 type=control0 q_typed_reliable_context=1.660053 sequence=168.454918
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=113 node=N7852 type=control0 q_typed_reliable_context=1.336572 sequence=169.791489
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=114 node=N722 type=observe q_typed_reliable_context=2.392744 sequence=172.184233
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=115 node=N4564 type=control0 q_typed_reliable_context=1.972797 sequence=174.157030
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=116 node=N7872 type=control1 q_typed_reliable_context=2.152274 sequence=176.309304
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=117 node=N4557 type=control0 q_typed_reliable_context=2.926533 sequence=179.235837
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=118 node=N4520 type=control0 q_typed_reliable_context=2.978783 sequence=182.214620
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=119 node=N7847 type=control0 q_typed_reliable_context=3.026080 sequence=185.240700
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=120 node=N3903 type=control0 q_typed_reliable_context=2.353161 sequence=187.593861
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=121 node=N7853 type=control0 q_typed_reliable_context=2.391950 sequence=189.985811
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=122 node=N7820 type=control0 q_typed_reliable_context=2.535725 sequence=192.521536
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=123 node=N3896 type=control0 q_typed_reliable_context=2.362523 sequence=194.884059
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=124 node=N7588 type=control1 q_typed_reliable_context=1.516259 sequence=196.400318
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=125 node=N645 type=control1 q_typed_reliable_context=1.650564 sequence=198.050883
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=126 node=N2040 type=observe q_typed_reliable_context=1.932197 sequence=199.983080
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=127 node=N7590 type=control1 q_typed_reliable_context=1.280456 sequence=201.263536
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=128 node=N7537 type=observe q_typed_reliable_context=1.544327 sequence=202.807863
[b15-r9/horizon_only_late/a0.10/d64] [plan iscas99__b15_1] [plan] step=129 node=N7535 type=observe q_typed_reliable_context=1.965597 sequence=204.773460
