[b15-r9/horizon_joint_late/a0.05/d64] [gmean] 2026-07-21T16:29:47 out_dir=autoresearch/loop-260720-0945/model_training_round9/b15_selection/horizon_joint_late/best_final_horizon/alpha_0p05_decay_64
[b15-r9/horizon_joint_late/a0.05/d64] [gmean] 2026-07-21T16:29:47 budgets=iscas99__b15_1:278
[b15-r9/horizon_joint_late/a0.05/d64] [gmean] 2026-07-21T16:29:47 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r9/horizon_joint_late/a0.05/d64] [gmean] 2026-07-21T16:29:47 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.254585 sequence=8.112649
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.304756
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.750850
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.878758 sequence=12.629608
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.118672
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.029612
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.127553
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.331871 sequence=17.459424
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.017147
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.342725
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.793318
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.048639
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.447309
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.047685
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.907300 sequence=28.954985
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.700027
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.092603
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.091160
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.247857
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=38.947610
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.279585 sequence=41.227195
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=23 node=N4656 type=control0 q_typed_reliable_context=2.866076 sequence=44.093271
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=24 node=N1860 type=observe q_typed_reliable_context=2.488488 sequence=46.581759
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=25 node=N1372 type=observe q_typed_reliable_context=1.785972 sequence=48.367731
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.512279 sequence=49.880010
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=27 node=N582 type=control1 q_typed_reliable_context=1.330602 sequence=51.210613
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=28 node=N766 type=control1 q_typed_reliable_context=0.725536 sequence=51.936148
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=29 node=N1437 type=control1 q_typed_reliable_context=0.837137 sequence=52.773285
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=30 node=N583 type=control1 q_typed_reliable_context=0.936163 sequence=53.709449
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=31 node=N893 type=observe q_typed_reliable_context=0.820048 sequence=54.529496
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=32 node=N4684 type=control0 q_typed_reliable_context=3.296607 sequence=57.826103
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.654658 sequence=58.480761
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.358449 sequence=58.839210
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=35 node=N4677 type=control0 q_typed_reliable_context=2.065111 sequence=60.904321
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=36 node=N4663 type=control0 q_typed_reliable_context=3.006406 sequence=63.910728
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.717735 sequence=65.628463
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=38 node=N713 type=observe q_typed_reliable_context=1.569845 sequence=67.198308
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=39 node=N7881 type=control1 q_typed_reliable_context=0.480196 sequence=67.678504
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=40 node=N7882 type=control1 q_typed_reliable_context=0.688931 sequence=68.367435
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=41 node=N7883 type=control1 q_typed_reliable_context=0.369877 sequence=68.737312
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=42 node=N7884 type=control1 q_typed_reliable_context=0.406215 sequence=69.143527
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=43 node=N7885 type=control1 q_typed_reliable_context=0.474367 sequence=69.617894
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=44 node=N6537 type=observe q_typed_reliable_context=2.688829 sequence=72.306723
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=45 node=N4691 type=control0 q_typed_reliable_context=2.360533 sequence=74.667256
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=46 node=N724 type=observe q_typed_reliable_context=2.492014 sequence=77.159270
[b15-r9/horizon_joint_late/a0.05/d64] [plan iscas99__b15_1] [plan] step=47 node=N4698 type=control0 q_typed_reliable_context=1.330836 sequence=78.490107
