[b15-r9/horizon_joint_late/a0.10/d128] [gmean] 2026-07-21T16:34:26 out_dir=autoresearch/loop-260720-0945/model_training_round9/b15_selection/horizon_joint_late/best_final_horizon/alpha_0p10_decay_128
[b15-r9/horizon_joint_late/a0.10/d128] [gmean] 2026-07-21T16:34:26 budgets=iscas99__b15_1:278
[b15-r9/horizon_joint_late/a0.10/d128] [gmean] 2026-07-21T16:34:26 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r9/horizon_joint_late/a0.10/d128] [gmean] 2026-07-21T16:34:26 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.256096 sequence=8.114161
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.306268
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.752362
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.893332 sequence=12.645694
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.134758
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.045698
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.143639
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.360635 sequence=17.504274
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.061998
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.387575
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.838168
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.093490
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.492159
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.092535
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.964251 sequence=29.056785
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.801828
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.194403
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.192961
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.349657
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=39.049410
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.326372 sequence=41.375782
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=23 node=N1860 type=observe q_typed_reliable_context=1.955886 sequence=43.331668
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=24 node=N1372 type=observe q_typed_reliable_context=1.834694 sequence=45.166362
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_reliable_context=1.720757 sequence=46.887119
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.837560 sequence=48.724679
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=0.818084 sequence=49.542763
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_reliable_context=0.874557 sequence=50.417321
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=29 node=N4684 type=control0 q_typed_reliable_context=2.986205 sequence=53.403525
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=30 node=N1437 type=control1 q_typed_reliable_context=0.324663 sequence=53.728189
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=31 node=N583 type=control1 q_typed_reliable_context=1.472114 sequence=55.200303
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=32 node=N4677 type=control0 q_typed_reliable_context=2.807918 sequence=58.008221
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.746178 sequence=58.754399
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.978282 sequence=59.732681
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=35 node=N4670 type=control0 q_typed_reliable_context=1.831909 sequence=61.564590
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=36 node=N4656 type=control0 q_typed_reliable_context=2.134401 sequence=63.698992
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.615276 sequence=65.314268
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=38 node=N7881 type=control1 q_typed_reliable_context=0.712282 sequence=66.026550
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=39 node=N7882 type=control1 q_typed_reliable_context=0.829881 sequence=66.856431
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=40 node=N7883 type=control1 q_typed_reliable_context=0.600772 sequence=67.457202
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=41 node=N7884 type=control1 q_typed_reliable_context=0.496965 sequence=67.954168
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=42 node=N704 type=observe q_typed_reliable_context=1.458814 sequence=69.412982
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=43 node=N6537 type=observe q_typed_reliable_context=3.684615 sequence=73.097597
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=44 node=N4691 type=control0 q_typed_reliable_context=5.737793 sequence=78.835390
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=45 node=N724 type=observe q_typed_reliable_context=3.062804 sequence=81.898194
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=46 node=N4663 type=control0 q_typed_reliable_context=1.937052 sequence=83.835246
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=47 node=N4698 type=control0 q_typed_reliable_context=1.140052 sequence=84.975298
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=48 node=N8470 type=observe q_typed_reliable_context=1.520903 sequence=86.496201
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=49 node=N4635 type=control0 q_typed_reliable_context=1.296360 sequence=87.792561
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_reliable_context=1.395258 sequence=89.187819
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_reliable_context=0.943220 sequence=90.131039
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=52 node=N3904 type=control0 q_typed_reliable_context=0.944240 sequence=91.075278
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=53 node=N3897 type=control0 q_typed_reliable_context=0.984173 sequence=92.059452
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=54 node=N3701 type=control0 q_typed_reliable_context=0.920581 sequence=92.980033
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=55 node=N3862 type=control0 q_typed_reliable_context=0.940920 sequence=93.920953
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=56 node=N3855 type=control0 q_typed_reliable_context=0.953490 sequence=94.874442
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=57 node=N3848 type=control0 q_typed_reliable_context=0.957503 sequence=95.831945
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=58 node=N3889 type=control0 q_typed_reliable_context=0.961888 sequence=96.793833
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=59 node=N3882 type=control0 q_typed_reliable_context=0.902126 sequence=97.695960
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=60 node=N2083 type=observe q_typed_reliable_context=1.004444 sequence=98.700403
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=61 node=N3805 type=control0 q_typed_reliable_context=1.114230 sequence=99.814633
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=62 node=N5603 type=control0 q_typed_reliable_context=1.065799 sequence=100.880432
[b15-r9/horizon_joint_late/a0.10/d128] [plan iscas99__b15_1] [plan] step=63 node=N7506 type=observe q_typed_reliable_context=1.725277 sequence=102.605708
