[b15-r9/horizon_joint_late/a0.05/d0] [gmean] 2026-07-21T16:29:47 out_dir=autoresearch/loop-260720-0945/model_training_round9/b15_selection/horizon_joint_late/best_final_horizon/alpha_0p05_decay_none
[b15-r9/horizon_joint_late/a0.05/d0] [gmean] 2026-07-21T16:29:47 budgets=iscas99__b15_1:278
[b15-r9/horizon_joint_late/a0.05/d0] [gmean] 2026-07-21T16:29:47 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r9/horizon_joint_late/a0.05/d0] [gmean] 2026-07-21T16:29:47 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.254608 sequence=8.112673
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.304780
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.750874
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.879642 sequence=12.630515
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.119579
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.030519
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.128460
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.335263 sequence=17.463723
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.021447
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.347024
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.797617
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.052939
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.451608
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.051984
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.919347 sequence=28.971331
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.716373
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.108948
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.107506
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.264202
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=38.963956
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.292979 sequence=41.256935
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=23 node=N4656 type=control0 q_typed_reliable_context=2.866299 sequence=44.123234
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=24 node=N1860 type=observe q_typed_reliable_context=2.513603 sequence=46.636837
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=25 node=N1372 type=observe q_typed_reliable_context=1.815998 sequence=48.452836
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.544410 sequence=49.997246
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=27 node=N582 type=control1 q_typed_reliable_context=1.330602 sequence=51.327848
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=28 node=N766 type=control1 q_typed_reliable_context=0.735057 sequence=52.062905
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=29 node=N1437 type=control1 q_typed_reliable_context=0.837137 sequence=52.900042
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=30 node=N583 type=control1 q_typed_reliable_context=0.936163 sequence=53.836206
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=31 node=N893 type=observe q_typed_reliable_context=0.824910 sequence=54.661116
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=32 node=N4684 type=control0 q_typed_reliable_context=3.297069 sequence=57.958185
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.654658 sequence=58.612843
[b15-r9/horizon_joint_late/a0.05/d0] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.358449 sequence=58.971292
