step,node,type,planner,candidate_strategy
1,N7381,control0,candidate_baseline,hard_fault_cluster
2,N7874,control1,candidate_baseline,hard_fault_cluster
3,N7541,observe,candidate_baseline,hard_fault_cluster
4,N7471,control0,candidate_baseline,hard_fault_cluster
5,N7414,control1,candidate_baseline,hard_fault_cluster
6,N6538,observe,candidate_baseline,hard_fault_cluster
7,N7472,control0,candidate_baseline,hard_fault_cluster
8,N7876,control1,candidate_baseline,hard_fault_cluster
9,N3687,observe,candidate_baseline,hard_fault_cluster
10,N7820,control0,candidate_baseline,hard_fault_cluster
11,N632,control1,candidate_baseline,hard_fault_cluster
12,N7694,observe,candidate_baseline,hard_fault_cluster
13,N7543,control0,candidate_baseline,hard_fault_cluster
14,N7411,control1,candidate_baseline,hard_fault_cluster
15,N653,observe,candidate_baseline,hard_fault_cluster
16,N7821,control0,candidate_baseline,hard_fault_cluster
17,N7878,control1,candidate_baseline,hard_fault_cluster
18,N766,observe,candidate_baseline,hard_fault_cluster
19,N7544,control0,candidate_baseline,hard_fault_cluster
20,N7500,control1,candidate_baseline,hard_fault_cluster
21,N7096,observe,candidate_baseline,hard_fault_cluster
22,N1540,control0,candidate_baseline,hard_fault_cluster
23,N488,control1,candidate_baseline,hard_fault_cluster
24,N903,observe,candidate_baseline,hard_fault_cluster
25,N1544,control0,candidate_baseline,hard_fault_cluster
26,N513,control1,candidate_baseline,hard_fault_cluster
27,N7454,observe,candidate_baseline,hard_fault_cluster
28,N7599,control0,candidate_baseline,hard_fault_cluster
29,N519,control1,candidate_baseline,hard_fault_cluster
30,N6725,observe,candidate_baseline,hard_fault_cluster
31,N7598,control0,candidate_baseline,hard_fault_cluster
32,N504,control1,candidate_baseline,hard_fault_cluster
33,N7072,observe,candidate_baseline,hard_fault_cluster
34,N2221,control0,candidate_baseline,hard_fault_cluster
35,N516,control1,candidate_baseline,hard_fault_cluster
36,N535,observe,candidate_baseline,hard_fault_cluster
37,N2213,control0,candidate_baseline,hard_fault_cluster
38,N520,control1,candidate_baseline,hard_fault_cluster
39,N537,observe,candidate_baseline,hard_fault_cluster
40,N635,control0,candidate_baseline,hard_fault_cluster
41,N5613,control1,candidate_baseline,hard_fault_cluster
42,N533,observe,candidate_baseline,hard_fault_cluster
43,N615,control0,candidate_baseline,hard_fault_cluster
44,N640,control1,candidate_baseline,hard_fault_cluster
45,N531,observe,candidate_baseline,hard_fault_cluster
46,N633,control0,candidate_baseline,hard_fault_cluster
47,N555,control1,candidate_baseline,hard_fault_cluster
48,N545,observe,candidate_baseline,hard_fault_cluster
49,N613,control0,candidate_baseline,hard_fault_cluster
50,N556,control1,candidate_baseline,hard_fault_cluster
51,N539,observe,candidate_baseline,hard_fault_cluster
52,N7459,control0,candidate_baseline,hard_fault_cluster
53,N507,control1,candidate_baseline,hard_fault_cluster
54,N541,observe,candidate_baseline,hard_fault_cluster
55,N639,control0,candidate_baseline,hard_fault_cluster
56,N634,control1,candidate_baseline,hard_fault_cluster
57,N543,observe,candidate_baseline,hard_fault_cluster
58,N622,control0,candidate_baseline,hard_fault_cluster
59,N614,control1,candidate_baseline,hard_fault_cluster
60,N7105,observe,candidate_baseline,hard_fault_cluster
61,N627,control0,candidate_baseline,hard_fault_cluster
62,N610,control1,candidate_baseline,hard_fault_cluster
63,N7117,observe,candidate_baseline,hard_fault_cluster
64,N2003,control0,candidate_baseline,hard_fault_cluster
65,N510,control1,candidate_baseline,hard_fault_cluster
66,N703,observe,candidate_baseline,hard_fault_cluster
67,N646,control0,candidate_baseline,hard_fault_cluster
68,N638,control1,candidate_baseline,hard_fault_cluster
69,N714,observe,candidate_baseline,hard_fault_cluster
70,N637,control0,candidate_baseline,hard_fault_cluster
71,N620,control1,candidate_baseline,hard_fault_cluster
72,N701,observe,candidate_baseline,hard_fault_cluster
73,N617,control0,candidate_baseline,hard_fault_cluster
74,N626,control1,candidate_baseline,hard_fault_cluster
75,N715,observe,candidate_baseline,hard_fault_cluster
76,N625,control0,candidate_baseline,hard_fault_cluster
77,N508,control1,candidate_baseline,hard_fault_cluster
78,N713,observe,candidate_baseline,hard_fault_cluster
79,N1543,control0,candidate_baseline,hard_fault_cluster
80,N645,control1,candidate_baseline,hard_fault_cluster
81,N710,observe,candidate_baseline,hard_fault_cluster
82,N631,control0,candidate_baseline,hard_fault_cluster
83,N616,control1,candidate_baseline,hard_fault_cluster
84,N706,observe,candidate_baseline,hard_fault_cluster
85,N644,control0,candidate_baseline,hard_fault_cluster
86,N636,control1,candidate_baseline,hard_fault_cluster
87,N712,observe,candidate_baseline,hard_fault_cluster
88,N650,control0,candidate_baseline,hard_fault_cluster
89,N624,control1,candidate_baseline,hard_fault_cluster
90,N709,observe,candidate_baseline,hard_fault_cluster
91,N629,control0,candidate_baseline,hard_fault_cluster
92,N630,control1,candidate_baseline,hard_fault_cluster
93,N708,observe,candidate_baseline,hard_fault_cluster
94,N7473,control0,candidate_baseline,hard_fault_cluster
95,N642,control1,candidate_baseline,hard_fault_cluster
96,N705,observe,candidate_baseline,hard_fault_cluster
97,N2310,control0,candidate_baseline,hard_fault_cluster
98,N649,control1,candidate_baseline,hard_fault_cluster
99,N700,observe,candidate_baseline,hard_fault_cluster
100,N8054,control0,candidate_baseline,hard_fault_cluster
101,N628,control1,candidate_baseline,hard_fault_cluster
102,N699,observe,candidate_baseline,hard_fault_cluster
103,N648,control0,candidate_baseline,hard_fault_cluster
104,N647,control1,candidate_baseline,hard_fault_cluster
105,N698,observe,candidate_baseline,hard_fault_cluster
106,N7593,control0,candidate_baseline,hard_fault_cluster
107,N1607,control1,candidate_baseline,hard_fault_cluster
108,N704,observe,candidate_baseline,hard_fault_cluster
109,N5301,control0,candidate_baseline,hard_fault_cluster
110,N608,control1,candidate_baseline,hard_fault_cluster
111,N707,observe,candidate_baseline,hard_fault_cluster
112,N7532,control0,candidate_baseline,hard_fault_cluster
113,N1586,control1,candidate_baseline,hard_fault_cluster
114,N6726,observe,candidate_baseline,hard_fault_cluster
115,N5267,control0,candidate_baseline,hard_fault_cluster
116,N623,control1,candidate_baseline,hard_fault_cluster
117,N7120,observe,candidate_baseline,hard_fault_cluster
118,N7719,control0,candidate_baseline,hard_fault_cluster
119,N7370,control1,candidate_baseline,hard_fault_cluster
120,N6722,observe,candidate_baseline,hard_fault_cluster
121,N2242,control0,candidate_baseline,hard_fault_cluster
122,N3410,control1,candidate_baseline,hard_fault_cluster
123,N7386,observe,candidate_baseline,hard_fault_cluster
124,N7923,control0,candidate_baseline,hard_fault_cluster
125,N3525,control1,candidate_baseline,hard_fault_cluster
126,N7111,observe,candidate_baseline,hard_fault_cluster
127,N3697,control0,candidate_baseline,hard_fault_cluster
128,N3467,control1,candidate_baseline,hard_fault_cluster
129,N7093,observe,candidate_baseline,hard_fault_cluster
130,N7700,control0,candidate_baseline,hard_fault_cluster
131,N2952,control1,candidate_baseline,hard_fault_cluster
132,N2226,observe,candidate_baseline,hard_fault_cluster
133,N7535,control0,candidate_baseline,hard_fault_cluster
