[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T10:45:38 out_dir=autoresearch/loop-260720-0945/model_training_round6_type_balanced/b15_selection/type_balanced_rank/best_final_horizon/q_typed_residual_context/alpha_0p20_weight_0p75
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T10:45:38 budgets=iscas99__b15_1:278
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T10:45:38 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T10:45:38 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.240617 sequence=5.240617
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.722368 sequence=9.962985
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=1.979862 sequence=11.942846
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.645029 sequence=13.587876
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.224363 sequence=14.812239
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.158576 sequence=15.970815
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.977934 sequence=16.948750
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.086181 sequence=18.034931
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.936699 sequence=18.971630
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.182706 sequence=20.154336
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.290324 sequence=22.444660
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.526448 sequence=23.971108
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.265034 sequence=27.236142
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.038771 sequence=30.274913
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.710775 sequence=32.985688
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=1.878109 sequence=34.863797
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=4.747332 sequence=39.611129
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=4.650172 sequence=44.261300
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.301514 sequence=49.562814
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=4.836940 sequence=54.399754
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.215015 sequence=58.614770
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.713263 sequence=65.328032
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=6.080281 sequence=71.408314
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=24 node=N7516 type=observe q_typed_residual_context=5.947898 sequence=77.356212
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_residual_context=4.135336 sequence=81.491548
[b15-r6-type/type_balanced_rank/best_final_horizon/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=6.836526 sequence=88.328074
