[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T10:51:55 out_dir=autoresearch/loop-260720-0945/model_training_round6_type_balanced/b15_selection/type_balanced_rank/epoch_008/q_typed_residual_context/alpha_0p20_weight_0p75
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T10:51:55 budgets=iscas99__b15_1:278
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T10:51:55 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [gmean] 2026-07-21T10:51:55 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.242672 sequence=5.242672
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.699641 sequence=9.942312
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=1.977624 sequence=11.919937
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.642691 sequence=13.562628
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.221150 sequence=14.783778
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=6 node=N3742 type=control0 q_typed_residual_context=1.160631 sequence=15.944409
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.977931 sequence=16.922340
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.092433 sequence=18.014773
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=9 node=N3756 type=control0 q_typed_residual_context=0.936515 sequence=18.951288
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_residual_context=1.772595 sequence=20.723882
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=1.248544 sequence=21.972426
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=12 node=N5723 type=control0 q_typed_residual_context=0.966935 sequence=22.939361
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=13 node=N2081 type=observe q_typed_residual_context=1.232376 sequence=24.171738
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=14 node=N737 type=control1 q_typed_residual_context=1.696615 sequence=25.868353
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=15 node=N580 type=control1 q_typed_residual_context=2.460431 sequence=28.328784
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=16 node=N5203 type=control1 q_typed_residual_context=2.410405 sequence=30.739189
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=17 node=N2153 type=observe q_typed_residual_context=2.163763 sequence=32.902952
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=18 node=N1853 type=observe q_typed_residual_context=5.063507 sequence=37.966459
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.597842 sequence=43.564301
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=3.270131 sequence=46.834432
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=3.043074 sequence=49.877506
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=22 node=N582 type=control1 q_typed_residual_context=6.306167 sequence=56.183673
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=23 node=N1532 type=observe q_typed_residual_context=4.995336 sequence=61.179009
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=24 node=N496 type=control1 q_typed_residual_context=6.885452 sequence=68.064461
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=6.356596 sequence=74.421057
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=3.199616 sequence=77.620673
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=27 node=N1437 type=control1 q_typed_residual_context=5.275755 sequence=82.896428
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=28 node=N5234 type=observe q_typed_residual_context=5.928262 sequence=88.824690
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=29 node=N7511 type=control1 q_typed_residual_context=4.189522 sequence=93.014212
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=30 node=N3820 type=control0 q_typed_residual_context=0.856559 sequence=93.870771
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=31 node=N583 type=control1 q_typed_residual_context=3.295333 sequence=97.166104
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=32 node=N2042 type=observe q_typed_residual_context=4.408441 sequence=101.574545
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=33 node=N4635 type=control0 q_typed_residual_context=6.447226 sequence=108.021771
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=34 node=N7411 type=control1 q_typed_residual_context=1.184098 sequence=109.205869
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=35 node=N2044 type=observe q_typed_residual_context=2.002467 sequence=111.208336
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=36 node=N2040 type=observe q_typed_residual_context=5.438790 sequence=116.647126
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=37 node=N7413 type=control1 q_typed_residual_context=4.602555 sequence=121.249681
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=6.838552 sequence=128.088233
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=39 node=N3701 type=control0 q_typed_residual_context=0.851590 sequence=128.939823
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=40 node=N3911 type=control0 q_typed_residual_context=0.874828 sequence=129.814652
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=41 node=N3904 type=control0 q_typed_residual_context=0.844418 sequence=130.659069
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=42 node=N7891 type=control1 q_typed_residual_context=0.998587 sequence=131.657656
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=43 node=N3897 type=control0 q_typed_residual_context=1.026343 sequence=132.683999
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=44 node=N4663 type=control0 q_typed_residual_context=1.353531 sequence=134.037530
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=45 node=N4656 type=control0 q_typed_residual_context=1.838424 sequence=135.875954
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=46 node=N4670 type=control0 q_typed_residual_context=2.608593 sequence=138.484546
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=47 node=N7881 type=control1 q_typed_residual_context=1.329068 sequence=139.813615
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=48 node=N7882 type=control1 q_typed_residual_context=1.422819 sequence=141.236433
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=49 node=N7883 type=control1 q_typed_residual_context=1.578859 sequence=142.815293
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=50 node=N7884 type=control1 q_typed_residual_context=1.654316 sequence=144.469608
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=51 node=N4677 type=control0 q_typed_residual_context=2.237258 sequence=146.706866
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=52 node=N3862 type=control0 q_typed_residual_context=1.068746 sequence=147.775612
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=53 node=N4684 type=control0 q_typed_residual_context=1.948793 sequence=149.724405
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=54 node=N704 type=observe q_typed_residual_context=1.708421 sequence=151.432826
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=55 node=N4691 type=control0 q_typed_residual_context=1.764874 sequence=153.197700
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=56 node=N724 type=observe q_typed_residual_context=1.449953 sequence=154.647652
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=57 node=N7888 type=control1 q_typed_residual_context=1.197980 sequence=155.845632
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=58 node=N4698 type=control0 q_typed_residual_context=1.703289 sequence=157.548921
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=59 node=N3827 type=control0 q_typed_residual_context=1.047556 sequence=158.596477
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=60 node=N4705 type=control0 q_typed_residual_context=1.506914 sequence=160.103391
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=61 node=N3855 type=control0 q_typed_residual_context=1.139593 sequence=161.242984
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=62 node=N4712 type=control0 q_typed_residual_context=1.440253 sequence=162.683238
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=63 node=N4716 type=control0 q_typed_residual_context=1.337527 sequence=164.020764
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=64 node=N3848 type=control0 q_typed_residual_context=1.105620 sequence=165.126384
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=65 node=N713 type=observe q_typed_residual_context=1.409968 sequence=166.536353
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=66 node=N3813 type=control0 q_typed_residual_context=1.106293 sequence=167.642645
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=67 node=N3799 type=control0 q_typed_residual_context=1.388767 sequence=169.031412
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=68 node=N3792 type=control0 q_typed_residual_context=1.800257 sequence=170.831669
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=69 node=N3785 type=control0 q_typed_residual_context=1.775586 sequence=172.607255
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=70 node=N3722 type=control0 q_typed_residual_context=1.813122 sequence=174.420376
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=71 node=N3889 type=control0 q_typed_residual_context=2.167784 sequence=176.588161
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=72 node=N3882 type=control0 q_typed_residual_context=2.285083 sequence=178.873244
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=73 node=N3805 type=control0 q_typed_residual_context=2.173554 sequence=181.046798
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=74 node=N7471 type=control0 q_typed_residual_context=2.118967 sequence=183.165765
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=75 node=N4578 type=control0 q_typed_residual_context=2.727658 sequence=185.893423
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=76 node=N4585 type=control0 q_typed_residual_context=2.939597 sequence=188.833020
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=77 node=N4564 type=control0 q_typed_residual_context=2.919693 sequence=191.752713
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=78 node=N3841 type=control0 q_typed_residual_context=3.115578 sequence=194.868290
[b15-r6-type/type_balanced_rank/epoch_008/q_typed_residual_context/a0.20/w0.75] [plan iscas99__b15_1] [plan] step=79 node=N4557 type=control0 q_typed_residual_context=3.159497 sequence=198.027787
