[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [gmean] 2026-07-21T11:06:46 out_dir=autoresearch/loop-260720-0945/model_training_round6_type_balanced/b15_selection/type_balanced_toplist/epoch_008/q_typed_residual_context/alpha_0p10_weight_0p75
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [gmean] 2026-07-21T11:06:46 budgets=iscas99__b15_1:278
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [gmean] 2026-07-21T11:06:46 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [gmean] 2026-07-21T11:06:46 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.249337 sequence=5.249337
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.704174 sequence=9.953512
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=1.990736 sequence=11.944248
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.687110 sequence=13.631358
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.219208 sequence=14.850566
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.094309 sequence=15.944875
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.977934 sequence=16.922810
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.060891 sequence=17.983700
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.945948 sequence=18.929648
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.152682 sequence=20.082330
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.290324 sequence=22.372654
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.571141 sequence=23.943795
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.265034 sequence=27.208829
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.094409 sequence=30.303237
[b15-r6-type/type_balanced_toplist/epoch_008/q_typed_residual_context/a0.10/w0.75] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.762175 sequence=33.065413
