# metric_direction: higher_is_better
iteration	timestamp	commit	metric	delta	guard	guard-metric	status	description
0	2026-07-16T13:42:42+08:00	4f96fe9-dirty	-4.399143600	0.0	pass	9 tests	baseline	strict exact-legal q_pred_lcb, heuristic_recall_pool, diversity 0.0
1	2026-07-16T14:00:26+08:00	-	-2.231710600	2.167433000	pass	278/278 legal	keep	hard_fault_cone, diversity 0.0; b15 TC 92.154
2	2026-07-16T14:00:26+08:00	-	-2.231710600	0.000000000	pass	278/278 legal	no-op	hard_fault_cone, diversity 0.02; identical b15 TC 92.154
3	2026-07-16T14:00:26+08:00	-	-5.351334000	-3.119623400	pass	278/278 legal	discard	hard_fault_recall_union, diversity 0.02; b15 TC 89.035
4	2026-07-16T14:00:26+08:00	-	-3.876039000	-1.644328400	pass	278/278 legal	discard	heuristic_recall_pool, diversity 0.02; b15 TC 90.510
5	2026-07-16T14:46:28+08:00	-	-1.469557800	0.762152800	pass	278/278 legal	discard	hard_fault_cluster heuristic; b15 TC 92.916
6	2026-07-16T14:46:28+08:00	-	-1.185218200	1.046492400	pass	278/278 legal	keep	hard_fault_cluster reward rerank c48; b15 TC 94.614
7	2026-07-16T14:46:28+08:00	-	-1.566577200	-0.381359000	pass	278/278 legal	discard	hard_fault_cluster q-LCB c48; b15 TC 92.819
8	2026-07-16T14:46:28+08:00	-	-1.185341800	-0.000123600	pass	278/278 legal	discard	hard_fault_cluster reward beam2 depth2; b15 TC 93.996
9	2026-07-16T15:16:01+08:00	-	-0.428066800	0.757151400	pass	994/994 legal	keep	q-context hard_fault_cluster c48; b17 TC 91.147
10	2026-07-16T15:47:54+08:00	-	-2.682517600	-2.254450800	pass	994/994 legal	discard	q-context recall c96; b17 TC 88.893
11	2026-07-16T15:43:20+08:00	-	-2.940569200	-2.512502400	pass	994/994 legal	discard	q-context recall c96 diversity 0.02; b17 TC 88.635
