[gmean] 2026-07-17T16:23:01 out_dir=autoresearch/improve-260716-1344/round15_b17/context_cluster_c48_seed1024_depth6
[gmean] 2026-07-17T16:23:01 budgets=iscas99__b17:994
[gmean] 2026-07-17T16:23:01 variant_start id=greedy__cumulative__q_pred_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[gmean] 2026-07-17T16:23:01 [1/1] plan_start benchmark=iscas99__b17 budget=994 planner=greedy score=q_pred_context
[plan iscas99__b17] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b17_C/exact_candidate_nodes.txt nodes=29334
[plan iscas99__b17] [plan] step=1 node=N2219 type=control1 q_pred_context=5.431269 sequence=5.431269
[plan iscas99__b17] [plan] step=2 node=N7781 type=observe q_pred_context=1.333298 sequence=6.764566
[plan iscas99__b17] [plan] step=3 node=N5319 type=control0 q_pred_context=1.243847 sequence=8.008414
[plan iscas99__b17] [plan] step=4 node=N6992 type=control0 q_pred_context=1.124612 sequence=9.133026
[plan iscas99__b17] [plan] step=5 node=N16937 type=control0 q_pred_context=1.730425 sequence=10.863451
[plan iscas99__b17] [plan] step=6 node=N6780 type=control0 q_pred_context=2.036638 sequence=12.900089
[plan iscas99__b17] [plan] step=7 node=N13626 type=control0 q_pred_context=1.262137 sequence=14.162226
[plan iscas99__b17] [plan] step=8 node=N19193 type=control0 q_pred_context=1.446907 sequence=15.609133
[plan iscas99__b17] [plan] step=9 node=N8089 type=observe q_pred_context=2.177828 sequence=17.786961
[plan iscas99__b17] [plan] step=10 node=N11952 type=control0 q_pred_context=1.680659 sequence=19.467620
[plan iscas99__b17] [plan] step=11 node=N18496 type=control1 q_pred_context=1.316973 sequence=20.784593
[plan iscas99__b17] [plan] step=12 node=N9512 type=control1 q_pred_context=1.739552 sequence=22.524145
[plan iscas99__b17] [plan] step=13 node=N16901 type=control0 q_pred_context=3.129444 sequence=25.653590
[plan iscas99__b17] [plan] step=14 node=N7633 type=control0 q_pred_context=1.076789 sequence=26.730378
[plan iscas99__b17] [plan] step=15 node=N18771 type=control0 q_pred_context=2.381798 sequence=29.112177
[plan iscas99__b17] [plan] step=16 node=N7680 type=control0 q_pred_context=2.660212 sequence=31.772388
[plan iscas99__b17] [plan] step=17 node=N19232 type=control0 q_pred_context=3.382311 sequence=35.154699
[plan iscas99__b17] [plan] step=18 node=N18340 type=control0 q_pred_context=3.123197 sequence=38.277896
[plan iscas99__b17] [plan] step=19 node=N19222 type=control0 q_pred_context=2.780510 sequence=41.058405
[plan iscas99__b17] [plan] step=20 node=N19160 type=control0 q_pred_context=2.684206 sequence=43.742611
[plan iscas99__b17] [plan] step=21 node=N4557 type=control0 q_pred_context=3.584209 sequence=47.326820
[plan iscas99__b17] [plan] step=22 node=N7021 type=control0 q_pred_context=4.088505 sequence=51.415326
[plan iscas99__b17] [plan] step=23 node=N7049 type=control0 q_pred_context=5.222853 sequence=56.638179
[plan iscas99__b17] [plan] step=24 node=N6868 type=control0 q_pred_context=3.950939 sequence=60.589117
[plan iscas99__b17] [plan] step=25 node=N7292 type=control0 q_pred_context=2.723017 sequence=63.312135
[plan iscas99__b17] [plan] step=26 node=N7310 type=control0 q_pred_context=2.047430 sequence=65.359565
[plan iscas99__b17] [plan] step=27 node=N18034 type=control0 q_pred_context=1.216066 sequence=66.575630
[plan iscas99__b17] [plan] step=28 node=N7177 type=control0 q_pred_context=1.504457 sequence=68.080087
[plan iscas99__b17] [plan] step=29 node=N7268 type=control0 q_pred_context=1.588630 sequence=69.668717
[plan iscas99__b17] [plan] step=30 node=N7218 type=control0 q_pred_context=1.218079 sequence=70.886796
[plan iscas99__b17] [plan] step=31 node=N18009 type=control0 q_pred_context=1.130197 sequence=72.016993
[plan iscas99__b17] [plan] step=32 node=N7274 type=control0 q_pred_context=1.070955 sequence=73.087949
[plan iscas99__b17] [plan] step=33 node=N7123 type=control0 q_pred_context=1.004502 sequence=74.092451
[plan iscas99__b17] [plan] step=34 node=N2849 type=control0 q_pred_context=1.025201 sequence=75.117652
[plan iscas99__b17] [plan] step=35 node=N4256 type=control0 q_pred_context=1.002184 sequence=76.119836
[plan iscas99__b17] [plan] step=36 node=N28737 type=control0 q_pred_context=1.134010 sequence=77.253846
[plan iscas99__b17] [plan] step=37 node=N13624 type=control0 q_pred_context=1.050457 sequence=78.304303
[plan iscas99__b17] [plan] step=38 node=N3964 type=control0 q_pred_context=1.354725 sequence=79.659028
[plan iscas99__b17] [plan] step=39 node=N18085 type=control0 q_pred_context=1.441509 sequence=81.100537
[plan iscas99__b17] [plan] step=40 node=N20280 type=control0 q_pred_context=1.691625 sequence=82.792163
[plan iscas99__b17] [plan] step=41 node=N13662 type=control0 q_pred_context=1.681821 sequence=84.473984
[plan iscas99__b17] [plan] step=42 node=N9778 type=control0 q_pred_context=1.993612 sequence=86.467596
[plan iscas99__b17] [plan] step=43 node=N19195 type=control0 q_pred_context=1.705035 sequence=88.172631
[plan iscas99__b17] [plan] step=44 node=N3774 type=observe q_pred_context=1.313620 sequence=89.486251
[plan iscas99__b17] [plan] step=45 node=N18114 type=control0 q_pred_context=1.326878 sequence=90.813129
[plan iscas99__b17] [plan] step=46 node=N3880 type=observe q_pred_context=1.461627 sequence=92.274755
[plan iscas99__b17] [plan] step=47 node=N13984 type=observe q_pred_context=2.422167 sequence=94.696922
[plan iscas99__b17] [plan] step=48 node=N12503 type=control0 q_pred_context=0.931598 sequence=95.628520
[plan iscas99__b17] [plan] step=49 node=N24568 type=control0 q_pred_context=2.244704 sequence=97.873225
[plan iscas99__b17] [plan] step=50 node=N7682 type=control0 q_pred_context=2.089345 sequence=99.962570
[plan iscas99__b17] [plan] step=51 node=N29456 type=control0 q_pred_context=5.025956 sequence=104.988526
[plan iscas99__b17] [plan] step=52 node=N30922 type=control0 q_pred_context=3.211993 sequence=108.200519
[plan iscas99__b17] [plan] step=53 node=N30921 type=control0 q_pred_context=2.878739 sequence=111.079258
[plan iscas99__b17] [plan] step=54 node=N30934 type=control0 q_pred_context=1.667340 sequence=112.746598
[plan iscas99__b17] [plan] step=55 node=N30933 type=control0 q_pred_context=2.088559 sequence=114.835157
[plan iscas99__b17] [plan] step=56 node=N29372 type=control0 q_pred_context=2.334048 sequence=117.169205
[plan iscas99__b17] [plan] step=57 node=N29371 type=control0 q_pred_context=3.128933 sequence=120.298138
[plan iscas99__b17] [plan] step=58 node=N30930 type=control0 q_pred_context=2.993737 sequence=123.291875
[plan iscas99__b17] [plan] step=59 node=N30931 type=control0 q_pred_context=3.660846 sequence=126.952721
[plan iscas99__b17] [plan] step=60 node=N30924 type=control0 q_pred_context=3.017447 sequence=129.970168
[plan iscas99__b17] [plan] step=61 node=N30932 type=control0 q_pred_context=3.017045 sequence=132.987213
[plan iscas99__b17] [plan] step=62 node=N30929 type=control0 q_pred_context=2.775141 sequence=135.762353
[plan iscas99__b17] [plan] step=63 node=N30926 type=control0 q_pred_context=2.636102 sequence=138.398455
[plan iscas99__b17] [plan] step=64 node=N30927 type=control0 q_pred_context=1.743997 sequence=140.142452
[plan iscas99__b17] [plan] step=65 node=N30928 type=control0 q_pred_context=2.234456 sequence=142.376908
[plan iscas99__b17] [plan] step=66 node=N26514 type=control1 q_pred_context=0.795301 sequence=143.172210
[plan iscas99__b17] [plan] step=67 node=N27363 type=control1 q_pred_context=0.771853 sequence=143.944062
[plan iscas99__b17] [plan] step=68 node=N30925 type=control0 q_pred_context=1.294410 sequence=145.238472
[plan iscas99__b17] [plan] step=69 node=N26516 type=control1 q_pred_context=0.785175 sequence=146.023648
[plan iscas99__b17] [plan] step=70 node=N30923 type=control0 q_pred_context=0.978819 sequence=147.002466
[plan iscas99__b17] [plan] step=71 node=N7669 type=control0 q_pred_context=1.269724 sequence=148.272190
[plan iscas99__b17] [plan] step=72 node=N27585 type=control0 q_pred_context=1.660375 sequence=149.932566
[plan iscas99__b17] [plan] step=73 node=N29526 type=control0 q_pred_context=2.563656 sequence=152.496222
[plan iscas99__b17] [plan] step=74 node=N27574 type=control0 q_pred_context=2.210057 sequence=154.706278
[plan iscas99__b17] [plan] step=75 node=N27564 type=control0 q_pred_context=2.320831 sequence=157.027109
[plan iscas99__b17] [plan] step=76 node=N27576 type=control0 q_pred_context=2.161108 sequence=159.188217
[plan iscas99__b17] [plan] step=77 node=N27589 type=control0 q_pred_context=1.931154 sequence=161.119371
[plan iscas99__b17] [plan] step=78 node=N26792 type=control0 q_pred_context=1.413226 sequence=162.532597
[plan iscas99__b17] [plan] step=79 node=N26786 type=control0 q_pred_context=1.581455 sequence=164.114052
[plan iscas99__b17] [plan] step=80 node=N27551 type=control0 q_pred_context=1.515735 sequence=165.629787
[plan iscas99__b17] [plan] step=81 node=N26796 type=control0 q_pred_context=1.509968 sequence=167.139755
[plan iscas99__b17] [plan] step=82 node=N26771 type=control0 q_pred_context=1.448507 sequence=168.588262
[plan iscas99__b17] [plan] step=83 node=N26794 type=control0 q_pred_context=1.467139 sequence=170.055402
[plan iscas99__b17] [plan] step=84 node=N26773 type=control0 q_pred_context=1.323708 sequence=171.379109
[plan iscas99__b17] [plan] step=85 node=N26775 type=control0 q_pred_context=1.300964 sequence=172.680073
[plan iscas99__b17] [plan] step=86 node=N26790 type=control0 q_pred_context=1.240438 sequence=173.920511
[plan iscas99__b17] [plan] step=87 node=N26782 type=control0 q_pred_context=1.247530 sequence=175.168041
[plan iscas99__b17] [plan] step=88 node=N26784 type=control0 q_pred_context=1.184442 sequence=176.352483
[plan iscas99__b17] [plan] step=89 node=N26788 type=control0 q_pred_context=1.165266 sequence=177.517750
[plan iscas99__b17] [plan] step=90 node=N26504 type=control1 q_pred_context=0.876088 sequence=178.393838
[plan iscas99__b17] [plan] step=91 node=N26511 type=control1 q_pred_context=0.856916 sequence=179.250754
[plan iscas99__b17] [plan] step=92 node=N26502 type=control1 q_pred_context=0.982337 sequence=180.233091
[plan iscas99__b17] [plan] step=93 node=N26506 type=control1 q_pred_context=0.914734 sequence=181.147824
[plan iscas99__b17] [plan] step=94 node=N27354 type=control1 q_pred_context=0.887726 sequence=182.035551
[plan iscas99__b17] [plan] step=95 node=N26517 type=control1 q_pred_context=0.904807 sequence=182.940358
[plan iscas99__b17] [plan] step=96 node=N26654 type=control0 q_pred_context=1.863952 sequence=184.804309
[plan iscas99__b17] [plan] step=97 node=N31045 type=control0 q_pred_context=1.281870 sequence=186.086179
[plan iscas99__b17] [plan] step=98 node=N31051 type=control0 q_pred_context=1.776516 sequence=187.862695
[plan iscas99__b17] [plan] step=99 node=N31050 type=control0 q_pred_context=1.600472 sequence=189.463167
[plan iscas99__b17] [plan] step=100 node=N27353 type=control1 q_pred_context=0.778435 sequence=190.241602
[plan iscas99__b17] [plan] step=101 node=N27351 type=control1 q_pred_context=0.781495 sequence=191.023097
[plan iscas99__b17] [plan] step=102 node=N27858 type=control1 q_pred_context=1.670931 sequence=192.694028
[plan iscas99__b17] [plan] step=103 node=N27349 type=control1 q_pred_context=0.674563 sequence=193.368591
[plan iscas99__b17] [plan] step=104 node=N2041 type=control1 q_pred_context=1.590100 sequence=194.958691
[plan iscas99__b17] [plan] step=105 node=N27359 type=control1 q_pred_context=0.690010 sequence=195.648701
[plan iscas99__b17] [plan] step=106 node=N7729 type=control1 q_pred_context=1.465007 sequence=197.113708
[plan iscas99__b17] [plan] step=107 node=N27366 type=control1 q_pred_context=1.103580 sequence=198.217287
[plan iscas99__b17] [plan] step=108 node=N2030 type=control1 q_pred_context=1.170723 sequence=199.388010
[plan iscas99__b17] [plan] step=109 node=N27365 type=control1 q_pred_context=0.880417 sequence=200.268427
[plan iscas99__b17] [plan] step=110 node=N2037 type=control1 q_pred_context=1.158384 sequence=201.426811
[plan iscas99__b17] [plan] step=111 node=N22040 type=control1 q_pred_context=0.947551 sequence=202.374362
[plan iscas99__b17] [plan] step=112 node=N7712 type=control1 q_pred_context=1.107448 sequence=203.481810
[plan iscas99__b17] [plan] step=113 node=N26507 type=control1 q_pred_context=0.846346 sequence=204.328156
[plan iscas99__b17] [plan] step=114 node=N13785 type=control1 q_pred_context=1.011514 sequence=205.339670
[plan iscas99__b17] [plan] step=115 node=N7727 type=control1 q_pred_context=0.971089 sequence=206.310759
[plan iscas99__b17] [plan] step=116 node=N2891 type=observe q_pred_context=1.266160 sequence=207.576920
[plan iscas99__b17] [plan] step=117 node=N13800 type=control1 q_pred_context=1.627927 sequence=209.204847
[plan iscas99__b17] [plan] step=118 node=N13794 type=control1 q_pred_context=1.726012 sequence=210.930858
[plan iscas99__b17] [plan] step=119 node=N2036 type=control1 q_pred_context=1.416527 sequence=212.347386
[plan iscas99__b17] [plan] step=120 node=N2078 type=control1 q_pred_context=0.635938 sequence=212.983323
[plan iscas99__b17] [plan] step=121 node=N27361 type=control1 q_pred_context=0.608508 sequence=213.591832
[plan iscas99__b17] [plan] step=122 node=N29390 type=control0 q_pred_context=0.840542 sequence=214.432374
[plan iscas99__b17] [plan] step=123 node=N7726 type=control1 q_pred_context=1.192372 sequence=215.624745
[plan iscas99__b17] [plan] step=124 node=N27357 type=control1 q_pred_context=0.511618 sequence=216.136363
[plan iscas99__b17] [plan] step=125 node=N7766 type=control1 q_pred_context=1.190055 sequence=217.326419
[plan iscas99__b17] [plan] step=126 node=N2076 type=control1 q_pred_context=1.345749 sequence=218.672168
[plan iscas99__b17] [plan] step=127 node=N31044 type=control0 q_pred_context=1.800520 sequence=220.472688
[plan iscas99__b17] [plan] step=128 node=N13836 type=control1 q_pred_context=1.090343 sequence=221.563031
[plan iscas99__b17] [plan] step=129 node=N2029 type=control1 q_pred_context=1.083036 sequence=222.646068
[plan iscas99__b17] [plan] step=130 node=N2074 type=control1 q_pred_context=0.962918 sequence=223.608986
[plan iscas99__b17] [plan] step=131 node=N1986 type=control1 q_pred_context=1.004069 sequence=224.613054
[plan iscas99__b17] [plan] step=132 node=N15375 type=observe q_pred_context=0.885290 sequence=225.498344
[plan iscas99__b17] [plan] step=133 node=N13837 type=control1 q_pred_context=0.903962 sequence=226.402306
[plan iscas99__b17] [plan] step=134 node=N7711 type=control1 q_pred_context=1.250129 sequence=227.652435
[plan iscas99__b17] [plan] step=135 node=N13801 type=control1 q_pred_context=1.613254 sequence=229.265689
[plan iscas99__b17] [plan] step=136 node=N7324 type=observe q_pred_context=1.610789 sequence=230.876478
[plan iscas99__b17] [plan] step=137 node=N7765 type=control1 q_pred_context=1.193965 sequence=232.070443
[plan iscas99__b17] [plan] step=138 node=N7162 type=observe q_pred_context=2.461074 sequence=234.531517
[plan iscas99__b17] [plan] step=139 node=N13797 type=control1 q_pred_context=1.221714 sequence=235.753232
[plan iscas99__b17] [plan] step=140 node=N9505 type=observe q_pred_context=1.219323 sequence=236.972554
[plan iscas99__b17] [plan] step=141 node=N1987 type=control1 q_pred_context=0.743455 sequence=237.716009
[plan iscas99__b17] [plan] step=142 node=N27607 type=control1 q_pred_context=1.074641 sequence=238.790650
[plan iscas99__b17] [plan] step=143 node=N1984 type=observe q_pred_context=1.109589 sequence=239.900239
[plan iscas99__b17] [plan] step=144 node=N18718 type=observe q_pred_context=1.460689 sequence=241.360928
[plan iscas99__b17] [plan] step=145 node=N18329 type=observe q_pred_context=1.768811 sequence=243.129739
[plan iscas99__b17] [plan] step=146 node=N18097 type=observe q_pred_context=1.605463 sequence=244.735202
[plan iscas99__b17] [plan] step=147 node=N18037 type=observe q_pred_context=1.494401 sequence=246.229603
[plan iscas99__b17] [plan] step=148 node=N27364 type=control1 q_pred_context=1.809055 sequence=248.038658
[plan iscas99__b17] [plan] step=149 node=N29496 type=control1 q_pred_context=1.485692 sequence=249.524350
[plan iscas99__b17] [plan] step=150 node=N7759 type=control1 q_pred_context=2.389709 sequence=251.914058
[plan iscas99__b17] [plan] step=151 node=N7690 type=control1 q_pred_context=2.280283 sequence=254.194341
[plan iscas99__b17] [plan] step=152 node=N13557 type=observe q_pred_context=0.758649 sequence=254.952991
[plan iscas99__b17] [plan] step=153 node=N7270 type=observe q_pred_context=0.758607 sequence=255.711597
[plan iscas99__b17] [plan] step=154 node=N13988 type=observe q_pred_context=2.362776 sequence=258.074374
[plan iscas99__b17] [plan] step=155 node=N7243 type=observe q_pred_context=0.758616 sequence=258.832990
[plan iscas99__b17] [plan] step=156 node=N18796 type=observe q_pred_context=1.219416 sequence=260.052406
[plan iscas99__b17] [plan] step=157 node=N13066 type=observe q_pred_context=1.572258 sequence=261.624665
[plan iscas99__b17] [plan] step=158 node=N7721 type=control1 q_pred_context=2.333718 sequence=263.958383
[plan iscas99__b17] [plan] step=159 node=N13455 type=observe q_pred_context=1.123206 sequence=265.081588
[plan iscas99__b17] [plan] step=160 node=N7455 type=observe q_pred_context=0.759209 sequence=265.840797
[plan iscas99__b17] [plan] step=161 node=N7222 type=observe q_pred_context=0.758813 sequence=266.599610
