[v3_hard_precision gpu5] [2026-07-04T15:35:06+08:00] start name=v3_hard_precision gpu=5 checkpoint=runs/mainline_accuracy_improve_v3_hard_precision/best.pt
[v3_hard_precision gpu5] [gmean] 2026-07-04T15:35:07 out_dir=autoresearch/improve-260704-1035/b21_world_rerank_model_swap/v3_hard_precision
[v3_hard_precision gpu5] [gmean] 2026-07-04T15:35:07 budgets=iscas99__b21:628
[v3_hard_precision gpu5] [gmean] 2026-07-04T15:35:07 variant_start id=greedy__cumulative__reward_pred__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0
[v3_hard_precision gpu5] [gmean] 2026-07-04T15:35:07 [1/1] plan_start benchmark=iscas99__b21 budget=628 planner=greedy score=reward_pred
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=1 node=N48467 type=observe reward_pred=-0.084652 sequence=-0.084652
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=2 node=__buf_split_12981 type=observe reward_pred=-0.094065 sequence=-0.178717
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=3 node=__buf_split_184 type=control0 reward_pred=-0.105819 sequence=-0.284536
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=4 node=__buf_split_10165 type=observe reward_pred=-0.125863 sequence=-0.410399
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=5 node=__buf_split_217 type=control0 reward_pred=-0.133489 sequence=-0.543888
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=6 node=__buf_split_10167 type=observe reward_pred=-0.146911 sequence=-0.690799
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=7 node=N8840 type=observe reward_pred=-0.164857 sequence=-0.855656
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=8 node=__buf_split_12982 type=observe reward_pred=-0.181409 sequence=-1.037065
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=9 node=__buf_split_10166 type=observe reward_pred=-0.192048 sequence=-1.229114
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=10 node=__buf_split_12980 type=observe reward_pred=-0.199076 sequence=-1.428190
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=11 node=N8815 type=observe reward_pred=-0.204864 sequence=-1.633054
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=12 node=N48468 type=observe reward_pred=-0.211091 sequence=-1.844145
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=13 node=__buf_split_19584 type=observe reward_pred=-0.216459 sequence=-2.060604
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=14 node=N42301 type=observe reward_pred=-0.220403 sequence=-2.281007
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=15 node=N42300 type=observe reward_pred=-0.220846 sequence=-2.501853
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=16 node=N48469 type=observe reward_pred=-0.221101 sequence=-2.722954
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=17 node=N42299 type=observe reward_pred=-0.211875 sequence=-2.934829
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=18 node=N4112 type=observe reward_pred=-0.213635 sequence=-3.148464
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=19 node=N826 type=observe reward_pred=-0.209819 sequence=-3.358283
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=20 node=N8644 type=observe reward_pred=-0.198922 sequence=-3.557205
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=21 node=N4083 type=observe reward_pred=-0.197107 sequence=-3.754312
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=22 node=N26421 type=observe reward_pred=-0.183982 sequence=-3.938295
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=23 node=N24931 type=observe reward_pred=-0.178875 sequence=-4.117170
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=24 node=N27267 type=observe reward_pred=-0.173545 sequence=-4.290715
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=25 node=N24081 type=observe reward_pred=-0.168601 sequence=-4.459316
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=26 node=N857 type=observe reward_pred=-0.164605 sequence=-4.623921
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=27 node=N8163 type=observe reward_pred=-0.159278 sequence=-4.783199
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=28 node=N22445 type=observe reward_pred=-0.151088 sequence=-4.934287
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=29 node=N22457 type=observe reward_pred=-0.141605 sequence=-5.075891
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=30 node=N14400 type=observe reward_pred=-0.132415 sequence=-5.208307
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=31 node=N22469 type=observe reward_pred=-0.122923 sequence=-5.331230
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=32 node=N8687 type=observe reward_pred=-0.113617 sequence=-5.444847
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=33 node=N4687 type=observe reward_pred=-0.104351 sequence=-5.549197
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=34 node=N4692 type=observe reward_pred=-0.095313 sequence=-5.644511
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=35 node=N22458 type=observe reward_pred=-0.085781 sequence=-5.730292
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=36 node=N1442 type=observe reward_pred=-0.076585 sequence=-5.806878
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=37 node=N1437 type=observe reward_pred=-0.068104 sequence=-5.874982
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=38 node=N22470 type=observe reward_pred=-0.061396 sequence=-5.936378
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=39 node=N38578 type=observe reward_pred=-0.056610 sequence=-5.992987
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=40 node=__buf_split_184 type=control1 reward_pred=-0.071114 sequence=-6.064101
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=41 node=N34078 type=observe reward_pred=-0.065017 sequence=-6.129119
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=42 node=N22446 type=observe reward_pred=-0.062137 sequence=-6.191256
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=43 node=N39437 type=control1 reward_pred=-0.076957 sequence=-6.268212
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=44 node=N1241 type=observe reward_pred=-0.066618 sequence=-6.334830
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=45 node=N29819 type=observe reward_pred=-0.066104 sequence=-6.400934
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=46 node=__buf_split_217 type=control1 reward_pred=-0.082062 sequence=-6.482996
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=47 node=N8677 type=observe reward_pred=-0.074973 sequence=-6.557968
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=48 node=N4685 type=observe reward_pred=-0.073510 sequence=-6.631478
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=49 node=N4690 type=observe reward_pred=-0.071830 sequence=-6.703308
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=50 node=N39470 type=control1 reward_pred=-0.091723 sequence=-6.795031
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=51 node=N8682 type=observe reward_pred=-0.084601 sequence=-6.879632
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=52 node=N4683 type=observe reward_pred=-0.081190 sequence=-6.960822
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=53 node=N39437 type=control0 reward_pred=-0.124045 sequence=-7.084867
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=54 node=N29794 type=observe reward_pred=-0.118019 sequence=-7.202886
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=55 node=N39470 type=control0 reward_pred=-0.154299 sequence=-7.357185
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=56 node=N4490 type=observe reward_pred=-0.165981 sequence=-7.523166
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=57 node=N1435 type=observe reward_pred=-0.161477 sequence=-7.684643
[v3_hard_precision gpu5] [plan iscas99__b21] [plan] step=58 node=N1434 type=observe reward_pred=-0.158790 sequence=-7.843433
