[gmean] 2026-07-17T05:01:14 out_dir=autoresearch/improve-260716-1344/round14_b17/context_cluster_c48_seed1024_depth2
[gmean] 2026-07-17T05:01:14 budgets=iscas99__b17:994
[gmean] 2026-07-17T05:01:14 variant_start id=greedy__cumulative__q_pred_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[gmean] 2026-07-17T05:01:14 [1/1] plan_start benchmark=iscas99__b17 budget=994 planner=greedy score=q_pred_context
[plan iscas99__b17] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b17_C/exact_candidate_nodes.txt nodes=29334
[plan iscas99__b17] [plan] step=1 node=N2219 type=control1 q_pred_context=2.591565 sequence=2.591565
[plan iscas99__b17] [plan] step=2 node=N14033 type=control1 q_pred_context=2.101926 sequence=4.693490
[plan iscas99__b17] [plan] step=3 node=N14034 type=control1 q_pred_context=1.117337 sequence=5.810827
[plan iscas99__b17] [plan] step=4 node=N5319 type=control0 q_pred_context=1.060274 sequence=6.871101
[plan iscas99__b17] [plan] step=5 node=N6992 type=control0 q_pred_context=1.421905 sequence=8.293006
[plan iscas99__b17] [plan] step=6 node=N2849 type=control0 q_pred_context=1.428113 sequence=9.721120
[plan iscas99__b17] [plan] step=7 node=N2859 type=control0 q_pred_context=1.592869 sequence=11.313989
[plan iscas99__b17] [plan] step=8 node=N6780 type=control0 q_pred_context=1.337725 sequence=12.651714
[plan iscas99__b17] [plan] step=9 node=N13662 type=control0 q_pred_context=1.570116 sequence=14.221830
[plan iscas99__b17] [plan] step=10 node=N13629 type=control0 q_pred_context=1.478294 sequence=15.700124
[plan iscas99__b17] [plan] step=11 node=N11983 type=control0 q_pred_context=1.363695 sequence=17.063819
[plan iscas99__b17] [plan] step=12 node=N11975 type=control0 q_pred_context=1.531819 sequence=18.595639
[plan iscas99__b17] [plan] step=13 node=N7781 type=observe q_pred_context=1.996423 sequence=20.592062
[plan iscas99__b17] [plan] step=14 node=N13644 type=control0 q_pred_context=1.222803 sequence=21.814865
[plan iscas99__b17] [plan] step=15 node=N16937 type=control0 q_pred_context=1.058767 sequence=22.873631
[plan iscas99__b17] [plan] step=16 node=N12015 type=control0 q_pred_context=1.658709 sequence=24.532340
[plan iscas99__b17] [plan] step=17 node=N12039 type=control0 q_pred_context=1.923131 sequence=26.455472
[plan iscas99__b17] [plan] step=18 node=N8089 type=observe q_pred_context=1.368672 sequence=27.824144
[plan iscas99__b17] [plan] step=19 node=N18172 type=control0 q_pred_context=1.258128 sequence=29.082271
[plan iscas99__b17] [plan] step=20 node=N19193 type=control0 q_pred_context=1.618731 sequence=30.701002
[plan iscas99__b17] [plan] step=21 node=N19195 type=control0 q_pred_context=2.218701 sequence=32.919703
[plan iscas99__b17] [plan] step=22 node=N12529 type=control0 q_pred_context=2.683648 sequence=35.603351
[plan iscas99__b17] [plan] step=23 node=N12665 type=control0 q_pred_context=2.841789 sequence=38.445140
[plan iscas99__b17] [plan] step=24 node=N12563 type=control0 q_pred_context=2.411821 sequence=40.856961
[plan iscas99__b17] [plan] step=25 node=N12560 type=control0 q_pred_context=2.860951 sequence=43.717912
[plan iscas99__b17] [plan] step=26 node=N12597 type=control0 q_pred_context=2.212330 sequence=45.930242
[plan iscas99__b17] [plan] step=27 node=N12733 type=control0 q_pred_context=1.914331 sequence=47.844574
[plan iscas99__b17] [plan] step=28 node=N12526 type=control0 q_pred_context=1.874046 sequence=49.718620
[plan iscas99__b17] [plan] step=29 node=N4256 type=control0 q_pred_context=1.942125 sequence=51.660744
[plan iscas99__b17] [plan] step=30 node=N13624 type=control0 q_pred_context=1.854526 sequence=53.515270
[plan iscas99__b17] [plan] step=31 node=N13626 type=control0 q_pred_context=2.992370 sequence=56.507640
[plan iscas99__b17] [plan] step=32 node=N12628 type=control0 q_pred_context=2.222184 sequence=58.729825
[plan iscas99__b17] [plan] step=33 node=N12556 type=control0 q_pred_context=2.050902 sequence=60.780727
[plan iscas99__b17] [plan] step=34 node=N12522 type=control0 q_pred_context=1.837372 sequence=62.618099
[plan iscas99__b17] [plan] step=35 node=N3880 type=observe q_pred_context=1.694923 sequence=64.313022
[plan iscas99__b17] [plan] step=36 node=N12726 type=control0 q_pred_context=1.510135 sequence=65.823157
[plan iscas99__b17] [plan] step=37 node=N7639 type=observe q_pred_context=1.508964 sequence=67.332121
[plan iscas99__b17] [plan] step=38 node=N12624 type=control0 q_pred_context=1.712542 sequence=69.044664
[plan iscas99__b17] [plan] step=39 node=N13509 type=observe q_pred_context=1.139265 sequence=70.183928
[plan iscas99__b17] [plan] step=40 node=N12730 type=control0 q_pred_context=0.936208 sequence=71.120136
[plan iscas99__b17] [plan] step=41 node=N13589 type=observe q_pred_context=1.676587 sequence=72.796723
[plan iscas99__b17] [plan] step=42 node=N2192 type=control1 q_pred_context=1.154447 sequence=73.951170
[plan iscas99__b17] [plan] step=43 node=N13573 type=observe q_pred_context=1.049621 sequence=75.000791
[plan iscas99__b17] [plan] step=44 node=N12590 type=control0 q_pred_context=1.337346 sequence=76.338137
[plan iscas99__b17] [plan] step=45 node=N13557 type=observe q_pred_context=1.100905 sequence=77.439042
[plan iscas99__b17] [plan] step=46 node=N12594 type=control0 q_pred_context=1.551895 sequence=78.990938
[plan iscas99__b17] [plan] step=47 node=N12692 type=control0 q_pred_context=0.904425 sequence=79.895363
[plan iscas99__b17] [plan] step=48 node=N3774 type=observe q_pred_context=0.880749 sequence=80.776112
[plan iscas99__b17] [plan] step=49 node=N12695 type=control0 q_pred_context=0.988878 sequence=81.764990
[plan iscas99__b17] [plan] step=50 node=N12699 type=control0 q_pred_context=0.954717 sequence=82.719707
[plan iscas99__b17] [plan] step=51 node=N12662 type=control0 q_pred_context=0.744444 sequence=83.464150
[plan iscas99__b17] [plan] step=52 node=N12119 type=control0 q_pred_context=0.731516 sequence=84.195666
[plan iscas99__b17] [plan] step=53 node=N12654 type=control0 q_pred_context=0.948080 sequence=85.143747
[plan iscas99__b17] [plan] step=54 node=N12620 type=control0 q_pred_context=0.972218 sequence=86.115965
[plan iscas99__b17] [plan] step=55 node=N17825 type=control0 q_pred_context=0.868413 sequence=86.984378
[plan iscas99__b17] [plan] step=56 node=N12135 type=control0 q_pred_context=0.881913 sequence=87.866291
[plan iscas99__b17] [plan] step=57 node=N12518 type=control0 q_pred_context=0.827144 sequence=88.693435
[plan iscas99__b17] [plan] step=58 node=N12722 type=control0 q_pred_context=0.629126 sequence=89.322561
[plan iscas99__b17] [plan] step=59 node=N12552 type=control0 q_pred_context=0.712839 sequence=90.035400
[plan iscas99__b17] [plan] step=60 node=N12143 type=control0 q_pred_context=0.725074 sequence=90.760474
[plan iscas99__b17] [plan] step=61 node=N12511 type=control0 q_pred_context=1.114354 sequence=91.874828
[plan iscas99__b17] [plan] step=62 node=N12630 type=control0 q_pred_context=0.680391 sequence=92.555219
