[b15-round4/onpolicy_marginal/decay_0] [gmean] 2026-07-20T23:45:26 out_dir=autoresearch/loop-260720-0945/model_training_round4/b15_selection/onpolicy_marginal/decay_0
[b15-round4/onpolicy_marginal/decay_0] [gmean] 2026-07-20T23:45:26 budgets=iscas99__b15_1:278
[b15-round4/onpolicy_marginal/decay_0] [gmean] 2026-07-20T23:45:26 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round4/onpolicy_marginal/decay_0] [gmean] 2026-07-20T23:45:26 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.211045 sequence=5.211045
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.736675 sequence=9.947719
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.070240 sequence=12.017960
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.777709 sequence=13.795669
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_residual_context=1.192294 sequence=14.987963
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.338966 sequence=16.326929
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.995411 sequence=17.322340
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.062769 sequence=18.385109
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=1.158328 sequence=19.543437
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.156893 sequence=20.700330
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.496614 sequence=23.196944
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=12 node=N5723 type=control0 q_typed_residual_context=1.209197 sequence=24.406141
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=13 node=N5203 type=control1 q_typed_residual_context=1.261422 sequence=25.667563
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=14 node=N2083 type=observe q_typed_residual_context=1.475528 sequence=27.143091
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=15 node=N3605 type=observe q_typed_residual_context=2.701379 sequence=29.844470
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=16 node=N2082 type=observe q_typed_residual_context=2.641910 sequence=32.486380
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=17 node=N1853 type=observe q_typed_residual_context=2.458452 sequence=34.944832
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=18 node=N737 type=control1 q_typed_residual_context=3.739186 sequence=38.684018
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=19 node=N1564 type=control1 q_typed_residual_context=2.643027 sequence=41.327046
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=20 node=N2101 type=observe q_typed_residual_context=5.854627 sequence=47.181673
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=21 node=N496 type=control1 q_typed_residual_context=3.226391 sequence=50.408064
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=22 node=N7516 type=observe q_typed_residual_context=2.656830 sequence=53.064894
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=23 node=N582 type=control1 q_typed_residual_context=5.780497 sequence=58.845391
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=24 node=N580 type=control1 q_typed_residual_context=2.139704 sequence=60.985095
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=25 node=N5234 type=observe q_typed_residual_context=1.161829 sequence=62.146923
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=26 node=N7511 type=control1 q_typed_residual_context=4.188776 sequence=66.335699
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=6.912254 sequence=73.247953
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=3.994315 sequence=77.242269
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=29 node=N1372 type=observe q_typed_residual_context=1.996111 sequence=79.238379
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=30 node=N583 type=control1 q_typed_residual_context=4.340674 sequence=83.579053
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=31 node=N2044 type=observe q_typed_residual_context=1.195282 sequence=84.774335
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=32 node=N4635 type=control0 q_typed_residual_context=6.215618 sequence=90.989953
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=33 node=N2042 type=observe q_typed_residual_context=3.240990 sequence=94.230943
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=34 node=N2040 type=observe q_typed_residual_context=4.466836 sequence=98.697779
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=35 node=N1532 type=observe q_typed_residual_context=4.278065 sequence=102.975844
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=36 node=N7891 type=control1 q_typed_residual_context=3.320000 sequence=106.295844
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=37 node=N4585 type=control0 q_typed_residual_context=0.843003 sequence=107.138847
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=4.816146 sequence=111.954993
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=39 node=N7587 type=control1 q_typed_residual_context=1.127345 sequence=113.082338
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_residual_context=5.234334 sequence=118.316672
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=41 node=N7882 type=control1 q_typed_residual_context=2.002068 sequence=120.318739
[b15-round4/onpolicy_marginal/decay_0] [plan iscas99__b15_1] [plan] step=42 node=N7883 type=control1 q_typed_residual_context=1.902294 sequence=122.221034
