[b15-round4/onpolicy_marginal/decay_64] [gmean] 2026-07-20T23:45:26 out_dir=autoresearch/loop-260720-0945/model_training_round4/b15_selection/onpolicy_marginal/decay_64
[b15-round4/onpolicy_marginal/decay_64] [gmean] 2026-07-20T23:45:26 budgets=iscas99__b15_1:278
[b15-round4/onpolicy_marginal/decay_64] [gmean] 2026-07-20T23:45:26 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round4/onpolicy_marginal/decay_64] [gmean] 2026-07-20T23:45:26 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.211045 sequence=5.211045
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.735124 sequence=9.946169
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.067872 sequence=12.014041
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.775062 sequence=13.789102
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_residual_context=1.188824 sequence=14.977926
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.338165 sequence=16.316091
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.987341 sequence=17.303432
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.059703 sequence=18.363135
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=1.147922 sequence=19.511057
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.156749 sequence=20.667805
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.502171 sequence=23.169976
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=12 node=N5723 type=control0 q_typed_residual_context=1.199189 sequence=24.369166
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=13 node=N5203 type=control1 q_typed_residual_context=1.248889 sequence=25.618054
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=14 node=N2083 type=observe q_typed_residual_context=1.469378 sequence=27.087432
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=15 node=N3605 type=observe q_typed_residual_context=2.681732 sequence=29.769164
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=16 node=N2082 type=observe q_typed_residual_context=2.621017 sequence=32.390181
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=17 node=N1853 type=observe q_typed_residual_context=2.436332 sequence=34.826513
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=18 node=N737 type=control1 q_typed_residual_context=3.716134 sequence=38.542647
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=19 node=N1564 type=control1 q_typed_residual_context=2.618511 sequence=41.161158
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=20 node=N2101 type=observe q_typed_residual_context=5.829117 sequence=46.990275
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=21 node=N496 type=control1 q_typed_residual_context=3.223289 sequence=50.213563
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=22 node=N7516 type=observe q_typed_residual_context=2.644590 sequence=52.858153
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=23 node=N582 type=control1 q_typed_residual_context=5.775313 sequence=58.633467
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=24 node=N580 type=control1 q_typed_residual_context=2.132844 sequence=60.766311
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=25 node=N5234 type=observe q_typed_residual_context=1.156240 sequence=61.922551
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=26 node=N7511 type=control1 q_typed_residual_context=4.168758 sequence=66.091309
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=6.890919 sequence=72.982227
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=3.959897 sequence=76.942125
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=29 node=N1372 type=observe q_typed_residual_context=1.960676 sequence=78.902800
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=30 node=N583 type=control1 q_typed_residual_context=4.324246 sequence=83.227046
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=31 node=N2044 type=observe q_typed_residual_context=1.232703 sequence=84.459749
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=32 node=N4635 type=control0 q_typed_residual_context=6.177227 sequence=90.636976
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=33 node=N2042 type=observe q_typed_residual_context=3.280337 sequence=93.917313
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=34 node=N2040 type=observe q_typed_residual_context=4.507123 sequence=98.424436
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=35 node=N1532 type=observe q_typed_residual_context=4.236852 sequence=102.661288
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=36 node=N7891 type=control1 q_typed_residual_context=3.362124 sequence=106.023412
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=37 node=N4564 type=control0 q_typed_residual_context=0.817544 sequence=106.840957
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=4.772514 sequence=111.613470
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=39 node=N7587 type=control1 q_typed_residual_context=1.132901 sequence=112.746371
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_residual_context=5.241221 sequence=117.987593
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=41 node=N7882 type=control1 q_typed_residual_context=2.007440 sequence=119.995033
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=42 node=N7883 type=control1 q_typed_residual_context=1.886219 sequence=121.881252
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=43 node=N3903 type=control0 q_typed_residual_context=0.968289 sequence=122.849540
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=44 node=N4656 type=control0 q_typed_residual_context=2.541201 sequence=125.390741
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=45 node=N713 type=observe q_typed_residual_context=1.925351 sequence=127.316092
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=46 node=N4663 type=control0 q_typed_residual_context=2.436547 sequence=129.752639
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=47 node=N724 type=observe q_typed_residual_context=2.476880 sequence=132.229518
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=48 node=N7885 type=control1 q_typed_residual_context=1.745796 sequence=133.975315
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=49 node=N7886 type=control1 q_typed_residual_context=1.191832 sequence=135.167146
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=50 node=N3896 type=control0 q_typed_residual_context=1.051513 sequence=136.218659
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=51 node=N4585 type=control0 q_typed_residual_context=1.033603 sequence=137.252262
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=52 node=N4677 type=control0 q_typed_residual_context=1.832002 sequence=139.084264
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=53 node=N4670 type=control0 q_typed_residual_context=1.874814 sequence=140.959077
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=54 node=N4684 type=control0 q_typed_residual_context=1.518776 sequence=142.477853
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=55 node=N704 type=observe q_typed_residual_context=1.494214 sequence=143.972068
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=56 node=N3889 type=control0 q_typed_residual_context=1.143776 sequence=145.115844
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=57 node=N4691 type=control0 q_typed_residual_context=1.523332 sequence=146.639176
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=58 node=N3882 type=control0 q_typed_residual_context=1.104701 sequence=147.743877
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=59 node=N4698 type=control0 q_typed_residual_context=1.368536 sequence=149.112413
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=60 node=N3805 type=control0 q_typed_residual_context=1.158168 sequence=150.270581
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=61 node=N4705 type=control0 q_typed_residual_context=1.394558 sequence=151.665139
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=62 node=N4712 type=control0 q_typed_residual_context=1.238095 sequence=152.903235
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=63 node=N4557 type=control0 q_typed_residual_context=1.050293 sequence=153.953528
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=64 node=N4716 type=control0 q_typed_residual_context=1.105236 sequence=155.058764
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=65 node=N4578 type=control0 q_typed_residual_context=1.006434 sequence=156.065198
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=66 node=N3911 type=control0 q_typed_residual_context=1.123609 sequence=157.188806
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=67 node=N3862 type=control0 q_typed_residual_context=1.258742 sequence=158.447548
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=68 node=N3855 type=control0 q_typed_residual_context=1.375896 sequence=159.823444
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=69 node=N3848 type=control0 q_typed_residual_context=1.452809 sequence=161.276254
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=70 node=N3827 type=control0 q_typed_residual_context=1.571393 sequence=162.847646
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=71 node=N4606 type=control0 q_typed_residual_context=1.603333 sequence=164.450979
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=72 node=N3701 type=control0 q_typed_residual_context=1.422226 sequence=165.873205
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=73 node=N7471 type=control0 q_typed_residual_context=1.183732 sequence=167.056936
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=74 node=N3722 type=control0 q_typed_residual_context=1.437804 sequence=168.494741
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=75 node=N1539 type=control0 q_typed_residual_context=1.152416 sequence=169.647157
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=76 node=N7724 type=control0 q_typed_residual_context=1.214947 sequence=170.862104
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=77 node=N7722 type=control0 q_typed_residual_context=1.369865 sequence=172.231969
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=78 node=N3904 type=control0 q_typed_residual_context=1.752782 sequence=173.984751
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=79 node=N722 type=observe q_typed_residual_context=2.071328 sequence=176.056079
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=80 node=N3897 type=control0 q_typed_residual_context=2.417787 sequence=178.473866
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=81 node=N3841 type=control0 q_typed_residual_context=1.745974 sequence=180.219840
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=82 node=N7370 type=control1 q_typed_residual_context=1.351755 sequence=181.571595
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=83 node=N519 type=control1 q_typed_residual_context=2.197124 sequence=183.768719
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=84 node=N1411 type=control0 q_typed_residual_context=1.697383 sequence=185.466102
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=85 node=N3820 type=control0 q_typed_residual_context=1.622593 sequence=187.088695
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=86 node=N7723 type=control0 q_typed_residual_context=1.788228 sequence=188.876923
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=87 node=N7725 type=control0 q_typed_residual_context=1.623557 sequence=190.500480
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=88 node=N504 type=control1 q_typed_residual_context=1.731972 sequence=192.232452
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=89 node=N513 type=control1 q_typed_residual_context=1.847536 sequence=194.079988
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=90 node=N7820 type=control0 q_typed_residual_context=1.418568 sequence=195.498557
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=91 node=N7887 type=control1 q_typed_residual_context=1.171221 sequence=196.669777
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=92 node=N7888 type=control1 q_typed_residual_context=1.560619 sequence=198.230396
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=93 node=N7889 type=control1 q_typed_residual_context=1.737950 sequence=199.968346
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=94 node=N7890 type=control1 q_typed_residual_context=1.556615 sequence=201.524961
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=95 node=N7846 type=control0 q_typed_residual_context=3.028561 sequence=204.553522
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=96 node=N7408 type=control0 q_typed_residual_context=1.702914 sequence=206.256437
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=97 node=N7541 type=control0 q_typed_residual_context=1.448434 sequence=207.704871
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=98 node=N516 type=control1 q_typed_residual_context=1.672281 sequence=209.377152
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=99 node=N7884 type=control1 q_typed_residual_context=1.583630 sequence=210.960782
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=100 node=N7847 type=control0 q_typed_residual_context=1.072603 sequence=212.033385
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=101 node=N520 type=control1 q_typed_residual_context=0.809927 sequence=212.843312
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=102 node=N3813 type=control0 q_typed_residual_context=0.945776 sequence=213.789088
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=103 node=N1533 type=control1 q_typed_residual_context=1.309363 sequence=215.098451
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=104 node=N3799 type=control0 q_typed_residual_context=2.241582 sequence=217.340033
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=105 node=N3681 type=control0 q_typed_residual_context=3.055063 sequence=220.395097
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=106 node=N3792 type=control0 q_typed_residual_context=4.655389 sequence=225.050486
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=107 node=N3785 type=control0 q_typed_residual_context=4.946805 sequence=229.997291
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=108 node=N4520 type=control0 q_typed_residual_context=7.305827 sequence=237.303117
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=109 node=N7854 type=control0 q_typed_residual_context=3.326686 sequence=240.629803
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=110 node=N556 type=control1 q_typed_residual_context=2.432397 sequence=243.062200
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=111 node=N555 type=control1 q_typed_residual_context=4.533659 sequence=247.595858
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=112 node=N7852 type=control0 q_typed_residual_context=1.775418 sequence=249.371276
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=113 node=N7411 type=control1 q_typed_residual_context=2.295150 sequence=251.666426
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=114 node=N614 type=control1 q_typed_residual_context=4.496983 sequence=256.163409
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=115 node=N2580 type=control1 q_typed_residual_context=5.857964 sequence=262.021374
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=116 node=N634 type=control1 q_typed_residual_context=4.627714 sequence=266.649087
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=117 node=N3180 type=control1 q_typed_residual_context=6.106970 sequence=272.756057
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=118 node=N578 type=observe q_typed_residual_context=5.804821 sequence=278.560879
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=119 node=N7721 type=control0 q_typed_residual_context=3.165383 sequence=281.726262
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=120 node=N610 type=control1 q_typed_residual_context=3.407758 sequence=285.134020
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=121 node=N620 type=control1 q_typed_residual_context=5.897941 sequence=291.031961
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=122 node=N3410 type=control1 q_typed_residual_context=5.802641 sequence=296.834602
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=123 node=N638 type=control1 q_typed_residual_context=5.660250 sequence=302.494852
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=124 node=N7853 type=control0 q_typed_residual_context=6.018662 sequence=308.513514
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=125 node=N5603 type=observe q_typed_residual_context=1.227512 sequence=309.741026
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=126 node=N5046 type=observe q_typed_residual_context=1.665698 sequence=311.406724
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=127 node=N7614 type=observe q_typed_residual_context=0.520582 sequence=311.927307
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=128 node=N5877 type=observe q_typed_residual_context=4.585631 sequence=316.512937
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=129 node=N5867 type=observe q_typed_residual_context=0.621568 sequence=317.134505
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=130 node=N5874 type=observe q_typed_residual_context=2.080404 sequence=319.214910
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=131 node=N7679 type=observe q_typed_residual_context=1.959856 sequence=321.174766
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=132 node=N6538 type=observe q_typed_residual_context=0.592788 sequence=321.767554
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=133 node=N7385 type=observe q_typed_residual_context=1.863618 sequence=323.631172
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=134 node=N725 type=observe q_typed_residual_context=1.350920 sequence=324.982092
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=135 node=N2149 type=observe q_typed_residual_context=1.977060 sequence=326.959151
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=136 node=N6531 type=observe q_typed_residual_context=3.287770 sequence=330.246921
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=137 node=N645 type=control1 q_typed_residual_context=3.119916 sequence=333.366837
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=138 node=N616 type=control1 q_typed_residual_context=5.042563 sequence=338.409400
[b15-round4/onpolicy_marginal/decay_64] [plan iscas99__b15_1] [plan] step=139 node=N723 type=observe q_typed_residual_context=5.821956 sequence=344.231355
