step,node,type,q_pred,score_pred,reward_pred,fc_pred,pattern_pred,return_pred,guarded_reward,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,bounded_residual_hybrid_pred,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,__buf_split_17488,observe,2.9068763256073,2.9068763256073,0.11416573077440262,0.0011416573077440261,-0.5438690185546875,-0.032243721187114716,-0.032243721187114716,0.04059220850467682,-0.008181581273674965,0.03338870778679848,110119.515625,43381.19921875,66738.3203125,106959.78125,41514.30078125,65445.4765625,0.028693681582808495,0.043034736067056656,0.01937183551490307,2.8693681582808495,4.14114286005497,4.079701352864504,2.9068763256073,2.9068763256073,2.9068763256073,greedy,2.9068763256073,0.0,heuristic_recall_pool
2,__buf_split_22535,observe,1.8106986284255981,1.8106986284255981,-0.09914588183164597,-0.0009914588183164597,-0.45670291781425476,0.027004996314644814,-0.09914588183164597,0.018644453957676888,-0.02708585187792778,0.01470644399523735,106959.7890625,41514.3125,65445.4765625,106721.65625,41555.1015625,65166.5546875,0.0022263769060373306,-0.0009825300658121705,0.004261896945536137,0.22263769060373306,1.7923045102506876,1.8464101743884385,1.8106986284255981,4.717574954032898,4.717574954032898,greedy,1.8106986284255981,0.0,heuristic_recall_pool
3,__buf_split_19035,observe,1.8549774885177612,1.8549774885177612,0.037894926965236664,0.00037894926965236663,-0.45885011553764343,0.027796516194939613,0.027796516194939613,0.015210598707199097,-0.02538186125457287,0.007679063826799393,106721.6640625,41555.09765625,65166.56640625,106507.015625,41445.24609375,65061.76953125,0.0020112921483814716,0.002643515821546316,0.001608138671144843,0.20112921483814716,1.586751313880086,1.5374827315099537,1.8549774885177612,6.572552442550659,6.572552442550659,greedy,1.8549774885177612,0.0,heuristic_recall_pool
4,__buf_split_15725,observe,1.619551420211792,1.619551420211792,-0.017842493951320648,-0.0001784249395132065,-0.4587535262107849,0.03716004639863968,-0.017842493951320648,0.00471252016723156,-0.03739652782678604,0.0004940032958984375,106507.21875,41445.515625,65061.70703125,106196.46875,41209.32421875,64987.140625,0.002917642705142498,0.005698841065168381,0.001146087422966957,0.2917642705142498,0.490569569170475,0.47608140483498573,1.619551420211792,8.192103862762451,8.192103862762451,greedy,1.619551420211792,0.0,heuristic_recall_pool
5,__buf_split_23178,observe,1.4362237453460693,1.4362237453460693,-0.05767228454351425,-0.0005767228454351425,-0.46127668023109436,0.03705955296754837,-0.05767228454351425,-0.010824467055499554,-0.05407759174704552,-0.012712296098470688,106196.453125,41209.3125,64987.140625,105911.0859375,40980.984375,64930.1015625,0.002687163185328245,0.005540692247450352,0.0008776976610533893,0.2687163185328245,-1.1030594371259212,-1.0875998884439468,1.4362237453460693,9.62832760810852,9.62832760810852,greedy,1.4362237453460693,0.0,heuristic_recall_pool
6,__buf_split_18675,observe,1.551814317703247,1.551814317703247,-0.05292554944753647,-0.0005292554944753647,-0.4494123160839081,-0.0007643308490514755,-0.05292554944753647,-0.004579611122608185,-0.04469594359397888,-0.009535269811749458,105911.09375,40980.98828125,64930.1015625,105623.171875,40745.703125,64877.46484375,0.002718524308875203,0.005741324741393328,0.0008106674067676067,0.2718524308875203,-0.5116509925574064,-0.47138358233496547,1.551814317703247,11.180141925811768,11.180141925811768,greedy,1.551814317703247,0.0,heuristic_recall_pool
7,N6591,observe,1.897825002670288,1.897825002670288,-0.007297851145267487,-7.297851145267487e-05,-0.46817266941070557,-0.12146200984716415,-0.12146200984716415,0.013634114526212215,-0.018114058300852776,-0.001257438212633133,105623.1875,40745.66796875,64877.515625,105295.484375,40447.51953125,64847.9609375,0.0031025679782032967,0.007317304145544767,0.00045554593089036644,0.31025679782032967,1.23465159162879,1.3312214873731136,1.897825002670288,13.077966928482056,13.077966928482056,greedy,1.897825002670288,0.0,heuristic_recall_pool
8,N18332,observe,1.7120068073272705,1.7120068073272705,-0.02034544199705124,-0.00020345441997051238,-0.46937456727027893,-0.12298955768346786,-0.12298955768346786,0.004572609439492226,-0.026618456467986107,-0.008354898542165756,105295.6171875,40447.6796875,64847.9375,105083.421875,40279.93359375,64803.484375,0.0020152339711785316,0.004147236701101065,0.0006854978855699301,0.20152339711785316,0.31392594426870346,0.4214271940290928,1.7120068073272705,14.789973735809326,14.789973735809326,greedy,1.7120068073272705,0.0,heuristic_recall_pool
9,__buf_split_15465,observe,1.5793352127075195,1.5793352127075195,-0.03677327185869217,-0.0003677327185869217,-0.4580755829811096,-0.10715287178754807,-0.10715287178754807,-0.008866827934980392,-0.04234282299876213,-0.018377481028437614,105083.296875,40279.84765625,64803.453125,104982.3125,40193.8203125,64788.49609375,0.000960993580520153,0.002135741524398327,0.00023080607934389263,0.0960993580520153,-1.0306089371442795,-0.9226643294095993,1.5793352127075195,16.369308948516846,16.369308948516846,greedy,1.5793352127075195,0.0,heuristic_recall_pool
10,__buf_split_13742,observe,1.5928138494491577,1.5928138494491577,-0.027939774096012115,-0.00027939774096012114,-0.45261552929878235,-0.09088917821645737,-0.09088917821645737,-0.009658010676503181,-0.04425513744354248,-0.01816948503255844,104982.3125,40193.8046875,64788.5078125,104894.0625,40108.3984375,64785.6640625,0.0008406178094446659,0.002124861115589738,4.389281457406469e-05,0.08406178094446659,-1.0846300199627876,-0.9955083057284355,1.5928138494491577,17.962122797966003,17.962122797966003,greedy,1.5928138494491577,0.0,heuristic_recall_pool
