benchmark_id,net,fault_count,hard_fault_count,hard_fault_ratio,sa0_fault_count,sa1_fault_count,sa0_hard_fault_count,sa1_hard_fault_count,sa0_hard_fault_ratio,sa1_hard_fault_ratio,status_counts,source_fault_csv_count,source_label_count
iscas99__b15_1,__tpi_cp_129_N8790,3,3,1.0,2,1,2,1,1.0,1.0,"{""UNDETECTED"": 3}",1,1
iscas99__b15_1,__tpi_cp_130_N8789,3,3,1.0,2,1,2,1,1.0,1.0,"{""UNDETECTED"": 3}",1,1
iscas99__b15_1,N8723,2,2,1.0,1,1,1,1,1.0,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b15_1,N8725,2,2,1.0,1,1,1,1,1.0,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b15_1,N8727,2,2,1.0,1,1,1,1,1.0,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b15_1,N8729,2,2,1.0,1,1,1,1,1.0,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b15_1,N8762,2,2,1.0,1,1,1,1,1.0,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b15_1,N8787,2,2,1.0,1,1,1,1,1.0,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b15_1,N8788,2,2,1.0,1,1,1,1,1.0,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b15_1,__tpi_cp_100_N3896,2,2,1.0,0,2,0,2,0.0,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b15_1,__tpi_cp_37_N3904,2,2,1.0,0,2,0,2,0.0,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b15_1,__tpi_cp_38_N3897,2,2,1.0,0,2,0,2,0.0,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b15_1,__tpi_cp_48_N4712,2,2,1.0,0,2,0,2,0.0,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b15_1,__tpi_cp_49_N4716,2,2,1.0,0,2,0,2,0.0,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b15_1,N10792,1,1,1.0,0,1,0,1,0.0,1.0,"{""UNDETECTED"": 1}",1,1
