[gmean] 2026-07-17T16:51:12 out_dir=autoresearch/improve-260716-1344/round16_b17/context_cluster_c32_seed1024_depth4
[gmean] 2026-07-17T16:51:12 budgets=iscas99__b17:994
[gmean] 2026-07-17T16:51:12 variant_start id=greedy__cumulative__q_pred_context__bw1__d1__c32__g1p0__candhard_fault_cluster__div0p0__s0
[gmean] 2026-07-17T16:51:12 [1/1] plan_start benchmark=iscas99__b17 budget=994 planner=greedy score=q_pred_context
[plan iscas99__b17] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b17_C/exact_candidate_nodes.txt nodes=29334
[plan iscas99__b17] [plan] step=1 node=N2219 type=control1 q_pred_context=2.725100 sequence=2.725100
[plan iscas99__b17] [plan] step=2 node=N14033 type=control1 q_pred_context=2.316284 sequence=5.041384
[plan iscas99__b17] [plan] step=3 node=N5319 type=control0 q_pred_context=1.074358 sequence=6.115743
[plan iscas99__b17] [plan] step=4 node=N6992 type=control0 q_pred_context=1.395100 sequence=7.510842
[plan iscas99__b17] [plan] step=5 node=N2849 type=control0 q_pred_context=1.333925 sequence=8.844768
[plan iscas99__b17] [plan] step=6 node=N6780 type=control0 q_pred_context=2.211844 sequence=11.056611
[plan iscas99__b17] [plan] step=7 node=N16937 type=control0 q_pred_context=1.470144 sequence=12.526756
[plan iscas99__b17] [plan] step=8 node=N13644 type=control0 q_pred_context=1.268651 sequence=13.795406
[plan iscas99__b17] [plan] step=9 node=N7781 type=observe q_pred_context=1.501579 sequence=15.296986
[plan iscas99__b17] [plan] step=10 node=N18172 type=control0 q_pred_context=2.171847 sequence=17.468832
[plan iscas99__b17] [plan] step=11 node=N18496 type=control1 q_pred_context=2.066920 sequence=19.535752
[plan iscas99__b17] [plan] step=12 node=N13662 type=control0 q_pred_context=5.856197 sequence=25.391949
[plan iscas99__b17] [plan] step=13 node=N11975 type=control0 q_pred_context=2.201498 sequence=27.593447
[plan iscas99__b17] [plan] step=14 node=N12039 type=control0 q_pred_context=2.512832 sequence=30.106279
[plan iscas99__b17] [plan] step=15 node=N12015 type=control0 q_pred_context=3.107083 sequence=33.213361
[plan iscas99__b17] [plan] step=16 node=N11983 type=control0 q_pred_context=1.529939 sequence=34.743300
[plan iscas99__b17] [plan] step=17 node=N10160 type=control1 q_pred_context=1.147078 sequence=35.890378
[plan iscas99__b17] [plan] step=18 node=N19193 type=control0 q_pred_context=1.143432 sequence=37.033810
[plan iscas99__b17] [plan] step=19 node=N19195 type=control0 q_pred_context=1.619581 sequence=38.653391
[plan iscas99__b17] [plan] step=20 node=N13626 type=control0 q_pred_context=1.964574 sequence=40.617965
[plan iscas99__b17] [plan] step=21 node=N13624 type=control0 q_pred_context=2.202914 sequence=42.820879
[plan iscas99__b17] [plan] step=22 node=N4256 type=control0 q_pred_context=2.375379 sequence=45.196258
[plan iscas99__b17] [plan] step=23 node=N12071 type=control0 q_pred_context=1.796594 sequence=46.992852
