step,node,type,planner,candidate_strategy
1,N26513,control1,portfolio,weighted_round_robin
2,N9778,control1,portfolio,weighted_round_robin
3,N27608,observe,portfolio,weighted_round_robin
4,N2731,control0,portfolio,weighted_round_robin
5,N7642,observe,portfolio,weighted_round_robin
6,N7632,observe,portfolio,weighted_round_robin
7,N7640,observe,portfolio,weighted_round_robin
8,N7781,observe,portfolio,weighted_round_robin
9,N19320,observe,portfolio,weighted_round_robin
10,N19324,observe,portfolio,weighted_round_robin
11,N19317,observe,portfolio,weighted_round_robin
12,N8089,observe,portfolio,weighted_round_robin
13,N19316,observe,portfolio,weighted_round_robin
14,N24962,observe,portfolio,weighted_round_robin
15,N19318,observe,portfolio,weighted_round_robin
16,N5319,control0,portfolio,weighted_round_robin
17,N19319,observe,portfolio,weighted_round_robin
18,N19322,observe,portfolio,weighted_round_robin
19,N19323,observe,portfolio,weighted_round_robin
20,N6780,control0,portfolio,weighted_round_robin
21,N19314,observe,portfolio,weighted_round_robin
22,N19321,observe,portfolio,weighted_round_robin
23,N3386,observe,portfolio,weighted_round_robin
24,N6992,control0,portfolio,weighted_round_robin
25,N19315,observe,portfolio,weighted_round_robin
26,N3937,observe,portfolio,weighted_round_robin
27,N28756,observe,portfolio,weighted_round_robin
28,N12071,control0,portfolio,weighted_round_robin
29,N28757,observe,portfolio,weighted_round_robin
30,N28758,observe,portfolio,weighted_round_robin
31,N28759,observe,portfolio,weighted_round_robin
32,N11983,control0,portfolio,weighted_round_robin
33,N28760,observe,portfolio,weighted_round_robin
34,N28761,observe,portfolio,weighted_round_robin
35,N28762,observe,portfolio,weighted_round_robin
36,N12015,control0,portfolio,weighted_round_robin
37,N9217,observe,portfolio,weighted_round_robin
38,N28763,observe,portfolio,weighted_round_robin
39,N28764,observe,portfolio,weighted_round_robin
40,N12055,control0,portfolio,weighted_round_robin
41,N28765,observe,portfolio,weighted_round_robin
42,N3362,observe,portfolio,weighted_round_robin
43,N3378,observe,portfolio,weighted_round_robin
44,N11941,control0,portfolio,weighted_round_robin
45,N3370,observe,portfolio,weighted_round_robin
46,N3880,observe,portfolio,weighted_round_robin
47,N7633,observe,portfolio,weighted_round_robin
48,N11975,control0,portfolio,weighted_round_robin
49,N3856,observe,portfolio,weighted_round_robin
50,N3778,observe,portfolio,weighted_round_robin
51,N1984,observe,portfolio,weighted_round_robin
52,N3774,observe,portfolio,weighted_round_robin
53,N7644,observe,portfolio,weighted_round_robin
54,N3331,observe,portfolio,weighted_round_robin
55,N3325,observe,portfolio,weighted_round_robin
56,N9512,control1,portfolio,weighted_round_robin
57,N3339,observe,portfolio,weighted_round_robin
58,N3340,observe,portfolio,weighted_round_robin
59,N3346,observe,portfolio,weighted_round_robin
60,N10044,control1,portfolio,weighted_round_robin
61,N3348,observe,portfolio,weighted_round_robin
62,N3450,observe,portfolio,weighted_round_robin
63,N3463,observe,portfolio,weighted_round_robin
64,N7680,control0,portfolio,weighted_round_robin
65,N3354,observe,portfolio,weighted_round_robin
66,N3356,observe,portfolio,weighted_round_robin
67,N3428,observe,portfolio,weighted_round_robin
68,N7682,control0,portfolio,weighted_round_robin
69,N3436,observe,portfolio,weighted_round_robin
70,N1985,observe,portfolio,weighted_round_robin
71,N3347,observe,portfolio,weighted_round_robin
72,N4256,control0,portfolio,weighted_round_robin
73,N3324,observe,portfolio,weighted_round_robin
74,N5342,observe,portfolio,weighted_round_robin
75,N3470,observe,portfolio,weighted_round_robin
76,N11952,control0,portfolio,weighted_round_robin
77,N5461,observe,portfolio,weighted_round_robin
78,N5485,observe,portfolio,weighted_round_robin
79,N3394,observe,portfolio,weighted_round_robin
80,N12824,control0,portfolio,weighted_round_robin
81,N7641,observe,portfolio,weighted_round_robin
82,N3332,observe,portfolio,weighted_round_robin
83,N5486,observe,portfolio,weighted_round_robin
84,N12791,control0,portfolio,weighted_round_robin
85,N5341,observe,portfolio,weighted_round_robin
86,N5582,observe,portfolio,weighted_round_robin
87,N5750,observe,portfolio,weighted_round_robin
88,N12866,control0,portfolio,weighted_round_robin
89,N5894,observe,portfolio,weighted_round_robin
90,N5966,observe,portfolio,weighted_round_robin
91,N5581,observe,portfolio,weighted_round_robin
92,N12782,control0,portfolio,weighted_round_robin
93,N5749,observe,portfolio,weighted_round_robin
94,N5318,observe,portfolio,weighted_round_robin
95,N5414,observe,portfolio,weighted_round_robin
96,N12863,control0,portfolio,weighted_round_robin
97,N5534,observe,portfolio,weighted_round_robin
98,N5606,observe,portfolio,weighted_round_robin
99,N5654,observe,portfolio,weighted_round_robin
100,N12806,control0,portfolio,weighted_round_robin
101,N5702,observe,portfolio,weighted_round_robin
102,N5774,observe,portfolio,weighted_round_robin
103,N5798,observe,portfolio,weighted_round_robin
104,N12809,control0,portfolio,weighted_round_robin
105,N5846,observe,portfolio,weighted_round_robin
106,N5918,observe,portfolio,weighted_round_robin
107,N5990,observe,portfolio,weighted_round_robin
108,N12836,control0,portfolio,weighted_round_robin
109,N5533,observe,portfolio,weighted_round_robin
110,N5605,observe,portfolio,weighted_round_robin
111,N5653,observe,portfolio,weighted_round_robin
112,N12830,control0,portfolio,weighted_round_robin
113,N5701,observe,portfolio,weighted_round_robin
114,N5773,observe,portfolio,weighted_round_robin
115,N5797,observe,portfolio,weighted_round_robin
116,N12803,control0,portfolio,weighted_round_robin
117,N5413,observe,portfolio,weighted_round_robin
118,N5317,observe,portfolio,weighted_round_robin
119,N5438,observe,portfolio,weighted_round_robin
120,N12797,control0,portfolio,weighted_round_robin
121,N5390,observe,portfolio,weighted_round_robin
122,N5462,observe,portfolio,weighted_round_robin
123,N5822,observe,portfolio,weighted_round_robin
124,N12794,control0,portfolio,weighted_round_robin
125,N5942,observe,portfolio,weighted_round_robin
126,N5629,observe,portfolio,weighted_round_robin
127,N5677,observe,portfolio,weighted_round_robin
128,N12812,control0,portfolio,weighted_round_robin
129,N5821,observe,portfolio,weighted_round_robin
130,N5678,observe,portfolio,weighted_round_robin
131,N5389,observe,portfolio,weighted_round_robin
132,N12821,control0,portfolio,weighted_round_robin
133,N5726,observe,portfolio,weighted_round_robin
134,N5510,observe,portfolio,weighted_round_robin
135,N5558,observe,portfolio,weighted_round_robin
136,N6892,control0,portfolio,weighted_round_robin
137,N5870,observe,portfolio,weighted_round_robin
138,N5725,observe,portfolio,weighted_round_robin
139,N5509,observe,portfolio,weighted_round_robin
140,N6796,control0,portfolio,weighted_round_robin
141,N5557,observe,portfolio,weighted_round_robin
142,N5869,observe,portfolio,weighted_round_robin
143,N5437,observe,portfolio,weighted_round_robin
144,N6868,control0,portfolio,weighted_round_robin
145,N6013,observe,portfolio,weighted_round_robin
146,N5941,observe,portfolio,weighted_round_robin
147,N5630,observe,portfolio,weighted_round_robin
148,N12167,control0,portfolio,weighted_round_robin
149,N5366,observe,portfolio,weighted_round_robin
150,N5365,observe,portfolio,weighted_round_robin
151,N1992,observe,portfolio,weighted_round_robin
152,N2200,control1,portfolio,weighted_round_robin
153,N5294,observe,portfolio,weighted_round_robin
154,N3888,observe,portfolio,weighted_round_robin
155,N5293,observe,portfolio,weighted_round_robin
156,N2201,control1,portfolio,weighted_round_robin
157,N5845,observe,portfolio,weighted_round_robin
158,N5917,observe,portfolio,weighted_round_robin
159,N6014,observe,portfolio,weighted_round_robin
160,N7645,control0,portfolio,weighted_round_robin
161,N5989,observe,portfolio,weighted_round_robin
162,N5893,observe,portfolio,weighted_round_robin
163,N5965,observe,portfolio,weighted_round_robin
164,N7643,control0,portfolio,weighted_round_robin
165,N3826,observe,portfolio,weighted_round_robin
166,N5270,observe,portfolio,weighted_round_robin
167,N5269,observe,portfolio,weighted_round_robin
168,N12208,control0,portfolio,weighted_round_robin
169,N3517,observe,portfolio,weighted_round_robin
170,N3355,observe,portfolio,weighted_round_robin
171,N3379,observe,portfolio,weighted_round_robin
172,N6988,control0,portfolio,weighted_round_robin
173,N3363,observe,portfolio,weighted_round_robin
174,N3371,observe,portfolio,weighted_round_robin
175,N3507,observe,portfolio,weighted_round_robin
176,N4557,control0,portfolio,weighted_round_robin
177,N3393,observe,portfolio,weighted_round_robin
178,N3575,observe,portfolio,weighted_round_robin
179,N3421,observe,portfolio,weighted_round_robin
180,N2192,control1,portfolio,weighted_round_robin
181,N3469,observe,portfolio,weighted_round_robin
182,N3526,observe,portfolio,weighted_round_robin
183,N3553,observe,portfolio,weighted_round_robin
184,N4505,control0,portfolio,weighted_round_robin
185,N3407,observe,portfolio,weighted_round_robin
186,N3427,observe,portfolio,weighted_round_robin
187,N3444,observe,portfolio,weighted_round_robin
188,N4609,control0,portfolio,weighted_round_robin
189,N3457,observe,portfolio,weighted_round_robin
190,N3477,observe,portfolio,weighted_round_robin
191,N7937,observe,portfolio,weighted_round_robin
192,N12143,control0,portfolio,weighted_round_robin
193,N3485,observe,portfolio,weighted_round_robin
194,N27273,observe,portfolio,weighted_round_robin
195,N7936,observe,portfolio,weighted_round_robin
196,N7916,observe,portfolio,weighted_round_robin
197,N3505,observe,portfolio,weighted_round_robin
198,N19325,observe,portfolio,weighted_round_robin
199,N19332,observe,portfolio,weighted_round_robin
200,N12135,control0,portfolio,weighted_round_robin
201,N19335,observe,portfolio,weighted_round_robin
202,N19333,observe,portfolio,weighted_round_robin
203,N19334,observe,portfolio,weighted_round_robin
204,N12095,control0,portfolio,weighted_round_robin
205,N19336,observe,portfolio,weighted_round_robin
206,N3535,observe,portfolio,weighted_round_robin
207,N3562,observe,portfolio,weighted_round_robin
208,N12103,control0,portfolio,weighted_round_robin
209,N3435,observe,portfolio,weighted_round_robin
210,N3451,observe,portfolio,weighted_round_robin
211,N3495,observe,portfolio,weighted_round_robin
212,N12039,control0,portfolio,weighted_round_robin
213,N7935,observe,portfolio,weighted_round_robin
214,N3544,observe,portfolio,weighted_round_robin
215,N3464,observe,portfolio,weighted_round_robin
216,N12111,control0,portfolio,weighted_round_robin
217,N7933,observe,portfolio,weighted_round_robin
218,N19331,observe,portfolio,weighted_round_robin
219,N24690,observe,portfolio,weighted_round_robin
220,N12119,control0,portfolio,weighted_round_robin
221,N7934,observe,portfolio,weighted_round_robin
222,N7932,observe,portfolio,weighted_round_robin
223,N19329,observe,portfolio,weighted_round_robin
224,N11923,control0,portfolio,weighted_round_robin
225,N22174,observe,portfolio,weighted_round_robin
226,N21744,observe,portfolio,weighted_round_robin
