[gmean] 2026-07-16T14:43:06 out_dir=autoresearch/improve-260716-1344/round2_b15/q_lcb_cluster_c48
[gmean] 2026-07-16T14:43:06 budgets=iscas99__b15_1:278
[gmean] 2026-07-16T14:43:06 variant_start id=greedy__cumulative__q_pred_lcb__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[gmean] 2026-07-16T14:43:06 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_pred_lcb
[plan iscas99__b15_1] [plan] ensemble_checkpoints=3 score_field=q_pred_lcb lcb_alpha=0.75
[plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[plan iscas99__b15_1] [plan] step=1 node=N502 type=control1 q_pred_lcb=0.512454 sequence=0.512454
[plan iscas99__b15_1] [plan] step=2 node=N713 type=observe q_pred_lcb=0.255313 sequence=0.767767
[plan iscas99__b15_1] [plan] step=3 node=N7592 type=control1 q_pred_lcb=0.148827 sequence=0.916593
[plan iscas99__b15_1] [plan] step=4 node=N507 type=control1 q_pred_lcb=0.404744 sequence=1.321337
[plan iscas99__b15_1] [plan] step=5 node=N5234 type=observe q_pred_lcb=0.169292 sequence=1.490629
[plan iscas99__b15_1] [plan] step=6 node=N724 type=observe q_pred_lcb=0.018704 sequence=1.509333
[plan iscas99__b15_1] [plan] step=7 node=N1599 type=observe q_pred_lcb=0.039668 sequence=1.549001
[plan iscas99__b15_1] [plan] step=8 node=N889 type=observe q_pred_lcb=-0.076827 sequence=1.472174
[plan iscas99__b15_1] [plan] step=9 node=N5866 type=observe q_pred_lcb=0.097875 sequence=1.570049
[plan iscas99__b15_1] [plan] step=10 node=N488 type=control1 q_pred_lcb=0.251650 sequence=1.821699
[plan iscas99__b15_1] [plan] step=11 node=N1532 type=observe q_pred_lcb=0.071522 sequence=1.893222
[plan iscas99__b15_1] [plan] step=12 node=N2083 type=observe q_pred_lcb=0.036199 sequence=1.929421
[plan iscas99__b15_1] [plan] step=13 node=N704 type=observe q_pred_lcb=-0.020444 sequence=1.908977
[plan iscas99__b15_1] [plan] step=14 node=N557 type=control1 q_pred_lcb=-0.042620 sequence=1.866357
[plan iscas99__b15_1] [plan] step=15 node=N2082 type=observe q_pred_lcb=-0.043047 sequence=1.823310
[plan iscas99__b15_1] [plan] step=16 node=N3605 type=observe q_pred_lcb=-0.136763 sequence=1.686547
[plan iscas99__b15_1] [plan] step=17 node=N4628 type=observe q_pred_lcb=-0.183057 sequence=1.503490
[plan iscas99__b15_1] [plan] step=18 node=N4621 type=observe q_pred_lcb=-0.207804 sequence=1.295686
[plan iscas99__b15_1] [plan] step=19 node=N4614 type=observe q_pred_lcb=-0.222983 sequence=1.072703
[plan iscas99__b15_1] [plan] step=20 node=N5740 type=observe q_pred_lcb=-0.208139 sequence=0.864564
[plan iscas99__b15_1] [plan] step=21 node=N6538 type=observe q_pred_lcb=-0.081867 sequence=0.782697
[plan iscas99__b15_1] [plan] step=22 node=N864 type=observe q_pred_lcb=-0.183888 sequence=0.598809
[plan iscas99__b15_1] [plan] step=23 node=N576 type=observe q_pred_lcb=-0.121128 sequence=0.477681
[plan iscas99__b15_1] [plan] step=24 node=N2008 type=observe q_pred_lcb=-0.210619 sequence=0.267062
[plan iscas99__b15_1] [plan] step=25 node=N2064 type=observe q_pred_lcb=-0.293880 sequence=-0.026818
[plan iscas99__b15_1] [plan] step=26 node=N2062 type=observe q_pred_lcb=-0.350025 sequence=-0.376842
[plan iscas99__b15_1] [plan] step=27 node=N2060 type=observe q_pred_lcb=-0.420967 sequence=-0.797810
[plan iscas99__b15_1] [plan] step=28 node=N2066 type=observe q_pred_lcb=-0.480660 sequence=-1.278469
[plan iscas99__b15_1] [plan] step=29 node=N1987 type=observe q_pred_lcb=-0.529435 sequence=-1.807905
[plan iscas99__b15_1] [plan] step=30 node=N2068 type=observe q_pred_lcb=-0.573076 sequence=-2.380981
[plan iscas99__b15_1] [plan] step=31 node=N2056 type=observe q_pred_lcb=-0.626262 sequence=-3.007243
[plan iscas99__b15_1] [plan] step=32 node=N2058 type=observe q_pred_lcb=-0.690873 sequence=-3.698116
[plan iscas99__b15_1] [plan] step=33 node=N2052 type=observe q_pred_lcb=-0.748248 sequence=-4.446363
[plan iscas99__b15_1] [plan] step=34 node=N866 type=observe q_pred_lcb=-0.808629 sequence=-5.254992
[plan iscas99__b15_1] [plan] step=35 node=N5046 type=observe q_pred_lcb=-0.816360 sequence=-6.071353
[plan iscas99__b15_1] [plan] step=36 node=N2101 type=observe q_pred_lcb=-0.797654 sequence=-6.869007
[plan iscas99__b15_1] [plan] step=37 node=N2050 type=observe q_pred_lcb=-0.823767 sequence=-7.692775
[plan iscas99__b15_1] [plan] step=38 node=N1372 type=observe q_pred_lcb=-0.661341 sequence=-8.354116
[plan iscas99__b15_1] [plan] step=39 node=N1853 type=observe q_pred_lcb=-0.789925 sequence=-9.144040
[plan iscas99__b15_1] [plan] step=40 node=N2054 type=observe q_pred_lcb=-0.844898 sequence=-9.988938
[plan iscas99__b15_1] [plan] step=41 node=N2046 type=observe q_pred_lcb=-0.908257 sequence=-10.897195
[plan iscas99__b15_1] [plan] step=42 node=N2157 type=observe q_pred_lcb=-0.877560 sequence=-11.774755
[plan iscas99__b15_1] [plan] step=43 node=N6675 type=observe q_pred_lcb=-0.034952 sequence=-11.809707
[plan iscas99__b15_1] [plan] step=44 node=N5356 type=observe q_pred_lcb=-0.544396 sequence=-12.354103
[plan iscas99__b15_1] [plan] step=45 node=N867 type=observe q_pred_lcb=-0.613306 sequence=-12.967408
[plan iscas99__b15_1] [plan] step=46 node=N578 type=observe q_pred_lcb=-0.797617 sequence=-13.765025
[plan iscas99__b15_1] [plan] step=47 node=N893 type=observe q_pred_lcb=-0.889673 sequence=-14.654699
[plan iscas99__b15_1] [plan] step=48 node=N5874 type=observe q_pred_lcb=-0.537371 sequence=-15.192070
[plan iscas99__b15_1] [plan] step=49 node=N2102 type=observe q_pred_lcb=-0.597418 sequence=-15.789488
[plan iscas99__b15_1] [plan] step=50 node=N2149 type=observe q_pred_lcb=-0.661672 sequence=-16.451159
[plan iscas99__b15_1] [plan] step=51 node=N871 type=observe q_pred_lcb=-0.754094 sequence=-17.205253
[plan iscas99__b15_1] [plan] step=52 node=N2155 type=observe q_pred_lcb=-0.838378 sequence=-18.043631
