* Log file for the circuit autoresearch/deeptpi_table2_restored_bench/b21_C.bench.
* Number of faults detected by each test pattern:

test    1: 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 1973 faults detected
test    2: 101110010101011111010001000010111011010111010011011001100000011101011110011101101001100101111101011100110110101000001001000111101000100101010101001111110010000111001010101001100011011010110111110111111111100110101010000101110110011001000110100010100111001110101110100110001110100010100011110101111011011101001001000110101100000001111100011000010000011011001110101000111010001100110011001000011000011001111001001111010010001001011001110001011100000010100001011111101011111001110001011100001100111010011110011111011101111111 010111101011011000110010001101110010101010011011011100011111000000001110000101111000000000000000000000000000000000001001000001010110110011101011100100001110010101010011000110110101101111101111111111001101010100000111010001010001111010111101101111010101010011011011100000011111110111110110100110101110011000011101000111001111101011000011000010011001100110001001110101000110010011111011110101001111001001111010010001001011001110001011100000010100001011111101111111101001100101101110011110100111001010011101111 2878 faults detected
test    3: 111110111010101100000001010010010100111101111111010000110010011110110000111010010011110110100111110110110101011110010101001111010110000001000100001001010000001101001010101001000111100100011101000011111011010110000001100000011000101111101010011100001000100001001001001100010001111010110111100011111010111110011111110000011000100111101111100100001110110101101000011101001110101110100110011001101000110100000111100000010010101111110011011000001001110100001110100101010001000110100000000000110101010110001010101001010110111001 111011100010001100010111111100110010000100100101010000000011100101011111010001100000001010010000100010000001101010110101011000010101001001000010011100011010010101010010001111001000111010000111110110101100000011001000111101011011110001111101011110111101111111010000110010011111100011010111011000110101010110000000000010110001000101100010110011001100101110101111000110011100111011101100000111100000111100000010010101111110011011000001001110100001110100101011110011011011110010010111000011011010111011100110011 1290 faults detected
test    4: 010011000011001111100110111011000010110000110001010011100010111000100100111101101111001101101011101111111111000011100111011011111001011110110100110111100100011000011111100001011110000110000101110101001111111010111110010111010010101100100001111011001111010110111110000110000010000110001111010110110100011010100110101111010111101001100010110010010000110010111101010110111011100000010111110001010100101100000001110000100011110001001000100110010111011101001101010110101000010101011001101000001010111011100111110011110110100011 100011001011110101111010110010100100101011011011110111001101111000010011010100101110100111101100101101111010011111110001001010101101101001100100110100110000111111000010111100001100001011101010011111110101111100100001000011000111101011011010001100101100101111100001011011100100110111100111110011101110101000001011001101010100001000000000000000000000000000000001001010100001011001111011011011100000001110000100011110001001000100110010111011101001101010110101000111101100111101101111001001011000000000001010111 1468 faults detected
test    5: 100001100010101001010100000111011000110000000100110110011011110100000000100101011010111010110110010011100000100011100000101010001101110100011100010101001001111110001100101100100001101101000110100110111101010101010111111010010011111111001111011010100100101011110000010001111100001110111010011000101100000111001111100010111101110110011111001001101011001000100001001011101100000001110111111110000000101111101100101011111100111010110000010111100110101000000001000000100001100011000010111100000101000100001001011010100010101101 101100100111011110110011111001110010100000000000000001010101101111001111111100100100010010101000111000101110110000101111100011101111100011011001100111111100011001011001000011011010001101001101111010101010101111110100100111111110011110110101001010110000000100110110011011110100010111000010111101010001010000011110100001100011000110100000001111111101110000000000100101110000101100011110000101111101100101011111100111010110000010111100110101000000001000000101011011010111010110101001000000000110110001110000011  748 faults detected
test    6: 001110000110100100010101100110001100111000001111000001010000110101000111011111010100001011001101001110010001101101001111101011101111010101110010111110000000000000111000111001111010110011001100101101101101111000010100010010010111100001101101111101111010111010101100100010110011010010000101001100011011101110101101111110110111110101110010011000101100110010110000110010101000101011111010011110111011000010001110111011100111110110101100001101111100011010100011001111010011100011110101010000100110100001100100001111111111010111 110111010111110110111111011010111111111011011111100010111011111011011000011110100100000001111101001110101011110111000111011111010100001011011101010100000001110001110011110101100110011001011011011011110000101000101001101001000010100110001101110110111000001111000001010000110100100001001001011001000010110010000101010111100011100000011011101111001011111010100001010111110101101101101100010101010001110111011100111110110101100001101111100011010100011001111010101110110100001010111110111000110010010001101100110  324 faults detected
test    7: 110100111100100001101101010011011001100111110010001100000110101010000000011001000000110101110001101001001011110100011000001011101100111000010011111001001011011000101100111001010100011010101100100111110110010100110000100001001001010010100010100111100010010001100110010011110100101000010110001101001101110110011110101100011010110101011011100010011011111000100011111110001110000101101011101000101011110011110110001110010010000000000001011001110001010001100011011011011000111110111001010000101011001001001110111111011111010001 101101010110101100011010111100110011100111010001101010011110010100010100101001001001010010011111001000011100110110000000011001000000110101110001000110110001011001110010101000110101011001001111101100101001100001001010010100001011000110100110111011100111110010001100000110101010001000110111000011101001101010000101001110111110001001111010100010111010110100001000111011110100110101011010000001111110110001110010010000000000001011001110001010001100011011011010100011101011000000100110000000001011000001111001000  239 faults detected
test    8: 100001001010011111010110010111110111101010100111011100100000001001011101011000110100001001010100001011110001110110011110101101111111011101111100000101111100001010001010101100010000100110100110100100101111110011110110011101101100010110100001011111110101011010011110011011001110100010100101111111010010010111010110111111111000111011011010001111100001010101001000100011110101000110000100000001001000010011010001110110100001101110000001011010000011011101110010110111110000100100001001011000111111101011000010001001100110000001 011101101110001111111110110101111000110111110001111101111111101000010110100011011010111110100000111110111011111111011101011000110100001001010000001000010100010101011000100001001101001101001001011111100111101100110111010001010010111111101001001011101000100111011110100000001000010000111101010101101011111110001101001000010010000001000010010000000100001100010000011101110110101010111100001000111010001110110100001101110000001011010000011011101110010110111110000010100100001011000110101110100001100111111011100  277 faults detected
test    9: 100010101100111001010011001111100110010101000001110011110110000100001000000001100001000011000100101111111100011001000010000001101011101101001111110101101010100101101010110010001011110111111010111110100011011011011011010010001100011101100111011000101001011010111111000011001101010010100111101100100010010111101001000101000110111010010101001000111101111101000001010001010010110011100001111010101111111100010011010000101101111010000111000000000010011001011100001111011100000000111001001101001101011001000010000010111001000000 100100111110110001010001001011110010010111111110001100010001101110011011100011000100000000000000000000000000000000000100001001100011111111010010010001001010100100100110100111100100110101111101000110110110110110100110101001010011110110010001001000010111000001110011110110000101001110100000100001001101011001011001001110000000011000000000000000000000000000000010111010111110100000100001111001100010011010000101101111010000111000000000010011001011100001111010000000110000100001100000000100011100001111111100000  978 faults detected
test   10: 010001110101001111000001010111011100001010001010101001100000101100010100010110110010011111110111110010011101110101010100001100001000110000010001000101101100100110001010011100001011100111111011000001111001101011000100001001111101111000010001110001001010101100111001001111011111110111110100110100011000011111100010110001001011100001100011111011110110000110100010100110100111001000111110100000000101010001010111000101101000011001011010001111010001100101010101100010110100011110010001000000011100100011010101110001100110010001 010011000011101001000110100011111100001010000011010010001000111000100001111011111000110110100010001000001100010000010100010110110010011111110001011001001100010100111000010111001111110110000011110011010110001000011111111011111010011010001100001110001010001010101001100000101101101000001001001111000010011100000001000100111100010001010100000000101111100010011010100011011110111100010001110100101010111000101101000011001011010001111010001100101010101100010110100011111110010011011010001010000001000001010111110  135 faults detected
test   11: 011110100101111000110001000101111100101110100011100001111000111110000100001010100101100001101100100001101000010011001010111001001111000100000010010000011000110111111110111001001101111110111000100111000111011100110010001010000101000100011011101010011000111000011101110001100101011011110010110010100001001000001001100010100101001100010111101100000111101100110000001101010011010001000100111010100000010111001010010010111111100111000110001001001010100110001101011101011010100000100110011111011011100000010111111000000101101001 010100001001010010110011001000011011111101011001100100100101011101100010001010000100011000001001000000100011110010001010110011011110100111101101010001101111111101110010011011111101110001001110001110111001100100010010101101111001011001010000100110101110100011100001111000111111001001001101101101000011101101111100110010000010101101000000101011100100010001011100001010110001100000001000000110011001010010010111111100111000110001001001010100110001101011101011010011100001101001010100001000010000111010000100011  340 faults detected
test   12: 011110010011110011011110011010000011001100110100001010101111111001001100000000010110000110010000101100000000011111011011100100101101100101010110011001111010110001011000100000010010110010101011100101011100101101011100111001111011111100100101111001111101001000000010011011101011001011001111010001101010010100100010101100100100001010001110110010010000111110000101101101110000110110000101101010011111111011110110010011011011011110101011101010010101001010110010101100100010001010001100010001110011001101111111101111111101111110 101000111000010010011010100010011110110010000000100101111001111010010011111101111000000000000000000000000000000000011101101111100000000011010000111101100010110001000000100101100101010111001010111001011010111001110101100101100111101000110101001011001110110100001010101111111000100000001011010110100011000101011100000111100000101000000000000000000000000000000000100100101111000001111011011010111110110010011011011011110101011101010010101001010110010101100101111100011000011010000000001100100001001101000111111 1009 faults detected
test   13: 111001101111000010000001101111011011100111110100100010010000111100011010000101101100011110110100110100000011111110011100001011111001010010011110111010110000001100001011011010000011001110010010101100011000101111110011011101111001111010110100000101011001100011000011000101110100110110010101010001010100101100011011101001000011100001101110101011101011010100000001111101111101000101111101111010010100000011001000011110101010110111011001100110110001010001011100010010011010101110000000010101010000101010101110101001010111010110 001011010011100001001011101100010001101110110100011000101010000010110101111001111010001101011101111001001010011110111100011000000011111101001101110100011000010110110100000110011100100101011000110001011111100110111010011011001010101000101010010101100101110100110000010000111101110101001010111010101010000101010100000000111010101000000000000000000000000000000000100000111111101010010100010110011001000011110101010110111011001100110110001010001011100010010010101101011110001101101000010110001011111000111010010  238 faults detected
