[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T05:02:49 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/alpha_0p10_decay_16
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T05:02:49 budgets=iscas99__b15_1:278
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T05:02:49 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T05:02:49 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.242928 sequence=5.242928
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.730616 sequence=9.973544
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.048129 sequence=12.021673
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.753208 sequence=13.774882
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.151609 sequence=14.926490
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.065296 sequence=15.991787
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.975987 sequence=16.967773
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.086803 sequence=18.054576
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.949895 sequence=19.004472
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.125716 sequence=20.130188
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.276602 sequence=22.406790
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.612505 sequence=24.019295
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.253978 sequence=27.273274
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.149624 sequence=30.422898
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.795723 sequence=33.218621
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=16 node=N2153 type=observe q_typed_residual_context=1.832080 sequence=35.050701
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=17 node=N1853 type=observe q_typed_residual_context=4.931850 sequence=39.982551
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=18 node=N2082 type=observe q_typed_residual_context=5.794488 sequence=45.777039
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=6.319519 sequence=52.096558
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=5.320483 sequence=57.417041
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.640414 sequence=62.057455
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=22 node=N1532 type=observe q_typed_residual_context=5.670801 sequence=67.728256
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=23 node=N496 type=control1 q_typed_residual_context=6.957498 sequence=74.685754
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=24 node=N5723 type=control0 q_typed_residual_context=4.753275 sequence=79.439029
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=6.265177 sequence=85.704206
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_residual_context=7.144845 sequence=92.849050
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=8.050053 sequence=100.899103
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=2.962193 sequence=103.861296
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=3.224346 sequence=107.085643
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=3.403675 sequence=110.489318
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=8.352141 sequence=118.841459
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=32 node=N7511 type=control1 q_typed_residual_context=3.421245 sequence=122.262704
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=33 node=N2042 type=observe q_typed_residual_context=5.719411 sequence=127.982116
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_residual_context=4.835152 sequence=132.817268
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=35 node=N7891 type=control1 q_typed_residual_context=5.728253 sequence=138.545520
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=36 node=N5234 type=observe q_typed_residual_context=6.539677 sequence=145.085198
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_residual_context=8.341551 sequence=153.426748
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=38 node=N3903 type=control0 q_typed_residual_context=0.338756 sequence=153.765505
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=39 node=N2314 type=control1 q_typed_residual_context=0.988356 sequence=154.753860
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_residual_context=4.227258 sequence=158.981119
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=41 node=N4656 type=control0 q_typed_residual_context=6.729081 sequence=165.710199
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=42 node=N7882 type=control1 q_typed_residual_context=1.718263 sequence=167.428462
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=43 node=N7883 type=control1 q_typed_residual_context=4.692887 sequence=172.121349
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=44 node=N3896 type=control0 q_typed_residual_context=0.845103 sequence=172.966452
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=45 node=N4663 type=control0 q_typed_residual_context=1.113972 sequence=174.080424
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=46 node=N4606 type=control0 q_typed_residual_context=0.866947 sequence=174.947371
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=47 node=N3889 type=control0 q_typed_residual_context=0.879669 sequence=175.827040
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=48 node=N7885 type=control1 q_typed_residual_context=0.932351 sequence=176.759392
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=49 node=N3882 type=control0 q_typed_residual_context=0.893873 sequence=177.653265
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=50 node=N3805 type=control0 q_typed_residual_context=0.888128 sequence=178.541393
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_residual_context=0.954225 sequence=179.495618
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=52 node=N4677 type=control0 q_typed_residual_context=1.118208 sequence=180.613827
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=53 node=N713 type=observe q_typed_residual_context=1.754372 sequence=182.368199
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=54 node=N724 type=observe q_typed_residual_context=1.324632 sequence=183.692831
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=55 node=N4684 type=control0 q_typed_residual_context=1.220427 sequence=184.913257
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=56 node=N704 type=observe q_typed_residual_context=1.138241 sequence=186.051499
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=57 node=N4691 type=control0 q_typed_residual_context=1.315473 sequence=187.366972
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=58 node=N4698 type=control0 q_typed_residual_context=1.102246 sequence=188.469218
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=59 node=N3862 type=control0 q_typed_residual_context=1.097337 sequence=189.566555
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=60 node=N4585 type=control0 q_typed_residual_context=1.010709 sequence=190.577264
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=61 node=N4578 type=control0 q_typed_residual_context=1.160457 sequence=191.737721
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=62 node=N4712 type=control0 q_typed_residual_context=1.069547 sequence=192.807268
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=63 node=N4716 type=control0 q_typed_residual_context=1.017836 sequence=193.825104
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=64 node=N4705 type=control0 q_typed_residual_context=1.099679 sequence=194.924783
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=65 node=N4670 type=control0 q_typed_residual_context=1.213646 sequence=196.138428
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=66 node=N7471 type=control0 q_typed_residual_context=1.230348 sequence=197.368776
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=67 node=N2044 type=observe q_typed_residual_context=1.015341 sequence=198.384117
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=68 node=N4564 type=control0 q_typed_residual_context=0.898729 sequence=199.282847
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=69 node=N5603 type=control0 q_typed_residual_context=1.253741 sequence=200.536588
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=70 node=N722 type=observe q_typed_residual_context=2.625108 sequence=203.161696
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=71 node=N2040 type=observe q_typed_residual_context=1.260626 sequence=204.422322
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=72 node=N4557 type=control0 q_typed_residual_context=1.580980 sequence=206.003302
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=73 node=N2083 type=observe q_typed_residual_context=2.002084 sequence=208.005386
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=74 node=N7724 type=control0 q_typed_residual_context=1.968546 sequence=209.973932
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=75 node=N3722 type=control0 q_typed_residual_context=1.998358 sequence=211.972290
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=76 node=N7854 type=control0 q_typed_residual_context=2.908227 sequence=214.880517
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=77 node=N578 type=observe q_typed_residual_context=2.879350 sequence=217.759867
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=78 node=N3855 type=control0 q_typed_residual_context=2.261017 sequence=220.020884
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=79 node=N3897 type=control0 q_typed_residual_context=1.224294 sequence=221.245177
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=80 node=N7543 type=control0 q_typed_residual_context=1.187443 sequence=222.432620
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=81 node=N519 type=control1 q_typed_residual_context=1.405613 sequence=223.838233
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=82 node=N7722 type=control0 q_typed_residual_context=1.410697 sequence=225.248930
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=83 node=N7370 type=control1 q_typed_residual_context=1.240793 sequence=226.489723
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=84 node=N504 type=control1 q_typed_residual_context=2.515271 sequence=229.004994
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=85 node=N7886 type=control1 q_typed_residual_context=0.656392 sequence=229.661386
[b15-round5/prefix_toplist_sa/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=86 node=N7887 type=control1 q_typed_residual_context=1.074269 sequence=230.735655
