[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:59:58 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/prefix_cql_sa/epoch_012/q_typed_residual_context/alpha_0p10_decay_16
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:59:58 budgets=iscas99__b15_1:278
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:59:58 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:59:58 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.240458 sequence=5.240458
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.730616 sequence=9.971075
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.050115 sequence=12.021189
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.755185 sequence=13.776375
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.169021 sequence=14.945396
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.064065 sequence=16.009461
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.972562 sequence=16.982023
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.063327 sequence=18.045350
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.950507 sequence=18.995857
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.126014 sequence=20.121871
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.284282 sequence=22.406154
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.622009 sequence=24.028162
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.251744 sequence=27.279906
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.155601 sequence=30.435507
[b15-round5/prefix_cql_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.796251 sequence=33.231759
