[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:45:25 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/prefix_rank/best_final_horizon/q_typed_residual_context/alpha_0p10_decay_16
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:45:25 budgets=iscas99__b15_1:278
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:45:25 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T04:45:25 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.269231 sequence=5.269231
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.730616 sequence=9.999847
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.049168 sequence=12.049015
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.767049 sequence=13.816064
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_residual_context=1.158239 sequence=14.974303
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.314353 sequence=16.288656
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=7 node=N3722 type=control0 q_typed_residual_context=0.921130 sequence=17.209786
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_residual_context=1.223701 sequence=18.433487
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=9 node=N5143 type=observe q_typed_residual_context=1.214757 sequence=19.648244
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_residual_context=1.421266 sequence=21.069510
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=1.152768 sequence=22.222278
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.046923 sequence=23.269201
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=4.160444 sequence=27.429644
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=2.461961 sequence=29.891605
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=3.253872 sequence=33.145477
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=2.246931 sequence=35.392408
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=5.124815 sequence=40.517223
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=6.266218 sequence=46.783441
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=6.845052 sequence=53.628494
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=5.157207 sequence=58.785701
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=5.732925 sequence=64.518626
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.706005 sequence=71.224631
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=23 node=N1532 type=observe q_typed_residual_context=6.070370 sequence=77.295000
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=24 node=N5723 type=control0 q_typed_residual_context=2.386052 sequence=79.681052
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=6.132665 sequence=85.813717
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_residual_context=7.451366 sequence=93.265083
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=7.899508 sequence=101.164590
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=28 node=N7511 type=control1 q_typed_residual_context=2.807859 sequence=103.972449
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=29 node=N7411 type=control1 q_typed_residual_context=4.168596 sequence=108.141045
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=30 node=N5234 type=observe q_typed_residual_context=6.634018 sequence=114.775064
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=8.684665 sequence=123.459728
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=32 node=N2042 type=observe q_typed_residual_context=4.760632 sequence=128.220360
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=33 node=N583 type=control1 q_typed_residual_context=7.868512 sequence=136.088871
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=34 node=N576 type=observe q_typed_residual_context=6.766072 sequence=142.854943
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=35 node=N7891 type=control1 q_typed_residual_context=3.081690 sequence=145.936633
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=36 node=N3911 type=control0 q_typed_residual_context=0.812616 sequence=146.749249
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=37 node=N2044 type=observe q_typed_residual_context=1.485271 sequence=148.234520
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=6.187352 sequence=154.421872
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=39 node=N3701 type=control0 q_typed_residual_context=0.852318 sequence=155.274189
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_residual_context=5.440531 sequence=160.714720
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=41 node=N3813 type=control0 q_typed_residual_context=0.828502 sequence=161.543222
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=42 node=N7882 type=control1 q_typed_residual_context=2.872775 sequence=164.415998
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=43 node=N3904 type=control0 q_typed_residual_context=0.978823 sequence=165.394820
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=44 node=N4656 type=control0 q_typed_residual_context=2.805413 sequence=168.200233
[b15-round5/prefix_rank/best_final_horizon/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=45 node=N7883 type=control1 q_typed_residual_context=1.628943 sequence=169.829176
