[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T05:05:48 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/prefix_toplist_sa/epoch_012/q_typed_residual_context/alpha_0p10_decay_16
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T05:05:48 budgets=iscas99__b15_1:278
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T05:05:48 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [gmean] 2026-07-21T05:05:48 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.236672 sequence=5.236672
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.730616 sequence=9.967288
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.040399 sequence=12.007687
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.762230 sequence=13.769917
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.160005 sequence=14.929922
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.066510 sequence=15.996432
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.971630 sequence=16.968062
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.090186 sequence=18.058248
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.946891 sequence=19.005139
[b15-round5/prefix_toplist_sa/epoch_012/q_typed_residual_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.126006 sequence=20.131145
