[b15-r10-boundary/return_within_lr5e4/e003] [gmean] 2026-07-21T17:31:44 out_dir=autoresearch/loop-260720-0945/model_training_round10/b15_selection/return_within_lr5e4/epoch_003/alpha_0p10_decay_64
[b15-r10-boundary/return_within_lr5e4/e003] [gmean] 2026-07-21T17:31:44 budgets=iscas99__b15_1:278
[b15-r10-boundary/return_within_lr5e4/e003] [gmean] 2026-07-21T17:31:44 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r10-boundary/return_within_lr5e4/e003] [gmean] 2026-07-21T17:31:44 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r10-boundary/return_within_lr5e4/e003] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r10-boundary/return_within_lr5e4/e003] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r10-boundary/return_within_lr5e4/e003] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r10-boundary/return_within_lr5e4/e003] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-r10-boundary/return_within_lr5e4/e003] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.257561 sequence=8.115626
[b15-r10-boundary/return_within_lr5e4/e003] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.307733
[b15-r10-boundary/return_within_lr5e4/e003] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.753826
[b15-r10-boundary/return_within_lr5e4/e003] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.895183 sequence=12.649010
[b15-r10-boundary/return_within_lr5e4/e003] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.138074
[b15-r10-boundary/return_within_lr5e4/e003] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.049014
[b15-r10-boundary/return_within_lr5e4/e003] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.146955
[b15-r10-boundary/return_within_lr5e4/e003] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.369624 sequence=17.516579
[b15-r10-boundary/return_within_lr5e4/e003] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.074303
[b15-r10-boundary/return_within_lr5e4/e003] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.399880
[b15-r10-boundary/return_within_lr5e4/e003] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.850473
[b15-r10-boundary/return_within_lr5e4/e003] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.105795
[b15-r10-boundary/return_within_lr5e4/e003] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.504464
