[b15-r10/return_within_lr5e5/e002] [gmean] 2026-07-21T16:58:40 out_dir=autoresearch/loop-260720-0945/model_training_round10/b15_selection/return_within_lr5e5/epoch_002/alpha_0p10_decay_64
[b15-r10/return_within_lr5e5/e002] [gmean] 2026-07-21T16:58:40 budgets=iscas99__b15_1:278
[b15-r10/return_within_lr5e5/e002] [gmean] 2026-07-21T16:58:40 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r10/return_within_lr5e5/e002] [gmean] 2026-07-21T16:58:40 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.256890 sequence=8.114955
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.307062
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.753156
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.897913 sequence=12.651068
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.140132
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.051072
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.149013
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.365475 sequence=17.514488
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.072212
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.397789
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.848382
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.103704
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.502373
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.102749
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.948290 sequence=29.051039
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.796082
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.188657
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.187215
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.343911
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=39.043664
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.332627 sequence=41.376292
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=23 node=N1860 type=observe q_typed_reliable_context=1.946390 sequence=43.322681
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=24 node=N1372 type=observe q_typed_reliable_context=1.820853 sequence=45.143535
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_reliable_context=1.720757 sequence=46.864292
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.806085 sequence=48.670377
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=0.806470 sequence=49.476847
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_reliable_context=0.855467 sequence=50.332314
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=29 node=N4684 type=control0 q_typed_reliable_context=2.985753 sequence=53.318066
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=30 node=N1437 type=control1 q_typed_reliable_context=0.324663 sequence=53.642730
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=31 node=N583 type=control1 q_typed_reliable_context=1.472114 sequence=55.114843
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=32 node=N4670 type=control0 q_typed_reliable_context=2.807891 sequence=57.922735
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.746173 sequence=58.668908
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.978288 sequence=59.647196
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=35 node=N4663 type=control0 q_typed_reliable_context=1.831774 sequence=61.478970
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=36 node=N4656 type=control0 q_typed_reliable_context=2.134395 sequence=63.613365
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.615070 sequence=65.228435
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=38 node=N7881 type=control1 q_typed_reliable_context=0.712285 sequence=65.940721
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=39 node=N7882 type=control1 q_typed_reliable_context=0.829745 sequence=66.770466
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=40 node=N7883 type=control1 q_typed_reliable_context=0.600771 sequence=67.371237
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=41 node=N7884 type=control1 q_typed_reliable_context=0.496956 sequence=67.868193
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=42 node=N704 type=observe q_typed_reliable_context=1.458803 sequence=69.326997
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=43 node=N6537 type=observe q_typed_reliable_context=3.684462 sequence=73.011459
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=44 node=N4691 type=control0 q_typed_reliable_context=5.738026 sequence=78.749485
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=45 node=N724 type=observe q_typed_reliable_context=3.062793 sequence=81.812278
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=46 node=N4677 type=control0 q_typed_reliable_context=1.937010 sequence=83.749289
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=47 node=N4698 type=control0 q_typed_reliable_context=1.140037 sequence=84.889325
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=48 node=N8470 type=observe q_typed_reliable_context=1.498543 sequence=86.387869
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=49 node=N4635 type=control0 q_typed_reliable_context=1.295819 sequence=87.683688
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=50 node=N4705 type=control0 q_typed_reliable_context=1.395245 sequence=89.078933
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=51 node=N3911 type=control0 q_typed_reliable_context=0.943222 sequence=90.022155
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=52 node=N3904 type=control0 q_typed_reliable_context=0.944241 sequence=90.966396
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=53 node=N3897 type=control0 q_typed_reliable_context=0.964212 sequence=91.930607
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=54 node=N3701 type=control0 q_typed_reliable_context=0.916474 sequence=92.847082
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=55 node=N3862 type=control0 q_typed_reliable_context=0.940914 sequence=93.787996
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=56 node=N3855 type=control0 q_typed_reliable_context=0.953488 sequence=94.741485
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=57 node=N3848 type=control0 q_typed_reliable_context=0.957504 sequence=95.698988
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=58 node=N3805 type=control0 q_typed_reliable_context=0.959553 sequence=96.658541
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=59 node=N3889 type=control0 q_typed_reliable_context=0.902132 sequence=97.560673
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=60 node=N2083 type=observe q_typed_reliable_context=1.004439 sequence=98.565112
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=61 node=N3882 type=control0 q_typed_reliable_context=1.114180 sequence=99.679291
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=62 node=N5603 type=control0 q_typed_reliable_context=1.065801 sequence=100.745092
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=63 node=N7506 type=observe q_typed_reliable_context=1.725392 sequence=102.470484
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=64 node=N4606 type=control0 q_typed_reliable_context=0.898713 sequence=103.369197
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=65 node=N4712 type=control0 q_typed_reliable_context=0.917928 sequence=104.287125
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=66 node=N4716 type=control0 q_typed_reliable_context=1.024028 sequence=105.311153
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=67 node=N2044 type=observe q_typed_reliable_context=1.029803 sequence=106.340956
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=68 node=N519 type=control1 q_typed_reliable_context=0.967599 sequence=107.308556
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=69 node=N2042 type=observe q_typed_reliable_context=0.853786 sequence=108.162342
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=70 node=N504 type=control1 q_typed_reliable_context=1.406626 sequence=109.568968
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=71 node=N7471 type=control0 q_typed_reliable_context=0.791157 sequence=110.360126
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=72 node=N513 type=control1 q_typed_reliable_context=1.245284 sequence=111.605409
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=73 node=N7724 type=control0 q_typed_reliable_context=0.756676 sequence=112.362086
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=74 node=N520 type=control1 q_typed_reliable_context=1.391537 sequence=113.753622
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=75 node=N1539 type=control0 q_typed_reliable_context=0.758411 sequence=114.512034
[b15-r10/return_within_lr5e5/e002] [plan iscas99__b15_1] [plan] step=76 node=N516 type=control1 q_typed_reliable_context=1.557464 sequence=116.069498
