[typed-five-r3/b17_C] [gmean] 2026-07-20T22:00:13 out_dir=autoresearch/loop-260720-0945/typed_winner_round3_five/b17_C
[typed-five-r3/b17_C] [gmean] 2026-07-20T22:00:13 budgets=iscas99__b17:994
[typed-five-r3/b17_C] [gmean] 2026-07-20T22:00:13 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[typed-five-r3/b17_C] [gmean] 2026-07-20T22:00:13 [1/1] plan_start benchmark=iscas99__b17 budget=994 planner=greedy score=q_typed_residual_context
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] torch_deterministic=true
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b17_C/exact_candidate_nodes.txt nodes=29334
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.925308
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] step=1 node=N2219 type=control1 q_typed_residual_context=2.866553 sequence=2.866553
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] step=2 node=N14033 type=control1 q_typed_residual_context=2.759183 sequence=5.625736
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] step=3 node=N5319 type=control0 q_typed_residual_context=1.238070 sequence=6.863806
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] step=4 node=N6992 type=control0 q_typed_residual_context=1.724879 sequence=8.588685
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] step=5 node=N6780 type=control0 q_typed_residual_context=1.716271 sequence=10.304956
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] step=6 node=N2849 type=control0 q_typed_residual_context=2.279791 sequence=12.584747
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] step=7 node=N13662 type=control0 q_typed_residual_context=2.456064 sequence=15.040811
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] step=8 node=N16937 type=control0 q_typed_residual_context=2.043565 sequence=17.084377
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] step=9 node=N11983 type=control0 q_typed_residual_context=2.190845 sequence=19.275222
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] step=10 node=N7781 type=observe q_typed_residual_context=2.757937 sequence=22.033159
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] step=11 node=N18172 type=control0 q_typed_residual_context=1.496814 sequence=23.529974
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] step=12 node=N12015 type=control0 q_typed_residual_context=2.207857 sequence=25.737831
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] step=13 node=N11975 type=control0 q_typed_residual_context=2.794206 sequence=28.532037
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] step=14 node=N12055 type=control0 q_typed_residual_context=2.577596 sequence=31.109633
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] step=15 node=N12071 type=control0 q_typed_residual_context=1.981774 sequence=33.091406
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] step=16 node=N12039 type=control0 q_typed_residual_context=1.755274 sequence=34.846680
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] step=17 node=N8089 type=observe q_typed_residual_context=2.576213 sequence=37.422893
[typed-five-r3/b17_C] [plan iscas99__b17] [plan] step=18 node=N19193 type=control0 q_typed_residual_context=2.124355 sequence=39.547248
