[typed-five-r3/b22_C] [gmean] 2026-07-20T22:00:13 out_dir=autoresearch/loop-260720-0945/typed_winner_round3_five/b22_C
[typed-five-r3/b22_C] [gmean] 2026-07-20T22:00:13 budgets=iscas99__b22:915
[typed-five-r3/b22_C] [gmean] 2026-07-20T22:00:13 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[typed-five-r3/b22_C] [gmean] 2026-07-20T22:00:13 [1/1] plan_start benchmark=iscas99__b22 budget=915 planner=greedy score=q_typed_residual_context
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] torch_deterministic=true
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b22_C/exact_candidate_nodes.txt nodes=28412
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.953114
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=1 node=N1180 type=control1 q_typed_residual_context=2.945945 sequence=2.945945
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=2 node=N2081 type=observe q_typed_residual_context=2.267762 sequence=5.213707
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=3 node=N2076 type=observe q_typed_residual_context=2.839644 sequence=8.053351
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=4 node=N3861 type=control0 q_typed_residual_context=1.363986 sequence=9.417337
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=5 node=N2075 type=observe q_typed_residual_context=1.619275 sequence=11.036613
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=6 node=N3076 type=control0 q_typed_residual_context=1.153600 sequence=12.190212
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=7 node=N2078 type=observe q_typed_residual_context=1.120704 sequence=13.310916
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=8 node=N3865 type=control0 q_typed_residual_context=1.096960 sequence=14.407876
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=9 node=N5343 type=control0 q_typed_residual_context=1.105930 sequence=15.513806
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=10 node=N2077 type=observe q_typed_residual_context=1.294538 sequence=16.808344
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=11 node=N5219 type=control1 q_typed_residual_context=1.529179 sequence=18.337523
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=12 node=N2079 type=observe q_typed_residual_context=1.445982 sequence=19.783505
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=13 node=N1992 type=control1 q_typed_residual_context=1.413746 sequence=21.197251
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=14 node=N6279 type=control0 q_typed_residual_context=1.455267 sequence=22.652518
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=15 node=N2080 type=observe q_typed_residual_context=1.391872 sequence=24.044390
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=16 node=N2092 type=observe q_typed_residual_context=1.639497 sequence=25.683887
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=17 node=N3819 type=control0 q_typed_residual_context=2.713716 sequence=28.397603
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=18 node=N1169 type=observe q_typed_residual_context=2.266574 sequence=30.664178
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=19 node=N1255 type=observe q_typed_residual_context=2.970861 sequence=33.635039
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=20 node=N1254 type=observe q_typed_residual_context=1.979419 sequence=35.614458
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=21 node=N1252 type=observe q_typed_residual_context=2.425045 sequence=38.039503
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=22 node=N1253 type=observe q_typed_residual_context=2.223575 sequence=40.263079
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=23 node=N3849 type=control0 q_typed_residual_context=1.473807 sequence=41.736886
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=24 node=N3853 type=control0 q_typed_residual_context=1.796251 sequence=43.533137
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=25 node=N1257 type=observe q_typed_residual_context=1.186809 sequence=44.719945
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=26 node=N2102 type=observe q_typed_residual_context=4.043016 sequence=48.762961
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=27 node=N1256 type=observe q_typed_residual_context=1.059039 sequence=49.822000
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=28 node=N7064 type=control0 q_typed_residual_context=1.342259 sequence=51.164258
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=29 node=N2100 type=observe q_typed_residual_context=1.180957 sequence=52.345215
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=30 node=N2101 type=observe q_typed_residual_context=1.594540 sequence=53.939755
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=31 node=N6887 type=control0 q_typed_residual_context=1.290738 sequence=55.230493
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=32 node=N3068 type=control0 q_typed_residual_context=0.889054 sequence=56.119547
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=33 node=N6907 type=control0 q_typed_residual_context=1.085218 sequence=57.204765
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=34 node=N7010 type=control0 q_typed_residual_context=1.409413 sequence=58.614179
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=35 node=N1258 type=observe q_typed_residual_context=0.894835 sequence=59.509014
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=36 node=N7022 type=control0 q_typed_residual_context=1.038568 sequence=60.547582
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=37 node=N7025 type=control0 q_typed_residual_context=1.632417 sequence=62.180000
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=38 node=N7028 type=control0 q_typed_residual_context=2.145521 sequence=64.325520
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=39 node=N2104 type=observe q_typed_residual_context=1.686857 sequence=66.012377
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=40 node=N6964 type=control0 q_typed_residual_context=1.631313 sequence=67.643690
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=41 node=N6967 type=control0 q_typed_residual_context=1.792710 sequence=69.436400
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=42 node=N7031 type=control0 q_typed_residual_context=1.600885 sequence=71.037285
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=43 node=N7034 type=control0 q_typed_residual_context=1.579624 sequence=72.616909
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=44 node=N7037 type=control0 q_typed_residual_context=1.845318 sequence=74.462227
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=45 node=N7040 type=control0 q_typed_residual_context=1.830212 sequence=76.292439
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=46 node=N7043 type=control0 q_typed_residual_context=1.549923 sequence=77.842362
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=47 node=N7046 type=control0 q_typed_residual_context=1.806174 sequence=79.648536
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=48 node=N7049 type=control0 q_typed_residual_context=1.749841 sequence=81.398377
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=49 node=N7055 type=control0 q_typed_residual_context=1.582660 sequence=82.981036
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=50 node=N6885 type=control0 q_typed_residual_context=1.193410 sequence=84.174447
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=51 node=N3822 type=control0 q_typed_residual_context=1.253847 sequence=85.428293
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=52 node=N3736 type=control0 q_typed_residual_context=1.147527 sequence=86.575820
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=53 node=N3739 type=control0 q_typed_residual_context=1.104689 sequence=87.680509
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=54 node=N3718 type=control0 q_typed_residual_context=1.093382 sequence=88.773892
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=55 node=N3857 type=control0 q_typed_residual_context=1.031576 sequence=89.805468
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=56 node=N3715 type=control0 q_typed_residual_context=1.106487 sequence=90.911955
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=57 node=N4542 type=control0 q_typed_residual_context=0.943688 sequence=91.855643
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=58 node=N6969 type=control0 q_typed_residual_context=1.581035 sequence=93.436677
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=59 node=N6973 type=control0 q_typed_residual_context=1.880306 sequence=95.316983
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=60 node=N6976 type=control0 q_typed_residual_context=1.810511 sequence=97.127494
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=61 node=N7019 type=control0 q_typed_residual_context=1.709282 sequence=98.836776
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=62 node=N7052 type=control0 q_typed_residual_context=3.207262 sequence=102.044037
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=63 node=N6979 type=control0 q_typed_residual_context=1.268693 sequence=103.312730
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=64 node=N4525 type=control0 q_typed_residual_context=1.480461 sequence=104.793191
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=65 node=N2295 type=control0 q_typed_residual_context=2.891594 sequence=107.684785
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=66 node=N1270 type=control0 q_typed_residual_context=1.926068 sequence=109.610853
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=67 node=N5498 type=control0 q_typed_residual_context=2.650085 sequence=112.260938
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=68 node=N5519 type=control0 q_typed_residual_context=1.191440 sequence=113.452378
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=69 node=N12848 type=control0 q_typed_residual_context=1.287471 sequence=114.739848
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=70 node=N1572 type=control0 q_typed_residual_context=1.197905 sequence=115.937753
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=71 node=N7119 type=control0 q_typed_residual_context=1.288956 sequence=117.226709
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=72 node=N12847 type=control0 q_typed_residual_context=1.796533 sequence=119.023242
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=73 node=N3980 type=control0 q_typed_residual_context=3.916349 sequence=122.939591
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=74 node=N6866 type=control0 q_typed_residual_context=3.760938 sequence=126.700530
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=75 node=N7123 type=control0 q_typed_residual_context=1.917080 sequence=128.617610
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=76 node=N3976 type=control0 q_typed_residual_context=1.950498 sequence=130.568108
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=77 node=N18514 type=control0 q_typed_residual_context=2.045289 sequence=132.613397
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=78 node=N4430 type=control0 q_typed_residual_context=1.597757 sequence=134.211154
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=79 node=N1181 type=control1 q_typed_residual_context=2.699905 sequence=136.911059
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=80 node=N3938 type=control0 q_typed_residual_context=1.171793 sequence=138.082852
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=81 node=N13003 type=control1 q_typed_residual_context=0.867409 sequence=138.950262
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=82 node=N13004 type=control1 q_typed_residual_context=1.053818 sequence=140.004080
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=83 node=N13005 type=control1 q_typed_residual_context=0.962178 sequence=140.966258
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=84 node=N13006 type=control1 q_typed_residual_context=0.983100 sequence=141.949358
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=85 node=N3897 type=control0 q_typed_residual_context=1.185165 sequence=143.134523
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=86 node=N13007 type=control1 q_typed_residual_context=1.305648 sequence=144.440171
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=87 node=N13008 type=control1 q_typed_residual_context=1.121182 sequence=145.561353
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=88 node=N13002 type=control1 q_typed_residual_context=1.108275 sequence=146.669628
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=89 node=N19319 type=control1 q_typed_residual_context=1.103702 sequence=147.773330
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=90 node=N3893 type=control0 q_typed_residual_context=1.121589 sequence=148.894919
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=91 node=N19251 type=control0 q_typed_residual_context=1.289337 sequence=150.184256
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=92 node=N19318 type=control1 q_typed_residual_context=1.094972 sequence=151.279228
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=93 node=N19316 type=control1 q_typed_residual_context=1.294904 sequence=152.574132
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=94 node=N19317 type=control1 q_typed_residual_context=1.351154 sequence=153.925286
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=95 node=N3889 type=control0 q_typed_residual_context=7.542270 sequence=161.467556
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=96 node=N1592 type=control0 q_typed_residual_context=4.652879 sequence=166.120435
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=97 node=N8431 type=control0 q_typed_residual_context=1.494006 sequence=167.614441
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=98 node=N19314 type=control1 q_typed_residual_context=0.689051 sequence=168.303492
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=99 node=N19310 type=control1 q_typed_residual_context=1.481355 sequence=169.784847
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=100 node=N12965 type=control0 q_typed_residual_context=4.147650 sequence=173.932497
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=101 node=N13039 type=control0 q_typed_residual_context=7.396113 sequence=181.328610
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=102 node=N19276 type=control0 q_typed_residual_context=1.600891 sequence=182.929501
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=103 node=N13041 type=control0 q_typed_residual_context=1.773755 sequence=184.703256
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=104 node=N19350 type=control0 q_typed_residual_context=2.223194 sequence=186.926450
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=105 node=N19313 type=control1 q_typed_residual_context=0.842081 sequence=187.768531
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=106 node=N5564 type=observe q_typed_residual_context=0.645380 sequence=188.413911
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=107 node=N5583 type=observe q_typed_residual_context=0.041677 sequence=188.455588
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=108 node=N8331 type=control1 q_typed_residual_context=1.055880 sequence=189.511468
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=109 node=N5216 type=control1 q_typed_residual_context=6.815502 sequence=196.326969
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=110 node=N18026 type=control1 q_typed_residual_context=5.995936 sequence=202.322906
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=111 node=N6272 type=control0 q_typed_residual_context=7.241548 sequence=209.564454
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=112 node=N4995 type=control1 q_typed_residual_context=3.375223 sequence=212.939677
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=113 node=N5559 type=observe q_typed_residual_context=0.824605 sequence=213.764282
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=114 node=N5220 type=control1 q_typed_residual_context=1.055987 sequence=214.820269
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=115 node=N5716 type=observe q_typed_residual_context=0.681154 sequence=215.501423
