[typed-five-r3/b22_C] [gmean] 2026-07-21T15:50:23 out_dir=autoresearch/loop-260720-0945/typed_winner_round8_five/b22_C
[typed-five-r3/b22_C] [gmean] 2026-07-21T15:50:23 budgets=iscas99__b22:915
[typed-five-r3/b22_C] [gmean] 2026-07-21T15:50:23 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[typed-five-r3/b22_C] [gmean] 2026-07-21T15:50:23 [1/1] plan_start benchmark=iscas99__b22 budget=915 planner=greedy score=q_typed_reliable_context
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] torch_deterministic=true
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b22_C/exact_candidate_nodes.txt nodes=28412
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.953114
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=1 node=N1180 type=control1 q_typed_reliable_context=2.740055 sequence=2.740055
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=2 node=N2076 type=observe q_typed_reliable_context=2.018432 sequence=4.758487
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=3 node=N2080 type=observe q_typed_reliable_context=2.392686 sequence=7.151173
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=4 node=N2075 type=observe q_typed_reliable_context=1.969061 sequence=9.120234
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=5 node=N2078 type=observe q_typed_reliable_context=1.645571 sequence=10.765805
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=6 node=N2079 type=observe q_typed_reliable_context=1.472112 sequence=12.237917
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=7 node=N2081 type=observe q_typed_reliable_context=1.562866 sequence=13.800783
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=8 node=N2077 type=observe q_typed_reliable_context=1.228048 sequence=15.028831
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=9 node=N3861 type=control0 q_typed_reliable_context=0.772744 sequence=15.801574
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=10 node=N5343 type=control0 q_typed_reliable_context=0.925013 sequence=16.726588
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=11 node=N6272 type=control0 q_typed_reliable_context=1.202635 sequence=17.929222
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=12 node=N4430 type=control0 q_typed_reliable_context=1.374822 sequence=19.304044
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=13 node=N3865 type=control0 q_typed_reliable_context=1.112093 sequence=20.416137
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=14 node=N2092 type=observe q_typed_reliable_context=1.254921 sequence=21.671058
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=15 node=N3894 type=control0 q_typed_reliable_context=1.368695 sequence=23.039753
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=16 node=N3890 type=control0 q_typed_reliable_context=1.486235 sequence=24.525988
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=17 node=N3886 type=control0 q_typed_reliable_context=1.442382 sequence=25.968370
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=18 node=N3882 type=control0 q_typed_reliable_context=1.710997 sequence=27.679367
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=19 node=N3819 type=control0 q_typed_reliable_context=1.649885 sequence=29.329251
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=20 node=N1253 type=observe q_typed_reliable_context=1.342008 sequence=30.671260
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=21 node=N3898 type=control0 q_typed_reliable_context=1.049238 sequence=31.720497
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=22 node=N3849 type=control0 q_typed_reliable_context=1.256088 sequence=32.976585
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=23 node=N3853 type=control0 q_typed_reliable_context=1.216756 sequence=34.193341
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=24 node=N3736 type=control0 q_typed_reliable_context=1.186596 sequence=35.379937
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=25 node=N3739 type=control0 q_typed_reliable_context=1.169072 sequence=36.549009
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=26 node=N3857 type=control0 q_typed_reliable_context=1.088578 sequence=37.637587
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=27 node=N7064 type=control0 q_typed_reliable_context=1.028018 sequence=38.665605
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=28 node=N1169 type=observe q_typed_reliable_context=1.058701 sequence=39.724306
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=29 node=N2104 type=observe q_typed_reliable_context=0.856274 sequence=40.580581
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=30 node=N6887 type=control0 q_typed_reliable_context=0.976716 sequence=41.557297
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=31 node=N2102 type=observe q_typed_reliable_context=0.849392 sequence=42.406689
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=32 node=N6907 type=control0 q_typed_reliable_context=1.134530 sequence=43.541219
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=33 node=N7010 type=control0 q_typed_reliable_context=1.306755 sequence=44.847975
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=34 node=N7025 type=control0 q_typed_reliable_context=1.026027 sequence=45.874002
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=35 node=N7028 type=control0 q_typed_reliable_context=1.083111 sequence=46.957113
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=36 node=N6964 type=control0 q_typed_reliable_context=1.206189 sequence=48.163303
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=37 node=N6967 type=control0 q_typed_reliable_context=1.214280 sequence=49.377583
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=38 node=N7022 type=control0 q_typed_reliable_context=1.007449 sequence=50.385031
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=39 node=N7031 type=control0 q_typed_reliable_context=1.157997 sequence=51.543028
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=40 node=N7037 type=control0 q_typed_reliable_context=1.422374 sequence=52.965402
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=41 node=N7040 type=control0 q_typed_reliable_context=1.306200 sequence=54.271601
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=42 node=N2101 type=observe q_typed_reliable_context=1.015369 sequence=55.286971
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=43 node=N7046 type=control0 q_typed_reliable_context=1.088039 sequence=56.375010
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=44 node=N7049 type=control0 q_typed_reliable_context=1.391991 sequence=57.767001
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=45 node=N7043 type=control0 q_typed_reliable_context=1.164013 sequence=58.931015
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=46 node=N7034 type=control0 q_typed_reliable_context=1.442887 sequence=60.373902
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=47 node=N7055 type=control0 q_typed_reliable_context=1.571478 sequence=61.945380
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=48 node=N6885 type=control0 q_typed_reliable_context=1.706544 sequence=63.651924
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=49 node=N3076 type=control0 q_typed_reliable_context=1.709890 sequence=65.361813
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=50 node=N4542 type=control0 q_typed_reliable_context=1.177582 sequence=66.539395
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=51 node=N1252 type=observe q_typed_reliable_context=1.056555 sequence=67.595950
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=52 node=N2103 type=observe q_typed_reliable_context=0.954395 sequence=68.550345
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=53 node=N3715 type=control0 q_typed_reliable_context=0.833484 sequence=69.383829
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=54 node=N6969 type=control0 q_typed_reliable_context=0.847726 sequence=70.231555
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=55 node=N6973 type=control0 q_typed_reliable_context=2.062583 sequence=72.294138
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=56 node=N2100 type=observe q_typed_reliable_context=0.898046 sequence=73.192184
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=57 node=N6979 type=control0 q_typed_reliable_context=1.536142 sequence=74.728325
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=58 node=N7051 type=control0 q_typed_reliable_context=1.685069 sequence=76.413394
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=59 node=N7537 type=control0 q_typed_reliable_context=1.483429 sequence=77.896823
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=60 node=N7019 type=control0 q_typed_reliable_context=1.893116 sequence=79.789939
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=61 node=N6976 type=control0 q_typed_reliable_context=1.026727 sequence=80.816667
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=62 node=N7119 type=control0 q_typed_reliable_context=0.990863 sequence=81.807530
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=63 node=N5508 type=control0 q_typed_reliable_context=1.188948 sequence=82.996477
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=64 node=N12848 type=control0 q_typed_reliable_context=1.441752 sequence=84.438229
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=65 node=N3976 type=control0 q_typed_reliable_context=1.233442 sequence=85.671671
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=66 node=N3718 type=control0 q_typed_reliable_context=1.134877 sequence=86.806547
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=67 node=N1520 type=control0 q_typed_reliable_context=1.036803 sequence=87.843351
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=68 node=N5278 type=observe q_typed_reliable_context=0.972709 sequence=88.816059
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=69 node=N12847 type=control0 q_typed_reliable_context=0.775579 sequence=89.591639
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=70 node=N18514 type=control0 q_typed_reliable_context=0.807573 sequence=90.399212
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=71 node=N4525 type=control0 q_typed_reliable_context=0.734238 sequence=91.133450
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=72 node=N1592 type=control0 q_typed_reliable_context=1.004850 sequence=92.138300
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=73 node=N3822 type=control0 q_typed_reliable_context=0.822937 sequence=92.961237
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=74 node=N7005 type=observe q_typed_reliable_context=0.843395 sequence=93.804632
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=75 node=N5564 type=observe q_typed_reliable_context=0.749229 sequence=94.553861
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=76 node=N1989 type=control1 q_typed_reliable_context=0.793777 sequence=95.347639
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=77 node=N5498 type=control0 q_typed_reliable_context=1.068952 sequence=96.416591
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=78 node=N2295 type=control0 q_typed_reliable_context=2.711093 sequence=99.127684
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=79 node=N3836 type=observe q_typed_reliable_context=0.973608 sequence=100.101292
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=80 node=N7123 type=control0 q_typed_reliable_context=1.067008 sequence=101.168300
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=81 node=N3980 type=control0 q_typed_reliable_context=1.225518 sequence=102.393818
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=82 node=N3840 type=observe q_typed_reliable_context=1.827974 sequence=104.221792
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=83 node=N5216 type=control1 q_typed_reliable_context=1.093005 sequence=105.314797
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=84 node=N6996 type=observe q_typed_reliable_context=1.598658 sequence=106.913455
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=85 node=N5220 type=control1 q_typed_reliable_context=1.828387 sequence=108.741842
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=86 node=N3938 type=control0 q_typed_reliable_context=1.775192 sequence=110.517034
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=87 node=N18387 type=control1 q_typed_reliable_context=1.645319 sequence=112.162353
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=88 node=N3068 type=control0 q_typed_reliable_context=1.355025 sequence=113.517378
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=89 node=N6279 type=control0 q_typed_reliable_context=1.524762 sequence=115.042139
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=90 node=N3289 type=control0 q_typed_reliable_context=2.184832 sequence=117.226971
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=91 node=N3877 type=control0 q_typed_reliable_context=2.145349 sequence=119.372320
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=92 node=N3844 type=observe q_typed_reliable_context=1.664592 sequence=121.036912
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=93 node=N1181 type=control1 q_typed_reliable_context=2.267151 sequence=123.304063
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=94 node=N8335 type=control1 q_typed_reliable_context=1.033953 sequence=124.338016
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=95 node=N5559 type=observe q_typed_reliable_context=0.055349 sequence=124.393364
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=96 node=N5000 type=control1 q_typed_reliable_context=4.436682 sequence=128.830046
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=97 node=N13039 type=control0 q_typed_reliable_context=0.763557 sequence=129.593603
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=98 node=N13043 type=control0 q_typed_reliable_context=1.036642 sequence=130.630245
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=99 node=N13045 type=control0 q_typed_reliable_context=1.095278 sequence=131.725523
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=100 node=N19350 type=control0 q_typed_reliable_context=1.371362 sequence=133.096885
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=101 node=N8333 type=control1 q_typed_reliable_context=2.028020 sequence=135.124905
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=102 node=N7008 type=observe q_typed_reliable_context=0.821641 sequence=135.946546
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=103 node=N6999 type=observe q_typed_reliable_context=1.511952 sequence=137.458498
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=104 node=N19276 type=control0 q_typed_reliable_context=2.507891 sequence=139.966388
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=105 node=N3848 type=observe q_typed_reliable_context=3.704261 sequence=143.670649
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=106 node=N19255 type=control0 q_typed_reliable_context=4.011622 sequence=147.682271
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=107 node=N19352 type=control0 q_typed_reliable_context=1.447219 sequence=149.129490
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=108 node=N2297 type=control1 q_typed_reliable_context=1.939042 sequence=151.068533
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=109 node=N5925 type=observe q_typed_reliable_context=1.897266 sequence=152.965799
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=110 node=N5944 type=observe q_typed_reliable_context=0.997153 sequence=153.962952
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=111 node=N5963 type=observe q_typed_reliable_context=1.650186 sequence=155.613138
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=112 node=N19358 type=control0 q_typed_reliable_context=1.657281 sequence=157.270419
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=113 node=N6039 type=observe q_typed_reliable_context=2.462312 sequence=159.732731
[typed-five-r3/b22_C] [plan iscas99__b22] [plan] step=114 node=N5887 type=observe q_typed_reliable_context=1.835762 sequence=161.568493
