split	variant	checkpoint_name	benchmark_id	state_id	candidate_strategy	oracle_best_delta_tc	baseline_top1_action	baseline_top1_delta_tc	ranker_top1_action	ranker_top1_delta_tc	delta_vs_baseline	ranker_top1_regret
train	linear_l2	incumbent	subckt_0001	initial	cached_hard_cone	0.0040999999999999925	__buf_split_552::control1	0.0040999999999999925	__buf_split_552::observe	0.0007500000000000284	-0.003349999999999964	0.003349999999999964
train	linear_l2	incumbent	subckt_0001	initial	cached_random	0.03222999999999998	new_n1090::control1	0.0040999999999999925	__aig_not_1645::observe	0.0007500000000000284	-0.003349999999999964	0.03147999999999995
train	linear_l2	incumbent	subckt_0001	initial	cached_stride	0.028530000000000055	__buf_split_1126::control1	0.0040999999999999925	__buf_split_1126::observe	0.0007500000000000284	-0.003349999999999964	0.027780000000000027
train	linear_l2	incumbent	subckt_0010	initial	cached_hard_cone	0.0041400000000000325	__buf_split_5038::observe	0.0012800000000000589	__buf_split_74::observe	0.0012800000000000589	0.0	0.0028599999999999737
train	linear_l2	incumbent	subckt_0010	initial	cached_random	0.05134000000000005	new_n13622_::observe	0.0012800000000000589	new_n13622_::control1	0.0041400000000000325	0.0028599999999999737	0.04720000000000002
train	linear_l2	incumbent	subckt_0010	initial	cached_stride	0.04783999999999988	new_n14776_::observe	0.0012800000000000589	new_n14776_::control1	0.0041400000000000325	0.0028599999999999737	0.04369999999999985
train	linear_l2	incumbent	subckt_0011	initial	cached_hard_cone	0.0170300000000001	__aig_not_644::control1	0.0170300000000001	__aig_not_641::control1	0.0170300000000001	0.0	0.0
train	linear_l2	incumbent	subckt_0011	initial	cached_random	0.04966000000000015	__aig_and_19920::control1	0.013840000000000074	__buf_split_493::control1	0.0170300000000001	0.003190000000000026	0.03263000000000005
train	linear_l2	incumbent	subckt_0011	initial	cached_stride	0.06549000000000016	__aig_and_719::control1	0.0170300000000001	__aig_and_678::observe	0.0021900000000001363	-0.014839999999999964	0.06330000000000002
train	linear_l2	incumbent	subckt_0012	initial	cached_hard_cone	0.0006099999999999994	__buf_split_6::control1	0.00031000000000003247	__buf_split_6::observe	0.0006099999999999994	0.00029999999999996696	0.0
train	linear_l2	incumbent	subckt_0012	initial	cached_random	0.0006099999999999994	__buf_split_25::control1	0.00031000000000003247	__aig_and_32::control1	0.00031000000000003247	0.0	0.00029999999999996696
train	linear_l2	incumbent	subckt_0012	initial	cached_stride	0.0006099999999999994	__buf_split_1::control1	0.00031000000000003247	__buf_split_90::observe	0.0006099999999999994	0.00029999999999996696	0.0
train	linear_l2	incumbent	subckt_0016	initial	cached_hard_cone	0.021670000000000078	new_n1109_::observe	0.000160000000000049	__buf_split_602::control1	0.016290000000000138	0.01613000000000009	0.00537999999999994
train	linear_l2	incumbent	subckt_0016	initial	cached_random	0.021670000000000078	new_n4271_::observe	0.01636000000000004	__buf_split_654::observe	0.00031999999999998696	-0.016040000000000054	0.02135000000000009
train	linear_l2	incumbent	subckt_0016	initial	cached_stride	0.021710000000000007	new_n4274_::observe	0.00031999999999998696	__buf_split_2123::observe	0.002989999999999937	0.00266999999999995	0.01872000000000007
train	linear_l2	incumbent	subckt_0018	initial	cached_hard_cone	0.0015099999999999003	__buf_split_303489::control1	0.0007699999999999374	__buf_split_303488::control1	0.0007699999999999374	0.0	0.0007399999999999629
train	linear_l2	incumbent	subckt_0018	initial	cached_random	0.007609999999999895	__aig_not_480071::control1	0.0007699999999999374	__aig_not_480071::control1	0.0007699999999999374	0.0	0.006839999999999957
train	linear_l2	incumbent	subckt_0018	initial	cached_stride	0.007609999999999895	__aig_and_482791::observe	0.0015099999999999003	__aig_not_480072::control1	0.0007699999999999374	-0.0007399999999999629	0.006839999999999957
train	linear_l2	incumbent	subckt_0020	initial	cached_hard_cone	0.005579999999999918	__aig_and_10::observe	0.00013999999999991797	__aig_and_11::control1	0.0014499999999999513	0.0013100000000000334	0.004129999999999967
train	linear_l2	incumbent	subckt_0020	initial	cached_random	0.0014499999999999513	__aig_and_21780::control0	6.999999999990347e-05	__aig_and_24158::observe	0.00013999999999991797	7.00000000000145e-05	0.0013100000000000334
train	linear_l2	incumbent	subckt_0020	initial	cached_stride	0.0028199999999999337	__aig_and_26622::observe	0.00013999999999991797	__aig_and_26622::control1	6.999999999990347e-05	-7.00000000000145e-05	0.00275000000000003
train	linear_l2	incumbent	subckt_0021	initial	cached_hard_cone	0.00043999999999999595	__buf_split_20::control1	0.000220000000000109	I660::control1	0.000220000000000109	0.0	0.00021999999999988695
train	linear_l2	incumbent	subckt_0021	initial	cached_random	0.00043999999999999595	G261::observe	0.00043999999999999595	__aig_and_28::observe	0.00043999999999999595	0.0	0.0
train	linear_l2	incumbent	subckt_0021	initial	cached_stride	0.00043999999999999595	G267::control0	-0.0021900000000001363	I655::control1	0.000220000000000109	0.0024100000000002453	0.00021999999999988695
train	linear_l2	incumbent	subckt_0038	initial	cached_hard_cone	0.01322000000000001	__buf_split_1::observe	0.0019200000000000328	__buf_split_6::control1	0.011990000000000056	0.010070000000000023	0.0012299999999999534
train	linear_l2	incumbent	subckt_0038	initial	cached_random	0.026699999999999946	new_n48665_::observe	0.004369999999999985	new_n47870_::observe	0.0009599999999999609	-0.003410000000000024	0.025739999999999985
train	linear_l2	incumbent	subckt_0038	initial	cached_stride	0.01322000000000001	new_n89428_::observe	0.0019200000000000328	new_n48653_::control1	0.01322000000000001	0.011299999999999977	0.0
train	linear_l2	incumbent	subckt_0041	initial	cached_hard_cone	0.0001300000000000745	__buf_split_302719::control1	-0.006220000000000003	__buf_split_250751::observe	0.0001300000000000745	0.006350000000000078	0.0
train	linear_l2	incumbent	subckt_0041	initial	cached_random	0.008900000000000019	new_n551223_::control0	-0.012499999999999956	__buf_split_302922::control1	-0.008729999999999905	0.003770000000000051	0.017629999999999924
train	linear_l2	incumbent	subckt_0041	initial	cached_stride	0.0001300000000000745	__buf_split_302945::control1	-0.006220000000000003	__buf_split_250751::control1	-0.0036999999999999256	0.0025200000000000777	0.00383
train	linear_l2	incumbent	subckt_0043	initial	cached_hard_cone	0.014129999999999976	__buf_split_76373::observe	9.00000000000345e-05	new_n108070_::control1	4.999999999999449e-05	-4.0000000000040004e-05	0.014079999999999981
train	linear_l2	incumbent	subckt_0043	initial	cached_random	9.00000000000345e-05	new_n108103_::observe	9.00000000000345e-05	new_n108114_::control1	4.999999999999449e-05	-4.0000000000040004e-05	4.0000000000040004e-05
train	linear_l2	incumbent	subckt_0043	initial	cached_stride	0.014129999999999976	new_n109512_::observe	9.00000000000345e-05	new_n108907_::control1	4.999999999999449e-05	-4.0000000000040004e-05	0.014079999999999981
train	linear_l2	incumbent	subckt_0044	initial	cached_hard_cone	0.004469999999999974	__aig_and_20396::observe	0.0002900000000001235	__aig_and_20396::observe	0.0002900000000001235	0.0	0.0041799999999998505
train	linear_l2	incumbent	subckt_0044	initial	cached_random	0.0023799999999999377	__aig_not_53206::observe	0.0002900000000001235	__aig_not_53206::observe	0.0002900000000001235	0.0	0.0020899999999998142
train	linear_l2	incumbent	subckt_0044	initial	cached_stride	0.0022500000000000853	__aig_and_48008::observe	0.0002900000000001235	__aig_and_48008::observe	0.0002900000000001235	0.0	0.0019599999999999618
train	linear_l2	incumbent	subckt_0046	initial	cached_hard_cone	0.0026400000000000867	__buf_split_557::control1	0.00011000000000016552	__buf_split_557::observe	0.0002300000000001745	0.00012000000000000899	0.002409999999999912
train	linear_l2	incumbent	subckt_0046	initial	cached_random	0.0027400000000000757	new_n33261_::observe	0.0002300000000001745	new_n119774_::observe	0.0002300000000001745	0.0	0.002509999999999901
train	linear_l2	incumbent	subckt_0046	initial	cached_stride	0.0026400000000000867	new_n119782_::observe	0.0002300000000001745	__buf_split_36::control1	0.00011000000000016552	-0.00012000000000000899	0.002529999999999921
train	linear_l2	incumbent	subckt_0049	initial	cached_hard_cone	0.00024000000000001798	__buf_split_456::control1	-0.0021100000000000563	__buf_split_661::observe	0.00024000000000001798	0.0023500000000000743	0.0
train	linear_l2	incumbent	subckt_0049	initial	cached_random	0.00024000000000001798	__buf_split_713::control1	-0.0043400000000000105	__buf_split_828::control1	-0.0021100000000000563	0.0022299999999999542	0.0023500000000000743
train	linear_l2	incumbent	subckt_0049	initial	cached_stride	0.00024000000000001798	new_n1813_::control1	-0.0021100000000000563	__buf_split_10861::observe	0.00024000000000001798	0.0023500000000000743	0.0
train	linear_l2	incumbent	subckt_0061	initial	cached_hard_cone	0.00016999999999989246	__buf_split_3::observe	0.00016999999999989246	__buf_split_7::control1	8.999999999992347e-05	-7.999999999996898e-05	7.999999999996898e-05
train	linear_l2	incumbent	subckt_0061	initial	cached_random	0.00016999999999989246	376::observe	0.00016999999999989246	__buf_split_260::control1	8.999999999992347e-05	-7.999999999996898e-05	7.999999999996898e-05
train	linear_l2	incumbent	subckt_0061	initial	cached_stride	0.00016999999999989246	__aig_not_334::observe	0.00016999999999989246	__buf_split_215::control1	8.999999999992347e-05	-7.999999999996898e-05	7.999999999996898e-05
train	linear_l2	incumbent	subckt_0063	initial	cached_hard_cone	0.03208	__aig_not_356::control1	0.03208	__buf_split_1347::observe	0.002489999999999881	-0.029590000000000116	0.029590000000000116
train	linear_l2	incumbent	subckt_0063	initial	cached_random	0.06370999999999993	__aig_and_1965::control1	0.03208	__aig_and_1965::observe	0.002489999999999881	-0.029590000000000116	0.06122000000000005
train	linear_l2	incumbent	subckt_0063	initial	cached_stride	0.08072000000000001	__aig_not_12017::control1	0.02179999999999993	__aig_not_12017::observe	0.02289999999999992	0.0010999999999999899	0.057820000000000094
