split	variant	score_field	kind	groups	actions	mean_spearman	mean_kendall_tau	mean_pearson	mean_top1_real_delta_tc	mean_top1_regret	negative_top1_rate	mean_sign_accuracy	pairwise_accuracy	pairwise_count	ndcg_at_5	ndcg_at_10
expanded_val	linear	ranker_score	ranker	48	864	0.10218916296592566	0.08382188664851285	0.04604910632265896	-0.005004374999999996	0.031471875	0.3541666666666667	0.5844907407407408	0.5536421394943134	4691	0.4586815661682513	0.5557022851769624
transfer	linear	ranker_score	ranker	6	288	0.055355586032186245	0.05352473499781188	0.03840823050808164	0.0013283333333333387	0.021861666666666685	0.5	0.5625	0.5455866093260601	3703	0.5383278080262001	0.5664426536337518
train	linear_l2	ranker_score	ranker	288	5184	0.049861714440894905	0.05470564253648482	0.012748174761827276	0.002085520833333344	0.014435138888888885	0.1076388888888889	0.5160108024691358	0.5047484763747747	18466	0.43627432157516677	0.5398887389734477
expanded_val	linear_l2	ranker_score	ranker	48	864	0.10228265896174503	0.08371138966710083	0.04596728953712076	-0.005004374999999996	0.031471875	0.3541666666666667	0.5844907407407408	0.553596021376045	4705	0.4583652220186997	0.5559741041447958
transfer	linear_l2	ranker_score	ranker	6	288	0.054477482582202856	0.053160650473409565	0.038531599178819854	0.0013283333333333387	0.021861666666666685	0.5	0.5625	0.5454177034980375	3710	0.5383278080262001	0.5664681446679095
train	mlp_small	ranker_score	ranker	288	5184	0.17803799812785892	0.15463552660248744	0.24184614732845988	0.006248784722222232	0.010271874999999995	0.041666666666666664	0.330054012345679	0.7586719165382436	18466	0.5701816462684913	0.6502192788961425
expanded_val	mlp_small	ranker_score	ranker	48	864	-0.23250305808852256	-0.23410637292506165	-0.12361270165342357	0.0005695833333333363	0.02589791666666667	0.5416666666666666	0.41550925925925924	0.41739819450610804	4703	0.4351823168040378	0.5186026392370345
transfer	mlp_small	ranker_score	ranker	6	288	-0.20615971302157451	-0.18039673564277425	-0.07876557781862813	-0.0040383333333333105	0.027228333333333337	0.5	0.34027777777777773	0.3968307502351582	3708	0.5545660010025132	0.5600484439611609
train	action_type_linear	ranker_score	ranker	288	5184	0.018730433652458064	0.013947644879390169	0.0403865509506143	0.002831215277777788	0.01368944444444444	0.17708333333333334	0.4608410493827161	0.5672679282183857	18466	0.4677271376522423	0.5538437182149235
expanded_val	action_type_linear	ranker_score	ranker	48	864	0.03518530426571229	0.022151235076655357	0.05047760277799038	-0.0037077083333333233	0.030175208333333325	0.4583333333333333	0.5844907407407408	0.5353097636652181	4702	0.46824795533684654	0.5777006008346673
transfer	action_type_linear	ranker_score	ranker	6	288	-0.04050225210801662	-0.03133890343459752	-0.07426286190728577	0.010555	0.012635000000000026	0.16666666666666666	0.5625	0.4960853411778574	3712	0.5870812516188529	0.6398748068580395
